handle	created_at	text
AGWilliamBarr	2020-04-06 22:09:49	cnn airing today coronavirus task force briefing
AGWilliamBarr	2020-04-05 21:17:21	breaking tonight boris johnson admitted hospital covid_19 symptoms persist
AGWilliamBarr	2020-04-02 22:56:58	coronavirus penetrated least countries countries thanks china
AGWilliamBarr	2020-04-02 21:23:08	new face covering guidelines perfect federal criminals dumped back onto streets global pandemic sad time america must keep faith president trump fight extenuating circumstances
AGWilliamBarr	2020-04-01 23:49:25	war covid-19 war terrorists war drug cartels united
AGWilliamBarr	2020-03-31 10:25:58	good morning patriots work quarantine plans today
AGWilliamBarr	2020-03-27 11:37:08	breaking uk prime minister boris johnson tests positive covid-19
AGWilliamBarr	2020-03-24 22:05:57	garbage internet news outlet vox deleted tweet called coronavirus pandemic hoax
AGWilliamBarr	2020-03-23 15:10:21	breaking husband amy klobuchar john tested positive covid-19 amy klobuchar played prominent role biden campaign recent weeks joe biden genuinely concerned
AGWilliamBarr	2020-03-21 15:43:25	hope everyone popcorn ready new episode utter annhilation fake news media brief update state affairs courtesy covid-19 task force
AGWilliamBarr	2020-03-14 23:43:34	breaking president trump coronavirus test comes back negative
AGWilliamBarr	2020-03-14 16:41:47	vp pence coronavirus testing tomorrow detailing progress team making tell literally working around clock
AGWilliamBarr	2020-03-14 01:50:30	coronavirus originate wuhan wuhan china continue refer covid-19 wuhan chinese coronavirus wuhan chinese coronavirus wuhan chinese coronavirus wuhan chinese coronavirus wuhan chinese coronavirus wuhan chinese coronavirus
AGWilliamBarr	2020-03-13 15:04:30	news conference today p white house topic coronavirus
AGWilliamBarr	2020-03-12 00:23:45	barack hussein obama response ebola timid incompetent president trump proactive response coronavirus put country tremendous position contain mitigate eliminate virus efficient comprehensive manner
AGWilliamBarr	2020-03-09 18:24:04	watch stellar governing man unhinged brother fredo among mvps coronavirus politicization weaponization instead bashing president splooging floral foam consider trying something antibacterial
AGWilliamBarr	2020-03-08 13:24:47	amount blatant lies perpetuated minute minute basis fake news media regard coronavirus sickening dangerous people sustained mission destroy president united states silent majority still
AGWilliamBarr	2020-02-29 21:34:10	washington state reports first coronavirus death us health department
AGWilliamBarr	2020-02-25 01:22:16	breaking reporting coronavirus verge pandemic cases spike numerous countries additionally officials reporting likely u outbreak get masks
BetsyDeVosED	2020-04-06 16:50:56	response covid19 pandemic launched resource teachers students parents education leaders website updated regularly information need unprecedented time
BetsyDeVosED	2020-04-02 20:00:00	every american important role play slowing spread coronavirus please review guidelines president visit learn stay safe slowthespread
BetsyDeVosED	2020-04-02 16:06:13	last year got work rethinking distancelearning regs better serve students current covid19 health crisis underscores importance work today released updated regs public comment
BetsyDeVosED	2020-04-01 19:31:31	students families teachers school leaders know spread coronavirus impact country challenging please know committed working state local leaders provide resources flexibility need
BetsyDeVosED	2020-03-30 18:01:34	inspiring see teachers like ms anderson countless others across america going extra mile stay connected students unprecedented covid19 national emergency keep great work
BetsyDeVosED	2020-03-26 16:30:47	teachers principals education leaders working keep students learning covid19 national emergency thank heartened see innovative ways keeping students engaged connected learning
BetsyDeVosED	2020-03-25 16:25:25	covid19 national emergency put stop collections actions wage garnishments student loan borrowers default asked refund 8b borrowers wages tax refunds garnished since march
BetsyDeVosED	2020-03-24 17:31:41	tremendous work frank edelblut quickly transition nh schools remote learning covid19 national emergency connects families teachers students w education resources help students learnathome nhlearnsremotely
BetsyDeVosED	2020-03-23 15:57:12	extremely disappointed hear school districts using info excuse educate kids covid19 emergency nothing prevent schools offering education distance instruction
BetsyDeVosED	2020-03-22 16:53:43	minimize impact coronavirus nation students temporarily waiving interest federally h
BetsyDeVosED	2020-03-20 16:10:55	today announced turnkey waivers states bypass high-stakes standardized testing covid19 national emergency instead focus immediate needs students educators
BetsyDeVosED	2020-03-20 16:06:05	today delivering president promise provide federal student loan relief interest deferred payments help whose educations careers lives disrupted covid19 national emergency
BetsyDeVosED	2020-03-17 22:06:58	committed ensuring students equal access education covid19 outbreak please see new fact sheet important issue
BetsyDeVosED	2020-03-17 00:21:28	important role play slowing spread coronavirus keeping nation students parents teachers safe please review new guidelines released today share family friends
BetsyDeVosED	2020-03-13 20:44:26	proud work take continued decisive actions help students parents covid-19 national emergency
BetsyDeVosED	2020-03-12 01:42:05	day one taken aggressive unprecedented approach combating coronavirus decisive actions including additional steps announced tonight help prevent spread virus keep students parents communities safe
BetsyDeVosED	2020-03-04 19:48:45	higher priority administration protecting health safety americans information resources schools school personnel covid-19 coronavirus visit
DHS_Wolf	2020-04-06 13:29:33	men women front lines confronting coronavirus pandemic interfacing millions travelers ensure safety despite great risk nation thank continuing keep transportation systems secure
DHS_Wolf	2020-04-05 12:49:07	worked together bring badly needed supplies american samoa week working make sure states territories receive critical equipment need fight coronavirus slowthespread save lives
DHS_Wolf	2020-04-03 21:42:00	done amazing job coordinating airbridge flights since sunday another scheduled april flights bringing essential medical supplies critical locations across country battling coronavirus pandemic
DHS_Wolf	2020-04-03 21:00:00	watch incredible time lapse video joint effort army corps engineers partners stand brand new hospital chicago help immensely fight coronavirus pandemic
DHS_Wolf	2020-04-03 20:16:56	today met others national response coordination center discuss ongoing fight coronavirus partners whole-of-america effort slowthespread
DHS_Wolf	2020-04-01 20:30:00	talked today selected ceos private sector vital partner helping defeat pandemic looking forward continued discussions
DHS_Wolf	2020-04-01 19:00:00	men women continue fight front lines spread coronavirus great risk sincere gratitude protect homeland know whole department behind
DHS_Wolf	2020-03-31 15:26:29	scammers constantly adapt prey vulnerable crises coronavirus pandemic exception warning consumers numerous ongoing scams fake testing kits unproven cures government imposters
DHS_Wolf	2020-03-31 14:26:20	americans stepping plate take coronavirus medical staff front lines part social distancing essential personnel keeping supply chains steady grocery stores full thank togetherapart
DHS_Wolf	2020-03-31 09:43:30	thanks continuing lead whole government response coronavirus pandemic fema coordinating shipping medical supplies make sure reach critical locations
DHS_Wolf	2020-03-30 17:10:35	today participated productive call america governors play integral role fight coronavirus working together bringing whole-of-government approach locally executed state managed federally supported
DHS_Wolf	2020-03-29 02:46:46	given recent developments consultations coronavirus task force issued domestic travel advisory ny nj ct see
DHS_Wolf	2020-03-27 23:35:15	brave men women country inflection point history actions today determine remembered generations face challenges coronavirus pandemic know complete support dept
DHS_Wolf	2020-03-27 13:53:34	americans abroad area current travel restrictions due coronavirus pandemic still come home anytime follow guidelines
DHS_Wolf	2020-03-26 17:50:19	men women front lines every day fighting spread coronavirus protect homeland
DHS_Wolf	2020-03-26 17:00:00	days control spread coronavirus flattenthecurve keep social distancing avoid unnecessary travel maintain good personal hygiene thank america sacrifice difficult time allinthistogether
