id,created_at,text
1247294613288677382,2020-04-06 22:46:24,"Listen to @McConaughey:

“Staying home is not a retreat, it is the most brave and aggressive weapon we have against this enemy.” 

 #StayHomeSaveLives https://t.co/GacL7sV8ze"
1247247835843551232,2020-04-06 19:40:31,"NEW: CA has 14,336 confirmed positive cases of #COVID19.

2,509 of those cases are in our hospitals. 1,085 of those are in the ICU.

We’ve now identified up to 4,613 beds at new healthcare sites we’re building across CA—transforming arenas &amp; convention centers into places of care"
1247237725738033152,2020-04-06 19:00:21,TUNE IN NOW. https://t.co/7vxZlFiqAz
1247229110746636288,2020-04-06 18:26:07,RT @JenSiebelNewsom: Thank you @CoryBooker for spreading this #metoWE message. Let’s all remember in our most fearful moments to listen to…
1247228818445590530,2020-04-06 18:24:57,"RT @CountyofLA: LA County is working with state, federal &amp; local partners on Project Roomkey--an initiative to bring medically vulnerable p…"
1247207670655803395,2020-04-06 17:00:55,TUNE IN at 12pm for a #COVID19 update. https://t.co/fM7kgih3sA
1247191412719800327,2020-04-06 15:56:19,CA will continue to prepare and secure the equipment we need to keep our fellow Californians healthy while standing with other states in their moments of need.
1247191409766969344,2020-04-06 15:56:18,"In times of crisis, it’s more important than ever we are the UNITED States of America. CA is answering the call for Americans in NY and across the country, loaning 500 state-owned ventilators to those in need. I know, if the tables were turned, other states would be there for us."
1246977829117427713,2020-04-06 01:47:36,"RT @JenSiebelNewsom: We can each do our part to get through this crisis. 

Together we can: Stay Home. Save Lives. Check In."
1246564723270635520,2020-04-04 22:26:04,"RT @CAgovernor: Many Californians have stepped up to offer resources and supplies to help CA fight #COVID19. 

If you have a large amount o…"
1246520357546102784,2020-04-04 19:29:47,"NEW: CA has 12,026 confirmed positive cases of #COVID19.

2,300 of those who have tested positive are in our hospitals. 1,008 of those patients are in the ICU.

This disease can impact anyone. Stay home. Take this seriously. #StayHomeSaveLives"
1246512222928396292,2020-04-04 18:57:27,TUNE IN for a #COVID19 update. https://t.co/cWn6nnAKB3
1246497939188379648,2020-04-04 18:00:42,RT @CAPublicHealth: ICYMI: Yesterday @CAgovernor @GavinNewsom signed an executive order to expand protections to medical providers as they…
1246494114134110209,2020-04-04 17:45:30,"RT @CAgovernor: TUNE IN: Governor @GavinNewsom will provide an update today on the state’s response to the #COVID19 outbreak.

Watch live o…"
1246283441647136768,2020-04-04 03:48:21,"RT @yashar: 1. Important!

The state you live in, or a state(s) you used to live in, may owe you or your company/small business money

I'm…"
