id,created_at,text
1247255353751896065,2020-04-06 20:10:23,"The State of Texas is continuing to receive and distribute additional Personal Protective Equipment (PPE). 

Texas received 2.5 million masks in the past 24 hours, and will receive an additional 3 million masks by April 11th.

https://t.co/9ZGg0lIKmN https://t.co/6Z8uyKSNIu"
1247189718661545986,2020-04-06 15:49:35,"Grateful for so many Texas businesses stepping up, innovating and serving their fellow Texans.
 
Have supplies or a service to offer? 

Go to https://t.co/h6bPhSZdQE
 
#TexasStrong #TexasBizStrong"
1247167187405553664,2020-04-06 14:20:03,"https://t.co/fTGDXq0C7s is increasing in-home child care access for frontline workers responding to the COVID-19 emergency. 

Frontline workers looking for child care as well as prospective caregivers can both enroll at:
https://t.co/KgUX6mOwtS

More info: https://t.co/5X4SpNBOO5 https://t.co/TZJGzP6usE"
1246950139387936769,2020-04-05 23:57:35,"Temporarily waived certain regulations to expand the health care workforce to assist with Texas' COVID-19 response. 

More details: https://t.co/ltyTTgUcj4 https://t.co/RoO16hsWUT"
1246862368245788673,2020-04-05 18:08:48,"RT @GregAbbott_TX: To ALL of our grocery store workers who work tirelessly to ensure Texans have the supplies they need: 

Thank YOU! 

Eve…"
1246858875116158979,2020-04-05 17:54:56,"Though we are apart, we remain together.
 
“Light shall shine out of darkness.” 2 Corinthians 4:6
 
Wishing all a blessed #PalmSunday. https://t.co/p99ikduKLu"
1246523136201437186,2020-04-04 19:40:49,"Spoke to Dr. Anthony Fauci of the White House Coronavirus Taskforce on the importance of adhering to federal guidelines to mitigate the spread of COVID-19.

More details on the call can be found below: https://t.co/n194gcTqun"
1246182267665485829,2020-04-03 21:06:20,"The best thing Texans can do to help maintain hospital capacity is to stay at home unless engaged in essential services or activities. 
 
Staying home saves lives.

https://t.co/AzUn9vEUOt https://t.co/iVQoa339gM"
1246181824398856193,2020-04-03 21:04:34,"The State of Texas has taken robust action to expand bed availability to make sure that every Texan who needs a hospital bed will have access to one.

Hospital bed availability has increased by more than 140% in the last 2 weeks (March 18th).

https://t.co/AzUn9vEUOt https://t.co/CzTkVqTBZa"
1246129555947036673,2020-04-03 17:36:52,"RT @TravelTexas: Do your part to keep yourself and those around you healthy and stay at home. Your Texas to-dos for now are to stay home, w…"
1246093484718768128,2020-04-03 15:13:32,"Small businesses in Texas looking for information and resources to stay #TexasBizStrong? 

Start here ↓ https://t.co/oH6h1DlMdH"
1246091574011977734,2020-04-03 15:05:57,"RT @GregAbbott_TX: We are providing Comfort Food Care Packages to support Texas youth and families as we combat the #coronavirus. 

#COVID1…"
1246072622389092352,2020-04-03 13:50:38,"RT @GregAbbott_TX: We want everyone to get full unemployment benefits.

We changed the unemployment policy to ensure you receive benefits e…"
1245781387782864899,2020-04-02 18:33:23,"RT @TexasDFPS: Do you have any PPE equipment to donate? Texas Needs Supplies, Services and Equipment! #covid19 

Visit the link to learn mo…"
1245762223663910912,2020-04-02 17:17:13,"The State of Texas is committed to supporting the EMS and first responder workforce and maximizing the number of available response services for Texans. 

https://t.co/dyQLQa8OMi https://t.co/9zOReHWPv8"
1245723136861130753,2020-04-02 14:41:54,"Help save lives.

#StayHomeTexas https://t.co/F7iHlI96Q7"
1245465991498301441,2020-04-01 21:40:06,"A video message to Texans as the latest Executive Order goes into effect.

By following social distancing practices, we will slow the spread of COVID-19. We will save lives. And we will make it through this challenge together.

https://t.co/n07w6v77tz https://t.co/QH3K1kajwB"
1245441182546767872,2020-04-01 20:01:31,"RT @TXWorkforce: Have a question about the unemployment claims process? 
Meet Larry, TWC’s new chatbot who can instantly answer forty of th…"
1245424348330176513,2020-04-01 18:54:38,"Joining @TDHCA in taking initial action to provide tenant-based rental assistance for Texans experiencing financial hardship due to #COVID19.

https://t.co/hahZqw8XEp https://t.co/hZ0ccj9Wt9"
1245373347900334088,2020-04-01 15:31:58,RT @teainfo: Staying apart now means saving lives and getting back to our normal routines faster. Please reference our flier on how to stop…
1245348102661378048,2020-04-01 13:51:39,"Announcing $14.1 million In grants to Texas military communities to increase the military value of Texas installations &amp; protect jobs: Abilene, Alamo Area Council of Governments, Corpus Christi, El Paso, Texarkana &amp; Tom Green County. 

https://t.co/L6W67voc0u"
1245125571958407168,2020-03-31 23:07:24,"The Comfort Food Care Package program will provide many Texas families with an additional food source, while giving Texans another way to support local restaurants and their fellow Texans as the state responds to #COVID19.

https://t.co/MVNaaOSmiS https://t.co/wH8WZqxQG9"
1245094994362368000,2020-03-31 21:05:54,RT @TexasHHSC: News Release: Texas Health and Human Services has launched a 24/7 statewide mental health support line to help Texans experi…
1245084956134707202,2020-03-31 20:26:00,"Announcing Essential Services &amp; Activities Protocols to minimize non-essential gatherings &amp; in-person contact w/people who aren't in the same household.

These protocols follow decisions by @POTUS @CDCgov to enhance &amp; extend social distancing guidelines.

https://t.co/BtfCrHUegb https://t.co/4WvCy9w4BO"
1244783243918000129,2020-03-31 00:27:06,"The Center for Medicaid and Medicare Services has approved the Section 1135 Medicaid Waiver submitted by @TexasHHSC on March 25, 2020.

This approval grants Texas flexibility in administering Medicaid while the state continues to respond to COVID-19.

https://t.co/Pj5HEcoZ4O https://t.co/pfXA6HnlPK"
1244737182360887303,2020-03-30 21:24:05,RT @TexasEconDev: Update: The @smallbizcmte has published a comprehensive guide to many of the #smallbusiness provisions in the Coronavirus…
1244736856102748160,2020-03-30 21:22:47,"Waiving #COVID19 medical cost-sharing for public safety employees in the Lone Star State.

https://t.co/xx3DLL9WGW https://t.co/iZ7Sm3DEvh"
1244693804353032192,2020-03-30 18:31:42,"RT @TexasDSHS: The best way to celebrate #NationalDoctorsDay is to #StayHomeTexas. We stay home so they can come home. 

Know a doctor, nur…"
1244386615369310210,2020-03-29 22:11:03,Two new Executive Orders were issued: mandating a 14-day quarantine for road travelers arriving in Texas from Louisiana; relating to the release of individuals in county and municipal detention. https://t.co/9hzewriigI
1244386379473268739,2020-03-29 22:10:07,"The prior Executive Order mandating self-quarantine for those arriving from the NY Tri-State Area and New Orleans is expanded to include air travelers from California, Louisiana, Washington, Atlanta, Chicago, Detroit and Miami. https://t.co/PzPcHe5XRW"
1244386201160880129,2020-03-29 22:09:24,"The first of these sites will be the Kay Bailey Hutchison Convention Center in Dallas. While hospitals will remain the primary location to treat and care for patients, we are ensuring Texas is prepared for any possible scenario. https://t.co/TlDLr4P7O9"
1244385926513647618,2020-03-29 22:08:19,"Texas has doubled #COVID19 hospital bed availability this past week. The state is also working with @TXMilitary and @USACEHQ to equip locations to serve as health care facilities if additional capacity is needed. 

https://t.co/VlfDTX4jnO https://t.co/5ESKmmBpPV"
1244310123264212997,2020-03-29 17:07:06,"The Section 1135 waiver requested by @TexasHHSC will help alleviate potential staffing &amp; resource shortages &amp; ensure our health care workers &amp; facilities are fully equipped to provide care to Texans throughout the #COVID19 response.

https://t.co/bc65KlTLy6 https://t.co/zWcfYl3xJW"
1244282014683074560,2020-03-29 15:15:24,"Today on National Vietnam War Veterans Day, we pause to honor those who served. 

#WelcomeHome https://t.co/zlacHvbHg7"
1243996054531575809,2020-03-28 20:19:06,"By expediting the process for APRNs to reactivate their license, Texas is allowing more healthcare professionals to reenter the workforce and assist in our effort to combat #COVID19.

https://t.co/uZn8fpsIFV https://t.co/Cvgyr1Qwne"
1243965256478621700,2020-03-28 18:16:43,"With these waivers, pharmacists and pharmacy technicians can continue to meet the needs of their fellow Texans without potential delays caused by an expired license.

https://t.co/lXRpkkoFIW https://t.co/YnsMttKCgk"
1243642389924909063,2020-03-27 20:53:46,"Deploying three National Guard Brigades to serve alongside TX healthcare professionals &amp; first responders, offering unparalleled logistics capabilities, medical expertise, communications support, infrastructure maintenance &amp; transportation assets.

https://t.co/JhU8Zt48q3 https://t.co/kVQW4xt769"
1243602547086176256,2020-03-27 18:15:26,"RT @TexasDSHS: Is it #COVID19, flu, or a cold?

If you're at higher risk and develop fever or symptoms, call your doctor. If you're not sic…"
1243546350542782464,2020-03-27 14:32:08,"RT @GregAbbott_TX: A HUGE thank you to all the truckers who are hauling the supplies that Texans need across the state, especially at this…"
1243279807179370496,2020-03-26 20:52:59,"Issuing an Executive Order that mandates a 14-day quarantine for people traveling to Texas as their final destination through an airport from New York, New Jersey, Connecticut or New Orleans.

https://t.co/PxnPBylRqr https://t.co/ogvzPZHyMr"
1243240309649268737,2020-03-26 18:16:02,"The flexibilities @TexasHHSC is requesting through the Section 1135 Medicaid Waiver will help ensure Texans on Medicaid continue to have their routine needs met, even as the state responds to COVID-19.

https://t.co/0BKYHUs8gD https://t.co/hgvKc4W1d7"
1243178251364827136,2020-03-26 14:09:26,"RT @GregAbbott_TX: We are grateful that so many Texans are offering help to respond to the #coronavirus.

Anyone who would like to be consi…"
1242937937525956610,2020-03-25 22:14:31,"A special message from @TexasFLCA: Reach out to older or isolated family &amp; neighbors. 
 
Reassure them. Call 2-1-1 for health, food, housing &amp; assistance.

Check https://t.co/mKBIf7dTFv for health tips. 
 
#TexasStrong https://t.co/R4mB89aBUA"
1242928690180296708,2020-03-25 21:37:46,"Nurses are essential to protecting the public health and safety of our communities as we combat #COVID19.

https://t.co/D3JEB5OUxG https://t.co/9sl87bIjDc"
1242905829600362497,2020-03-25 20:06:56,"Taking action to expand hospital capacity across the Lone Star State.

https://t.co/kOyRNyxb1d https://t.co/Ab3mR7lUeQ"
1242892226797228032,2020-03-25 19:12:53,"A Major Disaster Declaration has been issued for the State of Texas.

The President’s declaration opens up new sources of funding for individual and public assistance that will help Texas respond to this public health emergency and protect public health and safety. https://t.co/PHe2dtKWig"
1242875551439880193,2020-03-25 18:06:37,RT @TexasHHSC: New: @GovAbbott Sends Letter Seeking Permission For SNAP Recipients To Use Their Benefits At Take Out And Drive-Thru Restaur…
1242865828154036228,2020-03-25 17:27:59,"RT @GregAbbott_TX: Many Texans have questions about unemployment benefits. 

The Texas Workforce Commission will answer your unemployment q…"
1242824243089457153,2020-03-25 14:42:44,"Arlington, Texas, is the proud home of the new National Medal of Honor Museum. The Medal of Honor is our nation’s highest medal for valor in combat. Among Texas recipients: Audie Murphy, Roy P. Benavidez &amp; Clarence Sasser. Search their stories &amp; more &gt; https://t.co/kHfCStyGNB"
