id,created_at,text
1246976584541589504,2020-04-06 01:42:40,"The State has not taken over distribution of hydroxychloroquine, though high demand may be creating shortages. You can see @UtahDepOfHealth's recommendations for COVID-19 patients here: https://t.co/il8Mze79pA https://t.co/LX2NKy0REo"
1246976472373313537,2020-04-06 01:42:13,"This is not true. The State of Utah has not taken over distribution of hydroxychloroquine, though high demand may be creating shortages. You can see @UtahDepOfHealth's recommendations for COVID-19 patients here: https://t.co/il8Mze79pA https://t.co/ExF0R1nT9R"
1246220841752227840,2020-04-03 23:39:36,"RT @SpencerJCox: Hey friends, first some good news: Utah is now 5th in the nation in testing per capita! Unfortunately like many states we…"
1246167228359127041,2020-04-03 20:06:34,"This will be effective immediately. Those who are currently in @ZionNational will have the rest of today to leave, and the park will be closed starting tomorrow morning."
1246167061518303233,2020-04-03 20:05:54,"Today, after consultation with Washington County officials and the @Interior, we have determined it is appropriate and necessary to close @ZionNational Park, until we decide we can lift the #StaySafe, #StayHome directive."
1246167060750589953,2020-04-03 20:05:54,I have directed that @UtahStateParks be reserved for the residents of the county in which those parks are located. Do not attempt to visit parks outside your county of residence.
1246167059999780865,2020-04-03 20:05:54,"If your primary residence is on the Wasatch Front and you are traveling to Washington County to gather with extended family members for a recreational weekend, turn around and go home."
1246167059324522496,2020-04-03 20:05:54,"Acceptable reasons to leave home include going to work, or getting necessary supplies, like food or medication.

Outdoor recreation is fine, but NOT in groups, and only if appropriate social distancing is maintained."
1246167058644996096,2020-04-03 20:05:54,"Do not travel except for essential services.

Do not hang out in groups, inside or outside.

Only leave home if you have to, and do so as little as possible."
1246167057936183296,2020-04-03 20:05:53,Sunday dinners (or dinner parties on any day of the week) with family or friends from outside your household are off the table. Students who are home from college should NOT treat this like an early summer vacation.
1246167057256681472,2020-04-03 20:05:53,"Do not play volleyball with friends at your apartment complex. Do not meet friends for a pick-up basketball game. 

Even small group gatherings are dangerous."
1246167056568823810,2020-04-03 20:05:53,Only people who are living under the same roof should be under the same roof or spend time together. Period.
1246167055885164544,2020-04-03 20:05:53,"Do not spend free time with people outside of your immediate household.

Do not have visitors in your home — even members of your extended family."
1246167055285383168,2020-04-03 20:05:53,"Let me be clear about what is expected and required of us all, if we want to slow the spread of COVID-19."
1246167054551412736,2020-04-03 20:05:53,"To slow the spread of the pandemic, we MUST live differently. Many are carefully complying with the #StaySafe, #StayHome directive. Many others, however, might believe that they are obeying the directive, while making convenient exceptions here and there."
1246163469205831680,2020-04-03 19:51:38,@UtahCoronavirus @UtahStateParks @Interior @ZionNPS @UtahStateParks are closed to non-county residents. You may still visit state parks in your own county.
1245853161597874176,2020-04-02 23:18:35,"If you have COVID-19 concerns or think you need a test, first, stay home. Use online resources or call 800-456-7707. For moderate to severe symptoms, find a testing facility in your community. Visit https://t.co/OHttfLOuBd for more info. #StayHome"
1245853160071028741,2020-04-02 23:18:34,"We’re grateful to have #TestUtah up and running. Visit https://t.co/SFfv6LysCL to take an assessment to see if you should be tested for COVID-19. We hope to have tests for everyone who wants them soon — but right now, we are focusing on testing those who are symptomatic."
1245850619660754945,2020-04-02 23:08:29,"Think you need to be tested for COVID-19? Visit https://t.co/SFfv6LysCL for a new way to be tested. Together, we can #testutah, and we will get through this together. Next up, I challenge @PostMalone @UtahCoachWhitt @SenMikeLee &amp; @TraegerGrills. https://t.co/9EhXHaiccI"
