id,created_at,text
1247292444900802564,2020-04-06 22:37:47,A nice shoutout to #Ohio's frontline healthcare providers and first responders from Cub Scouts in Wintersville. #InThisTogetherOhio #StayHomeOhio https://t.co/oRjD7CyKGy
1247242762518396930,2020-04-06 19:20:21,".@DrAmyActon: Double down on your commitment, Ohio. Let's fight this together. We do not want to be passive and let this virus own us. We need to own everything that is in our control. #InThisTogetherOhio #StayHomeOhio"
1247242516799291393,2020-04-06 19:19:23,".@DrAmyActon: I don't think this is our peak week. I think our peak will be further out. But, what we're doing today is contributing to controlling the surge. Don't give up. Our ability to control this storm is in our hands. A huge part of it is what we are doing collectively."
1247241243760959490,2020-04-06 19:14:19,"Another thing: The number of prisoners coming in every week is going down, and that in itself is taking our population down. We want to give our prison officials more flexibility to move inmates around to better settings to reduce the spread of #COVID19."
1247240907440750592,2020-04-06 19:12:59,We're going through a tough analysis of who we can release on different conditions. I don't have the power to release inmates quickly -- that's why this weekend we sent a first batch of inmates to judges to consider judicial release. We will be announcing more tomorrow.
1247240904206880768,2020-04-06 19:12:58,"I want to assure everyone who works in a prison, those who have family in prison, those who are in prison: We will do everything we can every day. This is something we will continue to battle, but @DRCOhio is doing a great deal to minimize inmate contact and stop #COVID19 spread."
1247239658343448583,2020-04-06 19:08:01,.@DrAmyActon: You all are moving mountains. You are saving lives. I get emotional when I talk about this. This is no small thing we are doing together. It's hard to shut down our lives the way we have. I know we will look back and know that we all saved each other in this state. https://t.co/txHytUiRt4
1247237256089415682,2020-04-06 18:58:29,".@DrAmyActon: We need to double the hospital capacity to handle the upcoming surge. But our social distancing has absolutely had an impact. This is going to be a hard week, and we have a couple hard weeks ahead. But we can't let up. The moment we let up it will all unravel. https://t.co/JHdcF0C7Df"
1247236501026504710,2020-04-06 18:55:29,".@DrAmyActon: To those impacted by #COVID19, we are thinking of you and we care about you. We will do everything we can to give you the best care in #Ohio."
1247235934866767875,2020-04-06 18:53:14,"The second we can do widespread testing of the population, it's crucial to do that in a way that provides a good picture of race, ethnicity, the disabled, elderly, those dealing w/ life-threating illnesses, etc. -- we must not leave anyone behind. https://t.co/HhlsqtryEV"
1247235394275627009,2020-04-06 18:51:05,"Cases/deaths by race and ethnicity in #Ohio. ⬇️ 25% of cases don't have race listed, and 39% don't list ethnicity. So, we know some people are opting out of providing that information. We are working to capture this data as best we can. We encourage people to fill in that data. https://t.co/T9jh25oRKb"
1247234811862945793,2020-04-06 18:48:46,"We do have deaths as young as the 30-39 age range. We are seeing a higher number of female cases, but deaths are higher in males. https://t.co/RAUWSVEI4e"
1247234533222748160,2020-04-06 18:47:39,"@DrAmyActon: We will have new data coming soon that will give us new data from the hospitals. We do know that 303 of our cases that have been hospitalized and released, 25% of them have reached that period of recovery. https://t.co/MT4xQ7Rqfm"
1247233843591032833,2020-04-06 18:44:55,.@DrAmyActon: Today's #COVID19 data dashboard for #Ohio. https://t.co/QiHUzkhfTo
1247233692587700227,2020-04-06 18:44:19,"If you stick to what you're doing, there is reason to be optimistic. I think a lot of people are looking for optimism and you are providing it with your actions."
1247233384109260801,2020-04-06 18:43:05,"We're hopeful our destiny is changed by your actions. Don't let up, if you see this through, we are going to get out of this stronger."
1247233380724375553,2020-04-06 18:43:05,"As you see, Ohioans, you're in gray. You've followed what we've all asked of each other. Data is thru the week of March 23. We hope the sacrifices you are making now will be in the modeling in the future. https://t.co/bj8DwdWgFQ"
1247233377046016001,2020-04-06 18:43:04,".@LtGovHusted - This map is a source of optimism. If you sacrifice now, you'll see the dividends later. Red shows people who are still traveling. On gray side, the more that people have been compliant with #SocialDistancing. https://t.co/QscZ8Ni7C5"
1247232618330050560,2020-04-06 18:40:03,".@LtGovHusted: There are over 29,000 open jobs listed on https://t.co/GmJmB2vYPx. 

These are great opportunities to pitch in and help the team of people trying to deliver the services we all need."
1247231778512941058,2020-04-06 18:36:43,".@LtGovHusted: Again, the new #StayHomeOhio order goes into effect at midnight tonight, including the dispute resolution commission. Find details at https://t.co/edCQrnyOjJ. We will make the deliberation public and we expect to have a 24 hr turnaround time."
1247231086020767745,2020-04-06 18:33:57,"For those coming into #Ohio after being out of state: To be clear, we're not talking about medical professionals, truckers, or those providing essential services. The order applies to those who vacationed elsewhere, went to a meeting in another state, etc."
1247230738019344385,2020-04-06 18:32:35,We are working with mobile food vendors to set up to provide truckers options for hot meals b/c the restaurant options are limited today.
1247230734550667267,2020-04-06 18:32:34,".@ODOT_Statewide Director Jack Marchbanks: 
The trucking industry is always a vital part of our economy. Their jobs are even more important now. We know this is a challenging time for this industry as it is for all of us. We're trying to make things easier for them. https://t.co/cawkjdoeFN"
1247230196027133953,2020-04-06 18:30:25,"Overall we are doing pretty well. Ohioans are doing the right thing, and we can't let up. But we do have the concern that people coming in from other states will bring #COVID19 in with them."
1247229954372374528,2020-04-06 18:29:28,"Snowbirds coming back to #Ohio from places like Florida: Welcome back, we want you back -- but anyone coming back into Ohio (a resident or non-resident) must quarantine for 14 days."
