id,created_at,text
1247353352700096513,2020-04-07 02:39:48,"RT @Nico_Galette: Thank You @PhilMurphyNJ for Honoring My Mother, Colette Lamothe-Galette, In Such A Beautiful Way 💜🙏🏾 . https://t.co/SA8RF…"
1247353323025547266,2020-04-07 02:39:41,RT @thierry_klein: Remain committed and stay home! Social distancing works and we need all of us to continue doing our part! @GovMurphy tha…
1247344813139210242,2020-04-07 02:05:52,"RT @NewJerseyOAG: We’re cracking down on those who disregard @GovMurphy’s emergency orders. For the latest actions against violators, visit…"
1247321363498651649,2020-04-07 00:32:41,"RT @FEMA_Pete: This past weekend, the @NJNationalGuard helped set up 500 hospital beds in a field medical station at the New Jersey Convent…"
1247296268289875972,2020-04-06 22:52:58,We now bring you this important announcement from one of our youngest New Jerseyans 👇 https://t.co/e4hrTAdD8k
1247276159047553029,2020-04-06 21:33:04,RT @CNBCFastMoney: New Jersey governor @GovMurphy weighs in on the latest updates on the coronavirus crisis. https://t.co/la4q57zVho
1247275207427067906,2020-04-06 21:29:17,"We need all the experienced help we can get right now – from retired law enforcement officers to nurses.
 
That's why I just signed an Executive Order allowing retirees to return to State and local government employment without impacting their retirement pensions. https://t.co/rEyDMxkDzn"
1247261335546728449,2020-04-06 20:34:10,"Gina – we cannot thank you enough for stepping up to help New Jersey in our time of need. You are a hero.

This is an all hands on deck moment – if you have prior medical experience, New Jersey NEEDS you. Please sign up to volunteer at https://t.co/inf3CNJoOL. https://t.co/WFBzg7aR44"
1247252709222342660,2020-04-06 19:59:53,"Grateful to our health care workers for their selfless service, commitment, and bravery.
 
In partnership with @HMHNewJersey, let's #LightTheFight &amp; show how much we appreciate our heroes:
🕯️Hang a string of lights on your home
🕯️Put  lanterns or flameless candles in your windows https://t.co/KHHB6iE9nR"
1247247718180950021,2020-04-06 19:40:03,To all the jackasses out there who we now have to carry – get with the program. We know who you are and we will not relent until we have 100% compliance. https://t.co/b0ic1maDgT
1247244324863201280,2020-04-06 19:26:34,RT @FirstLadyNJ: I am heartbroken to hear of Colette’s passing. Working alongside Colette to improve maternal and infant health outcomes wa…
1247243165179969545,2020-04-06 19:21:57,"As of 2:00 PM, #COVID19 statewide stats:
• Positive Tests: 41,090
• Deaths: 1,003

For updates: https://t.co/JW1q8awGh7 https://t.co/tfhL6o9J05"
1247243164227973124,2020-04-06 19:21:57,"• Hunterdon: 2
• Mercer: 19
• Middlesex: 87
• Monmouth: 62
• Morris: 60
• Ocean: 71
• Passaic: 53
• Salem: 2
• Somerset: 31
• Sussex: 11
• Union: 78
• Warren: 7
• Unknown: 14"
1247243163191869442,2020-04-06 19:21:57,"We’ve lost another 86 New Jerseyans to #COVID19, bringing our total to 1,003 deaths.
• Atlantic: 1
• Bergen: 200
• Burlington: 11
• Camden: 8
• Cape May: 3
• Cumberland: 2
• Essex: 186
• Gloucester: 3
• Hudson: 92"
1247243162202095617,2020-04-06 19:21:57,"• Mercer: 740
• Middlesex: 3,263
• Monmouth: 2,545
• Morris: 1,956
• Ocean: 2,374
• Passaic: 3,756
• Salem: 29
• Somerset: 902
• Sussex: 292
• Union: 3,685
• Warren: 215
• Under Investigation: 3,521"
1247243160222347264,2020-04-06 19:21:56,"We have 3,663 new positive #COVID19 cases, bringing our total to 41,090.
• Atlantic: 132
• Bergen: 6,862
• Burlington: 646
• Camden: 645
• Cape May: 85
• Cumberland: 64
• Essex: 4,493
• Gloucester: 279
• Hudson: 4,395
• Hunterdon: 211 https://t.co/Ornl69EOrw"
1247234736302575616,2020-04-06 18:48:28,"RT @BillPascrell: Our first responders, doctors, &amp; nurses are making heroic efforts every day, as are our neighbors staying home. But their…"
1247233731879993344,2020-04-06 18:44:28,"We can do this.

We’re New Jersey.

We’re used to doing the impossible."
1247233595724443648,2020-04-06 18:43:56,"I cannot thank all of you who are doing the things we need you to do, in your communities, enough.

We’re working as one family should – we’re looking out for each other and we’re supporting each other."
1247233551239692289,2020-04-06 18:43:45,"Earth Angels for Dementia is turning their focus to help those fighting #COVID19 on the front lines by providing free meals to our public health workers and first responders.

If you’d like to sponsor a meal for some of our heroes, visit https://t.co/l1kROj3Zl2. #NJThanksYou"
1247233185672581125,2020-04-06 18:42:18,"I just got off the phone with @realDonaldTrump – he granted our request for access to some of the beds on the USNS Comfort.

This is a big step for us. I thank both the President and @VP."
1247231977864003586,2020-04-06 18:37:30,"A huge thank you to the men of @IBEW, and in particular, their state Political Director Ian Leonard, who have made a donation of much-needed PPE – N95 masks and Tyvek gloves, jackets, and booties.

Thank you!"
1247231792911986688,2020-04-06 18:36:46,"There are many more sites being run by hospitals or other private-sector partners that are not listed. If you believe you’re showing symptoms, please call your primary care practitioner right away. They can assess you &amp; direct you where to go get a test if you meet the standard."
1247231695402741760,2020-04-06 18:36:23,"Across New Jersey, there are 15 other publicly-run and accessible testing sites.

Visit https://t.co/JZg9mGpUuV for more information."
1247231565857464322,2020-04-06 18:35:52,"REMINDER: Tomorrow only the @BergenCC drive-through testing site will be open. @PNCArtsCenter site will be open on 4/8.

Each site will open at 8:00 AM and operate until it reaches its 500 tests. You must be a NJ resident exhibiting symptoms of respiratory illness to be tested."
1247231446365896704,2020-04-06 18:35:23,"BREAKING: Today I’m signing an Executive Order to allow retired public employees to return to work – in whichever capacity they can – to help us throughout this emergency without impacting their pension status.

We need all the experienced help we can get."
1247231399800832004,2020-04-06 18:35:12,"Our charge to you remains the same:

Keep social distancing.

Keep washing your hands.

Keep staying indoors.

Keep being smart."
1247231326564089856,2020-04-06 18:34:55,"The curve is flattening.

But, this is no time to spike any footballs or to take our foot off the gas.

We still have a week-and-a-half to go, at least, until we hit the peak.

This isn’t over – not by a long shot."
1247231154102702086,2020-04-06 18:34:14,"From day one, our goals have been twofold:
1️⃣ #FlattenTheCurve and give our health care system the ability to withstand the onslaught
2️⃣ Ensure that the PPE and equipment our front-line responders need gets to where it’s needed most efficiently and before there’s a crisis"
1247230858060345344,2020-04-06 18:33:03,"This map shows us the zip codes where those of you using our self-assessment on https://t.co/JW1q8awGh7 are reporting from.

From these self-reports, we can start tracking potential hot spots and begin to assess our future equipment and PPE distribution needs. https://t.co/6LIw62y20M"
1247230695744954368,2020-04-06 18:32:24,"We have a tough enough job as it is on the lower curve. We believe fully that we can make it given our rate of PPE acquisition. 

If you stop your social distancing, your life and the lives of our medical personnel will be in much more danger."
1247230550194229250,2020-04-06 18:31:50,"If we relax our social distancing, our health care system will be overrun with a surge FOUR TIMES what it could be. That would be literally disastrous.

We’re already doing all we can to uncover every piece of PPE along with every ventilator we can possibly mobilize."
1247230430715281410,2020-04-06 18:31:21,"If we keep up with our current practices, we can get through the peak with the hospital beds that we’re preparing.

If we relax our social distancing, we will overwhelm the system to the point that ALL of our contingency plans, and then some, will need to go into effect. https://t.co/6wgUrczC1I"
1247230177396080640,2020-04-06 18:30:21,"If we stick to the bottom curve, we get to the peak of that flatter curve much more quickly. We can then drop down the other side that much more quickly, too.

The difference is literally in the 420,000+ positive cases we can prevent. This is not a game. This is life or death."
1247229922227167232,2020-04-06 18:29:20,"Look at this graph:
Shadowed line = where we would be had we done nothing
Red line = our trajectory if everyone relaxed their social distancing &amp; stopped staying home

If we continue to stay home and practice social distancing, we can stick ourselves to the bottom curve. https://t.co/f2cbQaIrO4"
1247229705557872640,2020-04-06 18:28:28,"In real time, we’re seeing a DECLINE in the growth rate of new cases, from 24% day-over-day on March 30th, to roughly 12% today.

Our efforts #FlattenTheCurve are STARTING TO PAY OFF. Our job now is to keep flattening it to the point where our day-over-day increase is ZERO. https://t.co/5o6MYdwYdt"
1247229448958730240,2020-04-06 18:27:27,"We’ve built a strong modeling program that we can use with great  – and increasing – confidence.

What we can see, together, is that while we’re not anywhere close to being out of the woods yet, we’re on the right path to get there."
1247229132041261056,2020-04-06 18:26:12,"When we began our preparations for responding to this emergency back in January, we knew that only an objective, fact-based, moneyball approach would get us through this. This approach has shaped our aggressive stance on social distancing."
1247228826595328000,2020-04-06 18:24:59,"We cannot give in to fear or sadness.

We must resolve to continue our fight together. To crack the back of this crisis. To #FlattenTheCurve. So we have fewer and fewer lives lost and friends to mourn."
1247228724732407808,2020-04-06 18:24:35,"Susan Cicala was a registered nurse for 37 years, working at both Clara Maas Medical Center and Northern State Prison.

She was also a wife, mother, grandmother, aunt, and sister. Her loss will be felt by so many, and our hearts are with her family. https://t.co/tdnoarmBIW"
1247228474609340416,2020-04-06 18:23:35,"Daisy Doronila served as a nurse at the Hudson County Correctional Center for more than 20 years. She was a single mom, lived in Nutley, and a proud member of @district1199J. She gave tirelessly to her family and community. Our deepest condolences to her family. https://t.co/Xw7Nitgga8"
1247228264613056512,2020-04-06 18:22:45,"Colette Lamothe-Galette dedicated her life to improving the health of New Jerseyans. A beloved former @NJDeptofHealth Deputy Commissioner, she most recently worked at @NicholsonForNJ. We mourn alongside her loved ones and @NJDeptofHealth family as they lead our #COVID19 war. https://t.co/l84WMTe9rF"
1247227991828152321,2020-04-06 18:21:40,"We just learned, moments ago, of the passing of @JerseyCity Councilman Michael Yun.

He was a respected leader and a good man. A terrific husband, father, and grandfather.

We stand with Jersey City in mourning his loss, and we send our thoughts to his family. https://t.co/TyTB4yJOUu"
1247227738915852289,2020-04-06 18:20:39,"NEW: We’ve received 3,663 positive #COVID19 test results since yesterday, bringing the statewide total to 41,090.

Sadly, we must report another 86 deaths due to #COVID19 related complications. Our statewide total has now eclipsed 1,000, and sits at 1,003. https://t.co/RH0PoEkVYQ"
1247227700009488384,2020-04-06 18:20:30,RT @NJTVNews: WATCH LIVE: State officials hold April 6 coronavirus briefing https://t.co/9tILzyMrpB
1247214095180484608,2020-04-06 17:26:27,"Our North Star:
📈Data
🧪Science
💊Medicine
📋Facts

These values will continue to guide us on our mission to save lives."
1247205618697543682,2020-04-06 16:52:46,"Was joined by @SenBooker for a #COVID19 video call with @VP, Dr. Debbie Birx, @WhiteHouse officials, and fellow governors, where I secured @fema support for our partnered drive-through testing sites through the end of May. This will save lives. https://t.co/IvZRcuVJFx"
1247180446280097795,2020-04-06 15:12:44,"REMINDER: The @PNCArtsCenter drive-through #COVID19 testing site is OPEN today for symptomatic New Jersey residents. 
 
The @BergenCC testing site is CLOSED today.
 
Learn More: https://t.co/JWOivRwTVE"
1247180144554455041,2020-04-06 15:11:32,"RT @NewJerseyOAG: Some officers spent the weekend cracking down on more social-distancing violators, including disrespectful partiers in Ru…"
1247180129849278465,2020-04-06 15:11:29,RT @JerseyFreshNJDA: And we need our farmers #NoFarmersNoFood #SupportNJfarmers #FindJerseyFresh https://t.co/xl785yDf6z
1247180117136289801,2020-04-06 15:11:26,"RT @NJNationalGuard: New Jersey National Guard Soldiers &amp; Airmen setting up another non-COVID-19 hospital at the NJ Expo Center in Edison,…"
1247156425215954950,2020-04-06 13:37:17,"RT @msdickstein: Life has changed drastically as New Jersey State Teacher of the Year since COVID19. Serving now as an amateur TV host, cas…"
1247155464904769536,2020-04-06 13:33:28,"Join me live today at 2:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://t.co/3MsqW2Ng2p
Twitter: https://t.co/Io34K1c3b8
Facebook: https://t.co/UXKfdCz94H https://t.co/8A1xFVyjkS"
1246978300951609350,2020-04-06 01:49:29,We will beat this virus and we will emerge from this fight stronger than ever because we're #JerseyStrong. https://t.co/pkFbQEjsPs
1246855616880091136,2020-04-05 17:41:59,RT @BillPascrell: Our @GovMurphy is scouring the ends of the earth to help get ventilators to our hospitals. Every day and every device has…
1246855246422380546,2020-04-05 17:40:30,Wishing a blessed #PalmSunday to our Christian community throughout New Jersey and across the world. https://t.co/IY6FhLdTZL
1246848590888173569,2020-04-05 17:14:04,"Many of NJ’s craft distilleries have started producing and giving away hand sanitizer to residents and public health responders. Here’s just one of their stories. #NJThanksYou, Claremont Distillery, and all of NJ’s craft distillers!

https://t.co/JwEdJTjpxP"
1246848418829434880,2020-04-05 17:13:23,"Pennsauken’s Shawn and Jeffrey Jones operate @TTutoringLLC, and are stepping up to offer free help to students. #NJThanksYou and everyone working hard to ensure our kids keep learning!

https://t.co/0GH2y4xqbT"
1246847990855340033,2020-04-05 17:11:40,"Weehawken has lost a favorite son and a model citizen, a man who, quite literally, dedicated his life to bettering his hometown. Sending condolences to the Barsa family, Mayor Turner, Supt. Crespo &amp; all across the township.

https://t.co/ssJuoYMUCz"
1246847860295032835,2020-04-05 17:11:09,"Social worker, artist, jewelry designer. Javiera Rodriguez, a Child Study Team case manager at @BectonHS, wore many hats. She was only 43 years old. We mourn alongside her family, friends, and so many students.

https://t.co/kItWwYREmH"
1246845711767011329,2020-04-05 17:02:37,"As of 1:00 PM, #COVID19 statewide stats:
• Positive Tests: 37,505
• Deaths: 917

For updates: https://t.co/JW1q8awGh7"
1246845710894534663,2020-04-05 17:02:37,"• Hudson: 87
• Hunterdon: 2
• Mercer: 16
• Middlesex: 80
• Monmouth: 58
• Morris: 55
• Ocean: 62
• Passaic: 42
• Salem: 2
• Somerset: 26
• Sussex: 9
• Union: 71
• Warren: 6
• Unknown: 13"
1246845709950898183,2020-04-05 17:02:37,"We’ve lost another 71 New Jerseyans to #COVID19, bringing our total to 917 deaths. 917 reasons to stay home and do your part to #FlattenTheCurve.
• Atlantic: 1
• Bergen: 189
• Burlington: 11
• Camden: 8
• Cape May: 2
• Cumberland: 2
• Essex: 172
• Gloucester: 3"
1246845708881350661,2020-04-05 17:02:36,"• Mercer: 654
• Middlesex: 2,950
• Monmouth: 2,354
• Morris: 1,800
• Ocean: 2,177
• Passaic: 3,227
• Salem: 26
• Somerset: 833
• Sussex: 267
• Union: 3,216
• Warren: 195
• Under Investigation: 3,821"
1246845706482180097,2020-04-05 17:02:36,"We have 3,482 new positive #COVID19 cases, bringing our total to 37,505.
• Atlantic: 121
• Bergen: 6,187
• Burlington: 547
• Camden: 556
• Cape May: 77
• Cumberland: 54
• Essex: 4,082
• Gloucester: 248
• Hudson: 3,924
• Hunterdon: 189 https://t.co/2ZivPhkPsS"
1246840216410718208,2020-04-05 16:40:47,RT @NJLaborDept: Crushing layoffs and furloughs related to the #COVID19 crisis have overwhelmed unemployment agencies nationwide – includin…
1246813006287249413,2020-04-05 14:52:40,"After multiple conversations with the @WhiteHouse, we’ve secured an additional 500 ventilators. 

Ventilators are our #1 need right now. I won't stop fighting to get us the equipment we need to save every life we can."
1246562757849341954,2020-04-04 22:18:16,"Assemblyman Louis J. Gill dedicated his life to helping others and the community he served. His loss is felt throughout Passaic and Bergen Counties, and all of New Jersey. Our thoughts are with his family and friends. 

https://t.co/nEf8aHecDL"
1246525007074861056,2020-04-04 19:48:15,"RT @FirstLadyNJ: Jersey – we got this! 💪
 
Steps we can ALL take to help #FlattenTheCurve:
🧼Wash your hands
🏠Stay home
☎️If you’ve tested p…"
1246516225859096578,2020-04-04 19:13:22,RT @NJLaborDept: NEW FAQS | We hear you. Thank you for your social media messages and emails. The crush of layoffs/furloughs have overwhelm…
1246514994604322818,2020-04-04 19:08:28,"When fellow New Jerseyans are in need – we help.
 
We need more supplies.
 
We need more volunteers.
 
If you have PPE to donate, please visit https://t.co/dsvOeDD9Od.
 
If you want to join our frontline health care force, visit https://t.co/inf3CNJoOL."
1246498569286299650,2020-04-04 18:03:12,"As of 1:00 PM, #COVID19 statewide stats:
• Positive Tests: 34,124
• Deaths: 846

For updates: https://t.co/JW1q8awGh7 https://t.co/syiLIWutqs"
1246498567260422145,2020-04-04 18:03:11,"• Hunterdon: 1
• Mercer: 13
• Middlesex: 76
• Monmouth: 54
• Morris: 51
• Ocean: 56
• Passaic: 38
• Salem: 2
• Somerset: 24
• Sussex: 9
• Union: 66
• Warren: 6
• Unknown: 14"
1246498566308352002,2020-04-04 18:03:11,"We’ve lost another 200 New Jerseyans to #COVID19, bringing our total to 846 deaths. 846 reasons to stay home and do your part to #FlattenTheCurve.
• Atlantic: 1
• Bergen: 179
• Burlington: 10
• Camden: 8
• Cumberland: 2
• Essex: 155
• Gloucester: 3
• Hudson: 78"
1246498565066821633,2020-04-04 18:03:11,"• Mercer: 586
• Middlesex: 2,578
• Monmouth: 2,065
• Morris: 1,618
• Ocean: 2,003
• Passaic: 2,856
• Salem: 25
• Somerset: 765
• Sussex: 236
• Union: 2,916
• Warren: 182
• Under Investigation: 3,935"
1246498562919235584,2020-04-04 18:03:10,"We have 4,372 new positive #COVID19 cases, bringing our total to 34,124.
• Atlantic: 98
• Bergen: 5,760
• Burlington: 469
• Camden: 481
• Cape May: 50
• Cumberland: 40
• Essex: 3,584
• Gloucester: 215
• Hudson: 3,491
• Hunterdon: 171 https://t.co/i1sdJMZld2"
1246494344787439617,2020-04-04 17:46:25,Health care workers are training this morning at our new Field Medical Station at @MeadowlandsExpo. We are fighting to get you the PPE and equipment you need to win the war against #COVID19. Grateful to everyone working day and night on the front lines. https://t.co/TyteHLV86h
1246489651428327425,2020-04-04 17:27:46,Please keep doing what you’re doing to slow the spread and #FlattenTheCurve. That’s everyday heroism.
1246489626757529600,2020-04-04 17:27:40,"There are thousands of ordinary New Jerseyans around our state who are truly living our Jersey values and doing extraordinary things to help us pull through this emergency.

We want to hear their stories. Please keep tweeting them using #NJThanksYou, and we’ll keep sharing them."
1246489368602324993,2020-04-04 17:26:38,"Jim Hofmann is a science &amp; technology educator at @NHSBraves. His son Justin is a resident at @UnivHospNewark.

Jim is using both his personal 3D printer, and the two at Newton High School, to produce protective face shields for our doctors and nurses.

Jim  – #NJThanksYou. 💙 https://t.co/h6hLTo2GcT"
1246489140134318081,2020-04-04 17:25:44,"Gwen Love is the executive director of @lunchbreakNJ. She is keeping the doors open there to continue distributing meals and serving the needs of those across Monmouth County who need a helping hand, especially at this time.

To Gwen and her team – #NJThanksYou. 💙 https://t.co/PrtTh57HXJ"
1246488977504419846,2020-04-04 17:25:05,"REMINDER: The @BergenCC testing site will open tomorrow at 8:00 AM, and will remain open until it reaches its 500-test capacity. You must be a New Jersey resident showing symptoms of respiratory illness to be tested.

@PNCArtsCenter will be closed tomorrow. https://t.co/VAUVhsTF8E"
1246488876643950598,2020-04-04 17:24:41,"We’re still looking for many more people to join the thousands who have already signed up to volunteer to help us on the front lines.

Please visit https://t.co/inf3CNJoOL to add your name."
1246488801276497931,2020-04-04 17:24:23,".@UberEats is donating 14,000 meals – totaling $350,000 – to front-line workers at four hospital systems across the state.

We’re incredibly grateful to them, and we’re incredibly grateful to the workers who will be receiving these meals."
1246488639103696896,2020-04-04 17:23:44,Many of our shore communities lack the health care infrastructure to accommodate an influx of part-time residents. New Jerseyans should stay at their primary place of residence for the duration of this emergency.
1246488619302506498,2020-04-04 17:23:40,"BREAKING: @NJSP Colonel Callahan and I giving municipalities and counties the ability to prohibit all rentals to transient guests or seasonal tenants for the duration of this emergency, including at hotels and motels.

Social distancing does not work by relocating to the Shore. https://t.co/FC2lZIWSrs"
1246488411952857088,2020-04-04 17:22:50,"We will be receiving more than 70,000 N95 masks and 5,000 gloves, among other PPE, from this seizure.

We thank U.S. Attorney Craig Carpenito and Newark FBI Special Agent-in-Charge Greg Ehrie for their efforts in seeing that our front-line workers get this gear."
1246488240871354370,2020-04-04 17:22:09,"Earlier this week, federal authorities broke up a significant PPE hoarding situation in Brooklyn, and seized hundreds of thousands of pieces of PPE.

Yesterday, we learned from the @FBI and @USAO_NJ that NJ will be one of the beneficiaries of the distribution of these supplies."
1246488129021894657,2020-04-04 17:21:43,"We're working to expand hospital capacity by utilizing hotels &amp; dormitories located in hot-spot areas, or in close proximity to hospitals which are nearing capacity.

This is an enormous effort to brings thousands of new beds online. At every level, this is a data-driven process."
1246488077981360129,2020-04-04 17:21:31,"We’re adding hospital capacity as quickly as we can.

We’re working with all of our hospitals to rapidly and significantly increase bed capacity. We’re building-out new wings and bringing vacated buildings back online. We’re building-out our field medical stations."
1246487975111929856,2020-04-04 17:21:06,I also spoke with Jared Kushner this morning about our critical need for ventilators and PPE. We also discussed the need for flexibility for our field medical stations.
1246487593031737344,2020-04-04 17:19:35,"I spoke with @VP this morning about a range of critical asks, including our outstanding ask of 1,650 ventilators. I also re-expressed how important it is that @USTreasury be as flexible as possible when they take money from the CARES Act and apply it to states."
1246485325951766535,2020-04-04 17:10:34,"Look at this graphic from @NYTimes.

Social distancing is vital to slowing the spread.

By being apart, we’re actually working together. https://t.co/ja8ktjTGOz"
1246484704125206528,2020-04-04 17:08:06,"Today, our flags are flying at half-staff in the memory of all who have been lost, and for all the families who have been impacted by #COVID19.

They will continue to fly at half-staff throughout the duration of this pandemic.

No family will be forgotten."
1246484452311785475,2020-04-04 17:07:06,"I learned last night that a dear friend in Morris County, Scott Carlson, lost his dad, Gerald, a life-long New Jerseyan, yesterday. We are keeping Scott and his family in our prayers, too, this weekend. https://t.co/GPmJKHrDB2"
1246484317431386114,2020-04-04 17:06:34,"Perry Rosenstein founded both the Puffin Foundation in Teaneck to support the arts, and the Abraham Lincoln Brigade Archives, to chronicle the American fighters who stood against Spanish fascism during the Franco regime, among so much more. We send our condolences to his family. https://t.co/D8x3rZlU0p"
1246484136040239106,2020-04-04 17:05:51,"Jesus Villaluz was a patient transport worker at Holy Name Medical Center in Teaneck, where he had worked for 27 years. His coworkers remembered the time he won a 50-50 raffle, and instead of keeping it for himself, he shared it with his colleagues. We mourn his passing. https://t.co/ZfvvPgaM9K"
1246483970990256128,2020-04-04 17:05:11,"Retired Colonel Samuel Fuoco served our nation in the Army &amp; Army Reserves for more than 37 years. He was awarded the Bronze Medal for his service in Iraq, and also received the New Jersey Distinguished Service Medal with Oak Leaf Cluster. We thank him for his life of service. https://t.co/tDhClAc839"
1246483651715629062,2020-04-04 17:03:55,"We have now lost nearly 100 more of our fellow New Jerseyans to #COVID19 than we did in the September 11th attacks.

Let that sink in for just a moment.

This pandemic is writing one of the greatest tragedies in our state’s history."
1246483450716131331,2020-04-04 17:03:07,"UPDATE: We’ve received 4,331 new positive #COVID19 cases, bringing our statewide total to 34,124.

Another 200 New Jerseyans have passed due to #COVID19 related complications, bringing our statewide total to 846. https://t.co/wF5zNkrdVG"
1246482517722464257,2020-04-04 16:59:25,Holding a COVID-19 briefing. WATCH: https://t.co/xEKsfUV210
1246453168696971264,2020-04-04 15:02:48,RT @NJDCF: .@NJGov is in need of Personal Protective Equipment (PPE) to help keep those on the front lines of the response to COVID-19 safe…
1246236148562829314,2020-04-04 00:40:26,"Friday night at the Murphy home – ordered takeout from Sogo Sushi and watching a Bond movie. Please remember to support your local restaurants if you can, and stay home! https://t.co/QyLjJOcy8B"
1246220310048882688,2020-04-03 23:37:30,"RT @NJDCA: Many people have experienced loss of income due to #COVID19 leaving some unable to pay rent or mortgage.

If you are in this sit…"
1246198748503572482,2020-04-03 22:11:49,"We're in the fight of our lives. And it’s sadly going to get worse before it gets better.

But, together, will win this fight. https://t.co/daLopKVVCt"
1246198621382610947,2020-04-03 22:11:19,RT @NewBridgeMedCtr: Thank you Governor Phil Murphy this means the world to both our nurses and the hospital! #NJThanksYou #weareinthistoge…
1246190553739472898,2020-04-03 21:39:15,"Practice social distancing, wash your hands, do all you can to #FlattenTheCurve, and STAY HOME! That’s how we can make this happen. https://t.co/rLCOy0a1a2"
1246190167104393223,2020-04-03 21:37:43,"💼Are you a CPA, lawyer, consultant, or retired business owner? Do you have business experience?
 
👩‍💼Our small businesses – the backbone of our economy – need YOUR HELP.
 
📝Sign up to lend a helping hand during the #COVID19 crisis through @SCOREMentors at https://t.co/J76Rbwvfk9"
1246184087104172038,2020-04-03 21:13:34,"RT @SenatorMenendez: Thank you @GovMurphy for this solemn act of recognition, support and honor for the New Jerseyans we have lost to this…"
1246184071451066368,2020-04-03 21:13:30,RT @KatrinaTMcCombs: We truly have Great Teachers in Every Role! Congrats to @CamdenSchools Forest Hill educator Ms. Chavis who will be tea…
1246170629361012738,2020-04-03 20:20:05,"RT @NJGov: In recognition and mourning of all those who have lost their lives and been affected by #COVID19, all U.S. and New Jersey flags…"
