id,created_at,text
1247355230292975616,2020-04-07 02:47:16,"#CTAlert is Connecticut's emergency alert and notification system.

To subscribe to text message alerts, text the keyword COVIDCT to 888-777.

Remember, we can't alert you if we can't reach you. https://t.co/InL1BH9lXW"
1247338398500741120,2020-04-07 01:40:23,We can't think of this virus in terms of individual states. We need to view it on a regional basis to determine the best strategies to beat this. @ChrisCuomo @CuomoPrimeTime https://t.co/x7Ax0T8Vsl
1247333421824663552,2020-04-07 01:20:36,This is a visible way for us to express our appreciation for the dedicated service of health care workers and all of the sacrifices they make to protect our health and safety during this difficult time. https://t.co/95RTs0y0Mp
1247332648256712704,2020-04-07 01:17:32,The value of the press shines during times of emergency like this. Thank you for the jobs each of you do to communicate with the public. https://t.co/IX5JEiBAkJ
1247323703110557697,2020-04-07 00:41:59,I'll be on @CNN's @CuomoPrimeTime with host @ChrisCuomo tonight at 9PM to discuss the latest updates on COVID-19.
1247269473213714432,2020-04-06 21:06:30,Here's the video of our 3:15 p.m. news briefing from today with updates on Connecticut's COVID-19 response. https://t.co/mw5kTyNkzO
1247253095953940481,2020-04-06 20:01:25,"We tried something a little different today and held our news briefing via video conference with no reporters in the room. Rather, they participated through a conference line and asked Q’s that way. We’re trying our best to practice social distancing ourselves. #StaySafeStayHome https://t.co/9nn69CtmtC"
1247242977002561538,2020-04-06 19:21:13,"UPDATE: Since yesterday, an additional 1,231 positive cases of COVID-19 have been reported in Connecticut, bringing the total to 6,906.

1,221 patients have been hospitalized and there have been 206 fatalities.

More than 26,686 patients have been tested.

https://t.co/FpgO8W27I0 https://t.co/JFxiYTGYY5"
1247241365819469824,2020-04-06 19:14:48,"HAPPENING NOW: News briefing to discuss the latest updates on COVID-19.

WATCH LIVE: https://t.co/F0seGIrmK7"
1247222815696306177,2020-04-06 18:01:06,"I will hold a news briefing today at 3:15 p.m. to discuss the latest updates on COVID-19.

Watch live: https://t.co/F0seGIrmK7 https://t.co/caRUEoQx6e"
1247218002887663617,2020-04-06 17:41:58,"Starting tonight, we will illuminate the #QBridge in red lights each evening to honor the health care workers who are working around the clock to fight this pandemic.

Thank you to all of our health care workers for your commitment and dedication.

🔗https://t.co/IWJzO6Vuae https://t.co/yXHnuf5ilX"
1247154857255075840,2020-04-06 13:31:03,"April is #OppositeMonth. The opposite of everything I've ever told my kids:

Don't go to school
Don't go visit your grandparents
Don't go outside and play hoops with friends
Don't go to a worship service

We're going to beat this virus by working together. #StaySafeStayHome https://t.co/97uhUakDSV"
1247147651155574787,2020-04-06 13:02:25,"I'm going to call into @WNPR's @WhereWeLive this morning to discuss the latest updates on COVID-19 with host @LucyVN. Should be on the air around 9:05 a.m.

🔊Listen live: https://t.co/lM25p2VTJn"
1247141226459074561,2020-04-06 12:36:53,"RT @UConn: .@UConnHealth opened a drive-thru #COVID19 sampling site on its Farmington campus on Monday, March 23.

The efficiency of the te…"
1247139576407343108,2020-04-06 12:30:20,"For those who were inquiring about jury duty, on March 12 @CTStateCourts announced that new jury trials (civil and criminal) have been suspended until further notice.

For updates on how COVID-19 is impacting the Judicial Branch, check out this link: https://t.co/jOto7Cx3ZM"
1247130208999784448,2020-04-06 11:53:07,"I'm going to call into #Bridgeport radio station @WICC600 in a few minutes to chat with hosts Tony and Melissa about the latest COVID-19 updates. Should be on the air around 8:00 a.m.

🔊Listen live: https://t.co/XeLkkHtg7o"
1247123742037327873,2020-04-06 11:27:25,#StaySafeStayHome https://t.co/0tMaHwHcKj
1246988055589851137,2020-04-06 02:28:15,"Yesterday on the way home from helping build a care site at @StamfordHosp, a @CTNationalGuard member saw an accident, stopped to pull the occupant out of their vehicle and rendered aid until EMS arrived.

That’s truly the definition of #AlwaysReady #AlwaysThere.

Thank you, CTNG."
1246952182580158464,2020-04-06 00:05:42,ICYMI: Full conversation with @MargaretHoover on @FiringLineShow linked below ⬇️ https://t.co/oF5D9BPDCc
1246916971129643010,2020-04-05 21:45:47,RT @hartfordline: CTDOT strongly encourages the public to reserve using the train for ESSENTIAL TRAVEL ONLY such as getting to and from wor…
1246905649692368898,2020-04-05 21:00:47,RT @CTDPH: Do you have experience working in the medical field or are studying to one day? CT hospitals have put out a call for volunteers…
1246902211529113612,2020-04-05 20:47:08,"I can’t say enough about the grocery workers who’ve been dedicated to providing our communities w/ food and needed supplies.

And I’m very appreciative to the many stores adhering to our #SafeStoreRules.

I know it’s an adjustment but we will get through this by working together."
1246892134474682370,2020-04-05 20:07:05,"UPDATE: Since yesterday, an additional 399 positive cases of COVID-19 have been reported in Connecticut, bringing the total to 5,675.

1,142 patients have been hospitalized and there have been 189 fatalities.

More than 23,270 patients have been tested.

🔗https://t.co/FpgO8W27I0 https://t.co/gUdaUzPZOL"
1246769665134731264,2020-04-05 12:00:26,RT @CTDPH: Ayude a combatir la amenaza del COVID-19 ofreciéndose como voluntario junto a nuestros personal médico. Connecticut está buscand…
1246604983392514048,2020-04-05 01:06:03,This is great. Keep at it Ruthie! 👩🏼‍🚒 https://t.co/QafiJR7ny1
1246601275929747458,2020-04-05 00:51:19,"Proud to join the @anagraceproject tonight for a special reading of Goodnight Moon—a special reminder that with all that’s going on in our world, love always wins. https://t.co/IWT3L6L7S1"
1246590621583847424,2020-04-05 00:08:59,Know of any good books? Tune in tonight to my Facebook page at 8:30pm to find out... https://t.co/rAAxTfEA0v
1246586317628211202,2020-04-04 23:51:53,RT @teachcardona: Thank you to all who made this possible.  #WeGotThis
1246549687425028097,2020-04-04 21:26:19,"During the COVID-19 crisis, public transit has a critical role in helping caregivers, medical professionals, nursing home staff, grocery store workers, and others get where they need to be.

Please reserve use of public transit for essential travel only. #StaySafeStayHome https://t.co/uyIlkHEL2f"
1246541468300345344,2020-04-04 20:53:40,"Connecticut's schools are working hard to ensure nutritious meals are available for kids. As of Friday, more than 1 million meals have been distributed at 128 school districts during this emergency period.

My appreciation goes out to all of the school staff helping out!"
1246535198453510150,2020-04-04 20:28:45,"UPDATE: Since yesterday, an additional 362 positive cases of COVID-19 have been reported in Connecticut, bringing the total to 5,276.

1,033 patients have been hospitalized and there have been 165 fatalities.

More than 22,029 patients have been tested.

🔗https://t.co/FpgO8W27I0 https://t.co/RaxIWp4wVL"
1246531072118095872,2020-04-04 20:12:21,"This will be a big help in our efforts to keep people safe.

Previously, we had been approved to use non-congregate housing for first responders and health care workers who temporarily need a place to live separate from family or roommates, and also those who are homeless.

(2/2)"
1246531071182766081,2020-04-04 20:12:21,"We received word from @FEMA that they've approved our request to add survivors of domestic violence to the groups of people for which CT has been approved to use non-congregate housing.

This means we can ""decompress"" locations and make less congested housing available.

(1/2)"
1246462209804378112,2020-04-04 15:38:43,"RT @MayorBronin: .@GovNedLamont has issued strong social distancing orders. Respect them. For those you love, and for others. Our health in…"
1246416769704693760,2020-04-04 12:38:09,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1246237668285059072,2020-04-04 00:46:28,🤣🤣👏 https://t.co/bHD4TqJnsn
1246229415576719365,2020-04-04 00:13:41,"Different parts of our state, starting w/ FFC will hit the apex of the surge over the next 2-3 weeks. This will give our state &amp; hospitals time to plan and allocate resources—but no matter what, we have a game plan. Do your part to flatten the curve and keep staying safe &amp; home. https://t.co/e01pLUu6uS"
1246221234540601346,2020-04-03 23:41:10,"Here's a summary of all the announcements our administration made today regarding COVID-19.

🔗https://t.co/8uYOfuo9sr https://t.co/j8WQVcVwbu"
1246216767619371009,2020-04-03 23:23:25,"Our data suggests that 12,000 hospitalizations is the projected peak of the COVID-19 virus in Connecticut https://t.co/1CcrR7FaQN"
1246212338581229568,2020-04-03 23:05:49,"This chart is designed to show the dates for when hospitalized cases are likely to peak. The dispersion of total number of cases has many different variables, which is why they are not estimated on this chart."
1246193017733746689,2020-04-03 21:49:03,📺Here's the video of our 4PM news briefing from today with updates on Connecticut's COVID-19 response. https://t.co/UUtv69rWjt
1246171852902408194,2020-04-03 20:24:57,These are our latest estimated projections for hospitalizations throughout Connecticut due to COVID-19. https://t.co/kagpHwOKYb
1246168525343002624,2020-04-03 20:11:43,"UPDATE: Since yesterday, an additional 1,090 positive cases of COVID-19 have been reported in Connecticut, bringing the total to 4,914.

909 patients have been hospitalized and there have been 131 fatalities.

More than 20,015 patients have been tested.

🔗https://t.co/FpgO8W27I0 https://t.co/yvXBcKTGbq"
1246165131437969414,2020-04-03 19:58:14,"🚨HAPPENING NOW: News briefing to provide updates on Connecticut's COVID-19 response efforts.

💻WATCH LIVE: https://t.co/F0seGIrmK7"
