id,created_at,text
1247267997158440965,2020-04-06 21:00:38,"Educators and parents are working hard to achieve these goals, and this initiative will help support their work. I am grateful to Vermont PBS as this partnership will give those already doing so much another tool to reach and educate students. (3/3)"
1247267995484905472,2020-04-06 21:00:37,"I recognize there is no replacement for in-person instruction and the learning that takes place in a classroom but this is an unprecedented public health situation, and we must work together to provide the best possible remote learning opportunities for Vermont’s kids. (2/3)"
1247267992947351555,2020-04-06 21:00:37,"Today I announced a partnership with @VermontPBS to provide educational content to supplement remote learning for Vermont students and school districts during the COVID-19 outbreak. (1/3) #vtpoli 
https://t.co/8wXc63LVXG"
1247134923959480321,2020-04-06 12:11:51,"Today at 11:00 a.m. I'll be holding another briefing with my team to provide an update on Vermont's ongoing response to COVID-19. You can watch live on most local TV news stations, stream online at the link below, or tune in on VPR.

https://t.co/aiuWBlGzMN https://t.co/Ed9RtqWwA5"
1246902678107676673,2020-04-05 20:48:59,"On behalf of all Vermonters, thank you to the incredible members of the @VTNationalGuard for your tireless service as we fight this virus. Your efforts inspire us all. 

#VermontStrong https://t.co/s6Qxkz5cTK"
1246878832394674180,2020-04-05 19:14:14,"It is critical for Vermonters to know the resources available during these trying times. If you are an individual or business looking for help, please visit our COVID-19 Economic Recovery Resource Center page, below. We know there is much more work to do.
https://t.co/6XsRiyM3JP https://t.co/kGfSYDQww0"
1246487076444540934,2020-04-04 17:17:32,"Vermonters go the extra mile, help each other out and care for one another. It’s in our DNA. It’s what makes us who we are.
 
Now, I’m calling Vermonters into service once again to support the state’s response to COVID-19.
 
You can learn more &amp; sign up at https://t.co/CfohSdxDoo https://t.co/p3SWJl5rS8"
1246196142574100480,2020-04-03 22:01:28,I want to make clear - this is NOT a substitute for staying home &amp; it isn’t an excuse to mingle with others. Please continue to follow the measures we’ve put in place. Social distancing is the most effective tool we have to reduce spread &amp; ensure we don’t overwhelm our hospitals. https://t.co/HVNe4LkZnN
1246077712910909441,2020-04-03 14:10:52,"I'll be holding a press conference this morning at 11:00 to provide an update on Vermont's ongoing response to COVID-19.

You can watch live at the link, below.

https://t.co/R4UzKu5KA4 https://t.co/urN0aAFYAX"
1245861870566641666,2020-04-02 23:53:11,We continue to expand our medical surge capacity to be prepared for what could be a significant increase in medical need in VT in the coming weeks. I want to thank @VTNationalGuard and everyone involved for stepping up in this extraordinary time of service https://t.co/KP8eV2Mc98
1245735018728763392,2020-04-02 15:29:07,"Yesterday, my team and Rep. @PeterWelch outlined some of the latest economic relief resources available to individual Vermonters and Vermont businesses affected by COVID-19. For more info, visit https://t.co/HmxozvgIGW &amp; watch the full press conference at https://t.co/To3Z5GdB0c https://t.co/RIjXIbLRib"
1245395152623087616,2020-04-01 16:58:37,"If you are a Vermont veteran wondering about the @VeteransHealth and @DeptVetAffairs response to COVID-19 and what it means for you, please visit https://t.co/lZHFdnT1tt https://t.co/kYTzrVgBgf"
1245352495095873537,2020-04-01 14:09:07,"At 11:00 a.m. I'll be holding another press briefing with my team to provide an update on Vermont's ongoing response to COVID-19. You can watch live on most local TV news stations, stream online on their websites, or tune in on VPR.
https://t.co/MYUmtig4IN"
1245138818858127363,2020-04-01 00:00:02,"Our state is at its best when Vermonters pull together to help each other. The coming weeks will be very difficult, but united in common purpose, we will face, fight and defeat this virus – and emerge stronger together. 15/15"
1245138817721532418,2020-04-01 00:00:02,"Support your local Food Bank:
Donate online at https://t.co/5nsY0wS0nt or you can text GIVEHEALTH to 85511. If you're in need of help, click below. 14/15 

 https://t.co/18aOvV7fnP."
1245138816106725383,2020-04-01 00:00:01,"Give blood: Visit the American Red Cross by clicking below to learn how to safely donate blood. 13/15

https://t.co/bkAuBsNz8e."
1245138815125250051,2020-04-01 00:00:01,"Donate PPE: Donations of N95 masks, medical and industrial grade or surgical masks can be brought to your nearest State Police Barracks. You can find the location nearest to you by clicking below. 12/15
https://t.co/R0RyetkDY3."
1245138814374379520,2020-04-01 00:00:01,"Vermonters can also contribute to blood banks, food banks, and other emergency supply efforts. In addition to volunteering, Vermonters can also give back in the following ways: 11/15"
1245138813619494916,2020-04-01 00:00:01,"We expect to draw upon many skills to meet the challenge of serving those affected by COVID-19, potentially including drivers, food service, construction, IT, security, skilled trades and more. 10/15"
1245138812407353345,2020-04-01 00:00:01,"Other individuals who do not have medical or healthcare backgrounds but are willing to volunteer their time in Vermont’s response effort can register through the state’s volunteer web portal and indicate their expertise and availability. 9/15

https://t.co/Uy2ZMRhjtb"
1245138811421483008,2020-04-01 00:00:00,"VT has eased licensing requirements for the purposes of aiding this emergency response. Individuals who are licensed in other states or who were previously licensed should visit the Health Dept. website and review the guide on emergency licensure. 8/15
https://t.co/1BEFAnVNii"
1245138810557562880,2020-04-01 00:00:00,"This effort is about drawing more skilled personnel, such as retirees or those not currently employed in the healthcare field, into the response and not about redirecting existing healthcare workers. 7/15"
1245138808913485826,2020-04-01 00:00:00,"The Vermont Medical Reserve Corps is seeking these qualified and experienced volunteers, including: 6/15 https://t.co/yzymXYiLFx"
1245138802479443968,2020-03-31 23:59:58,"This is needed because Vermont’s existing health care workers are going above and beyond to respond to this challenge as it unfolds, and they are going to need reinforcements. 5/15"
1245138801632202752,2020-03-31 23:59:58,"The state’s volunteer website directs these individuals to Vermont’s Medical Reserve Corp units, community-based groups of volunteers who can supplement local emergency, health care provider staff and public health resources. 4/15"
1245138800877150208,2020-03-31 23:59:58,"Those with medical experience or other health care backgrounds and the ability to volunteer are needed to bolster the ranks of Vermont’s current health care workforce. 3/15

https://t.co/XFiGuacep2"
1245138798327074817,2020-03-31 23:59:57,"As we prepare for a surge in COVID-19 cases expected in the coming weeks, it will require each of us to do our part to ease the burden on our health care system, the struggles of those less fortunate, and, ultimately, to save the lives of our friends and neighbors. 2/15"
1245138797467176960,2020-03-31 23:59:57,"THREAD: Today, I’m calling all Vermonters into service with the launch of a new website allowing people to sign up for volunteer assistance to support our response to COVID-19. I’m asking every Vermonter to dig deep and find a way to help. #vtpoli 1/15 

https://t.co/XFiGuacep2."
1244705808241156096,2020-03-30 19:19:24,"I just signed both of these bills into law and once again want to thank the legislature, @VermontSOS and others for their hard work on these measures as part of our response to COVID-19. https://t.co/OMaybaQOVF https://t.co/YNNZktNroI"
1244635239625953280,2020-03-30 14:38:59,"In light of the significant risk posed by the further spread of COVID-19 I have just signed an Order that requires any person coming from outside the state to Vermont, for anything other than an essential purpose, to home-quarantine for 14 days.
Read more: https://t.co/oz2s0Iwjgr"
1244616665175818241,2020-03-30 13:25:11,"This morning at 11:00 a.m. I'll be holding another briefing with my team to provide an update on Vermont's ongoing response to COVID-19. You can watch live on most local TV news stations, stream online on their websites, or listen in on the radio on VPR."
1244269395028910080,2020-03-29 14:25:15,"Like many in business, trusted news organizations are being hit hard by this pandemic. If you can, please consider subscribing to your local paper or contributing to a VT news organization. You deserve transparency and the truth, and they work hard to keep you informed. #vtpoli https://t.co/BC3qhl13fF"
1243964263288406016,2020-03-28 18:12:46,"This is the first weekend since I issued the Stay Home/Stay Safe Order. This, and other mitigation efforts, are all about slowing the spread of COVID-19. We must all stay home as much as possible. Doing so will save lives. 

Here's a reminder from @vemvt on what it means for you. https://t.co/c6tyVHreR3"
1243669340152573959,2020-03-27 22:40:51,"Earlier today, I wrote to @POTUS asking him to invoke the Defense Production Act to support states get the supplies we need to fight this pandemic. We urgently need more ventilators and other essential equipment, which will require federal assistance. #vtpoli https://t.co/h5K0htrCEW"
1243298928562515969,2020-03-26 22:08:58,"Today, I directed schools to remain dismissed through the end of the 2019-2020 school year. This decision was made in consultation with @healthvermont and @VTEducation
in the continued effort to slow the spread of COVID-19. Read my full statement here: https://t.co/oLWQWuX6IV https://t.co/EqTxuwup2D"
1242962348232658944,2020-03-25 23:51:31,"The Senate and House have moved quickly to pass the first of what will likely be many measures in response to the COVID-19 public health crisis. I am grateful for their work, collaboration and partnership and will sign them as soon as they reach my desk. https://t.co/1cgV48zWUz"
1242877656254877697,2020-03-25 18:14:59,"Commercial entities, non-profits, employers and others with questions about acceptable continuation of business operations should contact the Agency of Commerce and Community Development via the online form, below. (2/2) https://t.co/U6HY8aKkAV."
1242877654304526337,2020-03-25 18:14:58,"As you know, I issued a Stay Home/Stay Safe Order. Remember, you should leave your home only for essential reasons, and importantly, to get fresh air. But if you do, please follow CDC social distancing guidelines. 
To read the full Order click below. (1/2) https://t.co/Jc11iUT6PE https://t.co/LPTio11Kfh"
1242608418243870721,2020-03-25 00:25:08,"Now is a moment of service for all of us. It’s our turn to face a once-in-a-century challenge.
 
But I know Vermonters are up for it. 

We are #VermontStrong 
 
We will get through this, and we’ll do it, together. #vtpoli https://t.co/hR45GEEoAv"
1242561878926245888,2020-03-24 21:20:12,"I've just signed a stay-at-home order and directed the closure of in-person operations for all non-essential businesses. 

Vermonters: you must stay home. You must stay home to save lives. 

We are all in this together - and we'll get through it, together. https://t.co/foLDJYZIq7"
1242447954440527872,2020-03-24 13:47:30,"Thank you to my friend Rep. @PeterWelch for giving my team an update on Congress's COVID-19 relief package. The American people and our states need Washington's help to get through this, and Vermonters appreciate your hard work. #vtpoli https://t.co/nxUGPOk08s"
1242184901178413061,2020-03-23 20:22:13,"We have also extended, among others, personal income tax filing due dates from April 15 to July 15, 2020.
 
This means taxpayers can file and pay these taxes on or before July 15, 2020 without any penalty or interest. Read more below: (2/2) #vtpoli 
https://t.co/3hRbQUZDu9"
1242184900188536838,2020-03-23 20:22:13,"I have directed the Commissioner of Taxes to provide relief to Vermont businesses who owe Meals and Rooms Tax or Sales and Use Tax until further notice.

Many of our local businesses find themselves unable to meet the filing deadlines due to our necessary mitigation steps. (1/2)"
1241879408039903232,2020-03-23 00:08:18,"I know we’re going to get through this, not because of any one person or any one action, but because of each of us doing our part. We must stand as Vermonters, united. (2/2) https://t.co/VWY05ZK8dO"
1241879072738869250,2020-03-23 00:06:58,"This challenge is an opportunity for each of us to step up, even as we must be physically apart. We can unite in our efforts to help those in need. Just like we need to take bold actions to defeat this pandemic, we also need small everyday acts of kindness and goodwill. (1/2) https://t.co/nTcwXJVxOo"
