id,created_at,text
1247338578281205762,2020-04-07 01:41:06,"RT @AndyManar: We need volunteers! 200+ Central IL seniors need your help right now in Spfld, Litchfield, Jacksonville, Carlinville etc! Me…"
1247302867507183618,2020-04-06 23:19:12,"My team and I are continuing to operate with our eyes trained on these disparities because that is the only way to address them. 

We are working to hold ourselves accountable in everything that we do."
1247302866051772422,2020-04-06 23:19:11,We also have worked to massively expand hospital capacity directly in communities where we predict need to exceed our existing capacity – adding thousands of beds at our existing institutions and are standing up new supportive facilities.
1247302807369154561,2020-04-06 23:18:57,"The number one way to do that is testing. 

I’ve called on the federal government to step up in the ways that only they can, but in the meantime, my team has worked to expand testing where we have the ability – and ensure we’re not testing any one community more than any others."
1247302806303801344,2020-04-06 23:18:57,"That’s a product of generations of systemic disinvestment in communities of color compounded by disparities in health care delivery systems and access. 
 
Acknowledging that truth is just one step – our actions have to reflect our reality."
1247302804894625793,2020-04-06 23:18:57,"We are facing a crisis, and we have to face it honestly: communities of color – particularly Black communities in Chicago, Suburban Cook County and cities and towns all across the state – disproportionately shoulder the health conditions that lead to worse outcomes in COVID-19."
1247298594480230400,2020-04-06 23:02:13,RT @88PKane: I’m #AllInIllinois https://t.co/OrLzFkN3sw
1247280207213576197,2020-04-06 21:49:09,"To anyone who wants a “response” to some of the blame-shifting coming out of the White House, all I have to say is: look at the numbers."
1247280206232129536,2020-04-06 21:49:09,"When you compare our federal shipments to our burn rate, the product we’ve received from the federal stockpile will last only a handful of days in this multi-month battle – it’s our own state procurement initiative that is making the difference."
1247280205238075392,2020-04-06 21:49:08,"Over a 10-day period, health care workers statewide use just under 1.5 million N95 masks, 25 million gloves, 4.4 million gowns and 700,000 surgical masks. 

That's before you count McCormick Place, which could bring our surgical mask burn rate to over 2 million in that time."
1247280203983998984,2020-04-06 21:49:08,"This isn't as simple as placing an order and having it arrive at your doorstep a few days later. 

There's a worldwide shortage that has us racing the clock and battling against other states and the federal government. 

But we MUST protect our heroic health care professionals."
1247280005815701511,2020-04-06 21:48:21,"We continue to source and ship as much protective gear as we can from all over the world, bringing it to Illinois by whatever means necessary. https://t.co/cqyC60J1pE"
1247279278141714433,2020-04-06 21:45:27,"Here’s the good news:

We haven’t trusted what we were told by the White House. 

Instead, members of my Governor’s Office, @IDPH and @ReadyIllinois have been working tirelessly to pursue all other routes to acquire additional PPE for the fight against COVID-19 in Illinois."
1247279276971474946,2020-04-06 21:45:27,"We've only gotten a small fraction of what we need and what we have asked for from the federal government. 

If we had relied upon the White House, our state and nearly every state would come up short and could not protect our health care workers and first responders."
1247279275646095362,2020-04-06 21:45:27,"It’s been a week since we had our last update on our state’s efforts to acquire Personal Protective Equipment, so I want to provide a quick update on PPE since March 30."
1247268694255943680,2020-04-06 21:03:24,RT @TheNickGehlfuss: Let’s flatten the curve today and keep everyone safe. Take the pledge to stay #AllInIllinois at https://t.co/GCbmV9shK…
1247163674298667008,2020-04-06 14:06:05,"RT @LtGovStratton: Illinois, new week &amp; we can do this! 

✅#StayAtHome 🏠 
✅Wash hands w/ soap 20 secs 🧽
✅Disinfect surfaces📱🚪🛒
✅Wear a mask…"
1246963047098441728,2020-04-06 00:48:52,"Whether you know him as a @NIUlive grad, @VeepHBO star or @ChicagoBears super fan, listen to @mrmattwalsh: ""If you're doing no harm, you're doing good."" 

Stay home, stay safe, stay strong. 

#AllInIllinois https://t.co/XONGbFltBt"
1246905485976109057,2020-04-05 21:00:08,Child care centers that are interested in re-opening as emergency centers can still apply for a permit through the @IllinoisDCFS.
1246905484847779841,2020-04-05 21:00:08,"Today in Illinois, we’re building on our support for emergency child care centers, helping out the ones already running &amp;  encouraging others to join. 

Effective April 1, we're paying them 30% above typical rates to reflect the added costs of providing care in smaller groups."
1246905483690160134,2020-04-05 21:00:08,We also made sure that our Preschool for All grantees and Prevention Initiative grantees had the flexibility they needed to use grant funds to address emergency child care needs in their communities.
1246905482494857217,2020-04-05 21:00:08,"Last week we announced that we were providing one-time stipends to providers to soften the financial impact of this crisis – already, over 1,100 homes and centers have applied, and those who haven’t yet can do so by downloading the application from https://t.co/GxsRLlGyV3."
1246905481450459137,2020-04-05 21:00:07,"These emergency child care providers are just another example of the incredible ways in which Illinoisans have stepped up to maintain normalcy where we can while we take up the fight against COVID-19. 

We can’t thank them enough."
1246905480317997057,2020-04-05 21:00:07,"As of this weekend, over 550 centers are running under the Emergency Child Care permit. 

Additionally, over 1,500 home child care providers are still providing care, many of them on the critical night &amp; weekend shifts that are so important to our essential workers."
1246905479151915010,2020-04-05 21:00:07,"That includes everyone from nurses and doctors to support staff in hospitals to grocery store clerks and food producers. 

Full details &amp; applications are available now on our @ILHumanServices website and our state COVID-19 response website: https://t.co/GxsRLlGyV3."
1246905476660461568,2020-04-05 21:00:06,"Effective April 1st, all essential workers in health care, human services, essential government services &amp; essential infrastructure now qualify for Illinois' Child Care Assistance Program, meaning the state will cover most, if not all, of the cost of care."
1246905475519655939,2020-04-05 21:00:06,"We have essential workers and health care professionals who can’t stay home with their kids because they are heroically going out to do their jobs. 

They deserve to know their kids are safe and cared for in a small and affordable group setting."
1246905474236243975,2020-04-05 21:00:06,"During this crisis, children who can stay home should stay at home – and that means really at home, not going on playdates or hanging out with friends. 

As hard as it may be, we need our youngest Illinoisans to follow the guidance, just like everyone else."
1246905471577010180,2020-04-05 21:00:05,I'm focusing today's update on what we’re doing to provide child care for our essential workers and how we’re helping our providers stay afloat through this crisis so that our kids still have a place to go when we get to the other side.
1246845415636578311,2020-04-05 17:01:27,"And to every health care provider that has joined our ranks to fight COVID-19 on the frontlines – you are our heroes, thank you from the bottom of my heart."
1246845413879095296,2020-04-05 17:01:26,To the DuPage Medical Group – who is providing medical leadership personnel – thank you.
1246845411970748417,2020-04-05 17:01:26,"To Dr. Nick Turkal, Martin Judd and Dr. Paul Merrick – the facility’s new leaders who will ensure all patients and workers are safe – thank you."
1246845409974276098,2020-04-05 17:01:25,"To Walsh Construction and the hardworking union laborers of Illinois — you’re constructing a facility larger than the largest hospital in Illinois, thank you."
1246845408455856128,2020-04-05 17:01:25,"To everyone at the MPEA – you’ve opened your home to patients who need a safe place to recover, thank you."
1246845406866288641,2020-04-05 17:01:24,"To @chicagosmayor Lori Lightfoot and her team at the city of @chicago – your partnership in launching this facility has been mission critical, thank you."
1246845405301821443,2020-04-05 17:01:24,To @IDPH and @ReadyIllinois – our state’s brightest minds in battling this virus – thank you.
1246845401858277378,2020-04-05 17:01:23,"To the @IL_Natl_Guard – I have immense pride in our servicemembers for answering the call when your state needs you, thank you."
1246845400964890635,2020-04-05 17:01:23,To @USACEHQ and @femaregion5 – our federal partners who are doing the work on the ground – thank you.
1246845393553457152,2020-04-05 17:01:21,"Appreciation post: Hundreds of people are hard at work at McCormick Place to set up our largest Alternate Care Facility to support our response to COVID-19. 

I want to thank each of them individually for their hard work, long hours &amp; dedication to our state. #AllInIllinois"
1246831530699358212,2020-04-05 16:06:16,RT @mombiewatson: We're #AllInIllinois. https://t.co/aaqSJAP6p8
1246831067354533890,2020-04-05 16:04:26,Here’s another great at-home concert this evening 👇 https://t.co/zx0VyRRUVB https://t.co/SPZfrDlN6i
1246830029385936901,2020-04-05 16:00:18,"If you usually spend your Sundays catching a show, well you’re in luck: there are three live at-home performances benefitting the #ArtsForIllinois Relief Fund today."
1246814879241175041,2020-04-05 15:00:06,"My #SundayMotivation are kids like Arya who are spending their time inside creating beautiful artwork for their families to be proud of. 

Download an #AllInIllinois sign here and SHARE your kids' creations below. https://t.co/zZ5SykomsE https://t.co/iUlK2wYY4W"
1246593451078139910,2020-04-05 00:20:13,"What a beautiful sight! Over the past couple of days, I’ve seen so many encouraging signs flooding social media. What are some of your favorites? #AllInIllinois https://t.co/1luE2JCQE5"
1246573668777562112,2020-04-04 23:01:37,"Keep it up, Illinois! 

It only takes a few minutes to ensure your voice is heard, your representation in Congress is counted and the amount of your federal tax dollars that come back to Illinois are maximized. 

Visit https://t.co/mpNPMfuGIV and complete the census today. https://t.co/YrRLONTALI"
