id,created_at,text
1247356555529420800,2020-04-07 02:52:32,"RT @AGMikeHunter: As Oklahomans await their economic impact payments, I encourage everyone to watch out for criminals trying to use this as…"
1247277309234683908,2020-04-06 21:37:38,"RT @HealthyOklahoma: As we enter National Public Health week - #NPHW - 
We remain committed as an agency to #SlowTheSpread and #FlattenTheC…"
1247269720983732230,2020-04-06 21:07:29,"RT @GovStitt: Note that each location has different hours of operation, so make sure to check the website before you go get tested.

Visit…"
1247268767295561729,2020-04-06 21:03:41,"Note that each location has different hours of operation, so make sure to check the website before you go get tested.

Visit ▶️ https://t.co/n36x1TWpsx"
1247268765286440961,2020-04-06 21:03:41,"Oklahoma now has over 60 #COVID19 drive-thru testing locations open statewide. Thank you to @HealthyOK &amp; our healthcare workers for getting these sites up &amp; running. If you're experiencing #COVID19 symptoms, please get tested. https://t.co/ub9grsMH3q"
1247240986121682948,2020-04-06 19:13:18,"RT @oktaxcommission: Thieves are targeting taxpayers with scams relating to the new CARES stimulus act. Don’t fall for it.
Remember these t…"
1247235428299743232,2020-04-06 18:51:13,"RT @GovStitt: If you are a company that has any Personal Protective Equipment available, please visit our site to donate. We're using these…"
1247233734996344834,2020-04-06 18:44:29,"If you are a company that has any Personal Protective Equipment available, please visit our site to donate. We're using these donations to ensure our health care workers have the PPE they need to continue combating the spread of #COVID19.
To donate, visit: https://t.co/FrPPAstGuJ"
1247233733511561217,2020-04-06 18:44:29,Thankful to see our state agencies come together to get PPE supplies to those who need it most across our state. #OklaProud https://t.co/tuud6kz8Tb
1247217280318164992,2020-04-06 17:39:06,RT @HealthyOklahoma: #OSDH reminds all Oklahomans we must work together and take precautionary measures each and every single day to combat…
1247203660175740935,2020-04-06 16:44:59,"RT @oksenategop: We're in a break now, but when the #OKSenate resumes you can watch here:  https://t.co/rwxAWI7jwj https://t.co/HieeLvWVI4"
1247198561529446402,2020-04-06 16:24:43,Was on the phone with @VP and Governors from across the country this morning to discuss updates on #COVID19. https://t.co/KXrUiSAK1t
1246948226114125825,2020-04-05 23:49:58,"I am happy to announce @POTUS has approved our request for a Major Disaster Declaration that covers all 77 Oklahoma counties.

This will allow more federal assistance to come our way as we continue to battle COVID-19. https://t.co/rPWKIP2KRF"
1246524279006662670,2020-04-04 19:45:22,"Oklahomans who want to volunteer can visit https://t.co/9zxPHcG66e &amp; fill out a quick form to tell the program about themselves and how they’d like to help. 

Please stay home, stay safe &amp; sign up. 
#readyhelpgo (4/4) https://t.co/byvbgMwSfq"
1246524026597629952,2020-04-04 19:44:21,"Once health professionals determine it's safe to mobilize volunteers, the program will assess where help is needed &amp; contact volunteers about personalized opportunities near them. This program can also be leveraged for future disasters, such as tornados or power outages. (3/4)"
1246523944032702464,2020-04-04 19:44:02,#readyhelpgo provides a place for Oklahomans to offer their hand in future volunteer opportunities. The first phase focuses on gathering info. about willing volunteers &amp; their skill sets. It's intended to support communities statewide through the #COVID19 response &amp; beyond. (2/4)
1246523586627674118,2020-04-04 19:42:36,"As the #COVID19 crisis continues to unfold, my staff &amp; I continue to look for partnerships that can make our communities stronger. In times like these, it’s vital that we support our neighbors. It's with this purpose in mind that I’m pleased to announce Ready. Help. Go. (1/4) https://t.co/bo5AW0OCpU"
1246500433646026755,2020-04-04 18:10:36,Secretary @jbrownokc and I are releasing some big news later today for Oklahomans that want to help their neighbor during the #COVID19 crisis. https://t.co/3G5q6g3t3U
1246163755723042820,2020-04-03 19:52:46,Here is a map of Oklahoma’s current drive-thru testing sites for #COVID19 https://t.co/5nBf0xRRHX
1246150611839725575,2020-04-03 19:00:32,An important message from the @WhiteHouse and @CDCgov on how we can all #SlowTheSpread of #COVID19 and do our part to #FlattenTheCurve. https://t.co/CLmmFURwC2
1246142489301581824,2020-04-03 18:28:16,"Access to testing for #COVID19 is a top priority. Oklahoma now has 19 drive-thru testing locations for the virus across the state &amp; we are continuing to add more. If you are experiencing symptoms please go get tested. 

To find test sites, visit: 
https://t.co/n36x1TWpsx https://t.co/JWQAal6pZD"
1246116500169261056,2020-04-03 16:45:00,"🚨Update🚨
The #PaycheckProtectionProgram (PPP) is now available. This @SBAgov program provides small businesses &amp; nonprofits hurting from #COVID19 with funds provided by the #CARESAct.

For full details &amp; application ➡️
https://t.co/NZYXRuI056"
1246099322409816066,2020-04-03 15:36:44,"Great visiting @IMMYdiagnostics yesterday with Dr. Schrum to see some of our state’s new testing kits. With over 15,000 kits available statewide, Oklahoma is continuing to increase our stockpile to test as many people as possible &amp; make data-driven decisions. https://t.co/gapQA6Yr7P"
1246071431869403136,2020-04-03 13:45:54,"RT @HealthyOklahoma: #Reminder Let's work together as Oklahomans to #FlattenTheCurve and continue #SocialDistance.

🆕The Safer at Home Exec…"
1246071325883387905,2020-04-03 13:45:29,"RT @HealthyOklahoma: ICYMI: There are more than ✔️15,000 test kits available for Oklahomans. 

✔️If you have #COVID19 symptoms, please get…"
1245833752011403266,2020-04-02 22:01:27,"RT @GovStitt: You can watch our update here: 
https://t.co/6PEQ41Xu8H"
1245833698001354752,2020-04-02 22:01:14,"You can watch our update here: 
https://t.co/6PEQ41Xu8H"
1245797510725210118,2020-04-02 19:37:27,Join me and Health Commissioner Gary Cox on Facebook live at 4:30 PM for an update on Oklahoma's response to #COVID19. https://t.co/2hmj4Zd47W
1245792594887671814,2020-04-02 19:17:54,RT @HealthyOklahoma: 🚨@GovStitt EO prohibits gatherings of more than 10ppl. Let's all work together and #StopTheSpread https://t.co/dMk3LvE…
1245736992291409921,2020-04-02 15:36:58,RT @HealthyOklahoma: 1/2 #OSDH Commissioner of Health Gary Cox issued a letter notifying county health departments today that all #COVID19…
1245546328106639361,2020-04-02 02:59:20,"The best way to slow the curve of #COVID19 is through aggressive testing &amp; tracing, as well as continued practice of social distancing. These next few weeks are critical, &amp; it will take all of us doing our part to #StopTheSpread in Oklahoma. (3/3)"
1245546213459611653,2020-04-02 02:58:53,"I've also lifted some of the restrictions on who can be tested for #COVID19. Our state now has 13,000 test kits available &amp; anyone with symptoms or whose been in direct contact with someone diagnosed needs to be tested. (2/3)"
1245545777923084292,2020-04-02 02:57:09,"To protect our healthcare workers, hospital systems &amp; each other from #COVID19, I’ve amended E.O. 2020-07 &amp; extended until to April 30th to all 77 counties in Oklahoma. I don’t make these decisions lightly but based on the data, we need to take action. (1/3) https://t.co/bbGLcr0VNa"
1245509184797507586,2020-04-02 00:31:44,"It's National #CensusDay!
Oklahomans we are counting on you. Your response to this simple survey will determine the national resources &amp; representation our state will get for the next 10 years. Let's make sure every Oklahoman is heard!

Survey ▶️: https://t.co/UZsMKfR3YK https://t.co/dxCB974UFr"
1245444021411106816,2020-04-01 20:12:48,"You can watch our press conference here: 
https://t.co/eFT2Lzh4YT"
1245399675529805828,2020-04-01 17:16:35,Join me on Facebook live at 3 PM for an update on Oklahoma's response to #COVID19. https://t.co/MZN9GTA8hj
1245374889462239238,2020-04-01 15:38:06,"My heart goes out to Oklahomans who have lost their jobs due to #COVID19. Our state is working hard to provide resources to get people back on their feet &amp; into the workforce. If you or someone you know has lost their job, please take these steps to apply for unemployment. https://t.co/BZVzeE9MMS"
1245123958804033541,2020-03-31 23:00:59,"With so much info out there, please remember to check out our Oklahoma #COVID19 website. It‘s a central spot to get @HealthyOklahoma updates as well as critical resources on social services (@OKDHS), unemployment benefits (@OESCnews) and much more.
https://t.co/eA5rf4By6b"
1245098428360806400,2020-03-31 21:19:32,RT @GovStitt: We also ran into some volunteers at Martin Luther King Elementary who are helping to provide food for kids while they are not…
1245096580811816960,2020-03-31 21:12:12,We also ran into some volunteers at Martin Luther King Elementary who are helping to provide food for kids while they are not able to get their school meals. Proud of how Oklahomans are stepping up to help one another. #OklaProud https://t.co/KytWWkWJTC
