id,created_at,text
1247332118687928320,2020-04-07 01:15:26,We will be adding additional information to this overview in the near future. Remember that testing supplies remain limited and this is not a complete picture of the presence of COVID-19 statewide. #StayHomeStaySafe  https://t.co/6Tl2r9yc1v https://t.co/2Cd8bTZOhn
1247284097107529729,2020-04-06 22:04:36,The Wyoming Department of Health is supporting a CDC recommendation to wear cloth face coverings if you need to go out in the community in order to help slow the spread of COVID-19. This is not a replacement for social distancing. Guidelines here: https://t.co/xjexhwMh35
1247218117270478848,2020-04-06 17:42:26,"Our Unemployment Office is working quickly to implement expanded benefits available under the CARES Act. These include an extension of regular unemployment, additional funding for those eligible, and the expansion of benefits for self-employed or contract employees. https://t.co/7Tm6qMQqWB"
1246979023038603265,2020-04-06 01:52:21,"Wyoming recorded it's 200th confirmed case of COVID-19 today, but we know that there are many more untested Wyomingites who have the virus. Keep yourself and your family safe and our healthcare workers protected by staying home and social distancing. #StayHomeStayHealthy https://t.co/Ubl9IBo9hp"
1246952006482194432,2020-04-06 00:05:00,The First Lady and I want you to know what we're doing to keep our people safe and our communities functioning as best they can during these challenging times. https://t.co/RJrrvn9PMC
1246892537333329926,2020-04-05 20:08:41,"RT @Liz_Cheney: Hosanna! Blessed is he who comes in the name of the Lord. Blessed is the King of Israel! John 12:13

Please say a special p…"
1246248888148713472,2020-04-04 01:31:03,"Lincoln County has its first confirmed case. With warming temperatures this weekend, it's important to remember to stay vigilant and keep your distance as you enjoy some fresh air. #staysafe https://t.co/Zg0ySqRLAQ"
1246174529459757062,2020-04-03 20:35:35,Now is not the time to travel to Wyoming. We are focused on protect the health of our citizens and the resources of our rural healthcare facilities. Stay home and stay safe. https://t.co/qBcqZGCc6W
1246174528671232000,2020-04-03 20:35:35,I have also issued a directive requiring any individual coming to Wyoming for a non-work-related purpose to immediately self-quarantine for 14 days. Visitors from neighboring states have strained the resources of our communities and put public health at risk.
1246174527886897152,2020-04-03 20:35:34,I have extended the three existing statewide health orders through April 30 to slow community transmission of COVID-19. I want to be perfectly clear- we want all Wyoming residents to stay at home. Our focus is on improving compliance and adherence. That is how we will save lives.
1246105176366252032,2020-04-03 16:00:00,"At 3 p.m. today, April 3, I am holding a press conference to provide an update on Wyoming's response to COVID-19 and outline what we are doing next to keep Wyomingites safe. You can watch here on Facebook or on Youtube at https://t.co/5QQODg9sNb. https://t.co/H7nbDNT9yP"
1245877695080099841,2020-04-03 00:56:04,"We continue to monitor the spread of COVID-19 closely and now have confirmed cases in 16 Wyoming counties as well as additional recovered cases. By staying home and avoiding gatherings, we can #SlowTheSpread and save lives. https://t.co/vZ2BTruhfF"
