id,created_at,text
1247294307104698376,2020-04-06 22:45:11,"I ask people to be patient as we work through a record number of new claims—more than 100,000 in just the last week.  

We are working to ensure every Virginian gets the benefits they have earned.

For information on how to file a claim, visit https://t.co/DbYHmyMbDh."
1247294305150152708,2020-04-06 22:45:10,"We know that many Virginians have experienced delays in filing for unemployment benefits.

Over the weekend, we upgraded the @vaemploy website, expanded server capacity, and increased call center staffing by 20 percent to process claims faster."
1247221043783065600,2020-04-06 17:54:03,I'm sharing the latest updates on our continued response to #COVID19 in Virginia. Tune in here: https://t.co/Ixytf0VcKs
1247189414847090691,2020-04-06 15:48:22,"As National Public Health Week begins, I want to recognize @VDHgov, our local health districts, and all of Virginia's public health workers. #COVID19 has once again shown us how vital their work is, not just during this pandemic, but year round. Now more than ever, we thank them. https://t.co/lgaKTBrnz4"
1246569519411269636,2020-04-04 22:45:08,"We are still in the early stages of this outbreak, but we must ensure that Virginia is ready when the surge of acute cases hits our healthcare system."
1246569517439909889,2020-04-04 22:45:07,"1️⃣ Dulles Expo Center in Northern Virginia, which can accommodate 315 acute or 510 non-acute beds

2️⃣ Hampton Roads Convention Center, providing 360 acute or 580 non-acute beds

3️⃣ Richmond Convention Center, which could bring 432 acute or 758 non-acute beds online"
1246569513266618369,2020-04-04 22:45:06,"We have been working with @USACEHQ to identify and evaluate alternative care sites, which will free up bed capacity in our existing hospital system. 

Yesterday, I approved their final recommendations and construction will begin soon at these three facilities:"
1246514498728583168,2020-04-04 19:06:30,"I've been in the medical field for over 30 years, and I've rarely seen a pathogen as contagious as #COVID19.

People must take this seriously—period. https://t.co/xgYJgcC4Xh"
1246502985246683137,2020-04-04 18:20:45,"RT @virginianpilot: Laid off or out of work? 

Here’s what to do next and when to expect $600 more a week from the government.
https://t.co…"
1246188849195298819,2020-04-03 21:32:29,School meals are an important source of nutrition for Virginia children. I'm asking all Virginians to #ThankAHungerHero in their communities—these dedicated school nutrition professionals are making sure no child goes hungry while schools are closed. @VDOESNP @NoKidHungryVA
1246183720169746432,2020-04-03 21:12:06,"RT @NatlGovsAssoc: ""The actions that we take now will help shape what happens in the next few weeks and month."" @GovernorVA 
Get VA #corona…"
1246164066244202498,2020-04-03 19:54:00,"RT @ArlingtonVA: With the expectation of nicer spring weather through early next week, we're reminding residents that you must limit their…"
1246162831382401034,2020-04-03 19:49:06,RT @HenryGraff: NOW: @GovernorVA tells me he’s encouraging Virginians to wear cloth masks if they want in public but urges caution that N95…
1246154106860965889,2020-04-03 19:14:26,"We have a Stay at Home order in effect, but you can't stay home if you don't have a home. That's why I'm announcing emergency funding to shelter Virginia's homeless population.

This is an unprecedented health crisis, and we can't leave anyone behind. 

https://t.co/1z9tjRyqcb"
1246132321515794432,2020-04-03 17:47:52,I'm giving an update on Virginia's response to #COVID19 at 2:00 PM. Watch live here: https://t.co/6qw1EtD9HT
1246075651607670787,2020-04-03 14:02:40,"If you missed our #COVID19 Twitter Q&amp;A yesterday, check out this recap from @8News ⤵️
https://t.co/GoNjJxWQcW"
1246057358658359296,2020-04-03 12:49:59,"RT @kojoshow: Today's Politics Hour with @TomSherwood:

1. @GovernorVA on his stay-at-home order
2. @pwoodreporter on Maryland's response t…"
1245847213038854145,2020-04-02 22:54:56,"Today, Virginia's request for a Major Disaster Declaration was approved by the federal government. This makes critical federal funding available to state agencies, local governments, and certain non-profits and will support our continued #COVID19 response.
https://t.co/yKF4AsKV8N"
1245801157651501056,2020-04-02 19:51:56,"RT @CamThompsonCBS6: The @GovernorVA accepts a shipment  of hand sanitizer from @catoctincreek distillery, who started making this in respo…"
1245781471207591936,2020-04-02 18:33:42,"Thanks to everyone who joined us today, and to those who sent in so many great questions—I wish we had time for all of them.

For the latest guidance, up-to-date-information, and #COVID19 resources, you can always visit https://t.co/XNjzM5VF5W.
 #AskGovNortham"
1245776627356835842,2020-04-02 18:14:28,You can’t beat @MamaJsRVA! https://t.co/O2ygvzAmlg
1245775077402185728,2020-04-02 18:08:18,"Thank you for the question, and we thank your daughter for her service. Our rest areas remain open, and @VDOT has enhanced cleaning and protective measures in place. https://t.co/Ibd0oIuq6R"
1245773842712322053,2020-04-02 18:03:24,"Q: #AskGovNortham As a grocery worker in the epicenter of Virginia, how often is your data updated that you use to consider actions like Stay-at-Home orders and others? Are there any 'red lines' that you have that will trigger immediate response? 1/2
- @Maxss114

A: https://t.co/j4m96PgRNJ"
1245772621410598912,2020-04-02 17:58:32,"▪️ We've directed hospitals to stop performing elective surgeries to conserve PPE
▪️ We've received our third shipment from the national stockpile 
▪️ And we'll continue looking at any and all leads. Businesses who want to donate PPE should email private.sector@vdem.virginia.gov. https://t.co/ld8csR6ME0"
1245771799931035649,2020-04-02 17:55:17,"Q: He goes into the office every day. My siblings &amp;I have been begging him to stop. We're worried about him, &amp;I know there are a lot of kids in VA just as concerned about their parents too. Can you emphasize how important it is for them to work fr… #AskGovNortham
- @lizchar

A: https://t.co/8u7RFVen4R"
1245770759399714818,2020-04-02 17:51:08,"Thanks for the great question, Chris. You don't need any documentation for allowable travel, and law enforcement won’t be asking for it. https://t.co/7M8AbnQVwx"
1245770548879200257,2020-04-02 17:50:18,"We need people just like you to be thinking creatively and strategically about how we can help protect our frontline healthcare workers, as well as patients. You make Virginia proud. Send us a DM and I’ll have my team follow up. https://t.co/eahRc2S9L2"
1245769973861167109,2020-04-02 17:48:01,"Every day I hear stories of Virginians helping each other. These are tremendously challenging times, but just as we did after the tragedy in Virginia Beach, our whole Commonwealth is coming  together. We will take care of each other—and we will get through this together. https://t.co/PcGZnYLLNU"
1245767244765974529,2020-04-02 17:37:11,"Q: @GovernorVA Rural VA had so much momentum before COVID-19. The detrimental economic impacts of the pandemic are just beginning to emerge.  How will you make sure that rural VA is not left behind once long term economic recovery resources … #AskGovNortham
- @unitedwayswva

A: https://t.co/128jha2oO2"
1245766529574150144,2020-04-02 17:34:20,"Thanks, Ashley. We expect to receive guidance from @USDOL any day on how to release funds to independent contractors, gig workers, and sole proprietors. Visit https://t.co/pykan0aAHq to apply—payments will be retroactive to the date the federal CARES Act was signed into law. https://t.co/ExPNyJZkHg"
1245765594420514816,2020-04-02 17:30:37,"I know Virginians are hurting right now. Here's what we are doing:
 
✅ Suspending eviction proceedings until April 26th

✅ Developing a program to defer mortgage payments for mortgages backed by @VHDA
 
✅ Halting evictions for 60 days for people with housing choice vouchers https://t.co/FNst9uemlK"
1245764753751969792,2020-04-02 17:27:17,"Yes, if we all take this seriously and practice social distancing, we will flatten the curve. The models we're looking at suggest #COVID19 will peak in Virginia in the next 4-8 weeks, but this can change based on the actions we take right now. Thanks to you both for staying home. https://t.co/EG9SZXgzWB"
1245763834234777600,2020-04-02 17:23:37,"Q: #AskGovNortham I know the tourism is a major industry in Virginia and is suffering right now. What can be done to help the hotels, attractions, restaurants weather COVID-19?
- @careyhc

A: https://t.co/UH0ja74hNp"
1245760256556351494,2020-04-02 17:09:24,"Great question—I signed an executive directive extending the validity of driver’s licenses, identification cards, and vehicle registrations for 60 days beyond the original expiration dates and @VirginiaDMV has notified our law enforcement networks so there won't be any penalties. https://t.co/CUmNizweXS"
1245759225596383233,2020-04-02 17:05:19,"Unfortunately, Virginia's fiscal year does not align with the federal fiscal year. The state's year ends June 30, while the federal ends in October. If we moved tax deadlines past that date, it would create a massive hole in our current budget, requiring large cuts to services. https://t.co/ywJq8u807e"
1245758826701377537,2020-04-02 17:03:44,"The federal Families First Coronavirus Act makes paid family medical leave options available to many businesses. Learn more here: https://t.co/4hI8akoW4Q. And if you have to stay home to care for a family member, you should apply for unemployment benefits through @vaemploy. https://t.co/fdQtkFoCXg"
1245757551221837825,2020-04-02 16:58:39,"According to @CollegeBoard, the next SAT is scheduled for the first weekend of June, but that is subject to change. We know students are anxiously awaiting more details—you can find additional information and updates at https://t.co/bAXBvoNIMQ. https://t.co/80BI2NFmZf"
1245756967236313089,2020-04-02 16:56:20,"Let me be clear—we need med school students in this fight. The best way you can help is to volunteer with the Virginia Medical Reserve Corps, where you will be matched with an assignment based on need and your skill set. Sign up at https://t.co/T1yakxkb6f. https://t.co/5HACKIjy8H"
1245756610561146886,2020-04-02 16:54:55,"The lack of testing supplies is a tremendous problem in public and private labs nationwide, which is a big reason for this backlog. Thankfully we just doubled our ability to process tests in our state lab, which does not have a backlog and can now give results in 12-24 hours. https://t.co/LQPSBXzGf2"
1245756182284861440,2020-04-02 16:53:13,"Great question, Ebony. #COVID19 is a new disease and we have limited information about risk factors. We do know that people with underlying medical conditions could be at higher risk for severe illness from the virus. That's why staying home and practicing good hygiene is key. https://t.co/ie6EGiiw9H"
1245753198729707525,2020-04-02 16:41:22,"Yes, @VDOE_News has announced a variety of waivers for different teacher licenses. You can find more information online here: https://t.co/fpaI65wgtR. Thanks for all you are doing for Virginia's students during these challenging times. https://t.co/lEtsupDfcv"
1245752220047544327,2020-04-02 16:37:28,"Remind your loved ones that this is a serious crisis, and there are serious consequences for ignoring the measures we've put in place. Not only can you be charged with a misdemeanor for violating the ban on 10-person gatherings, but you're putting yourself and others at risk. https://t.co/ivIrEBbFp6"
