id,created_at,text
1247322737393020928,2020-04-07 00:38:09,"I’m more and more hopeful that Colorado’s stay-at-home can finally end on April 26, 2020, several days before the national goal of April 30th. It is important that you stay home whenever possible to stop the spread and wear a mask when you do go out. #COVID19Colorado https://t.co/gfMQR0bjPW"
1247322310547128320,2020-04-07 00:36:27,Watch my address to Colorado at https://t.co/G7D2p2ouTz or below https://t.co/S7TvKx9xMD
1247269577286758400,2020-04-06 21:06:55,Join me tonight at 6:30 for an address to the state on COVID-19 in Colorado. https://t.co/KYfrbPec1O
1246926716901011457,2020-04-05 22:24:30,"RT @CSP_News: Homemade DIY instructions don't explain how to make these for some reason... Mask up to keep yourself and others safe! 😷

@CS…"
1246926698739716096,2020-04-05 22:24:26,"RT @CDPHE: Colorado COVID-19 Case Summary for April 5:
4,950 cases 
924 hospitalized
54 counties
25,773 people tested
140 deaths 
37 outbre…"
1246649107164233728,2020-04-05 04:01:23,"RT @CSP_News: Following @GovofCO's recommendation, State Troopers will begin wearing masks while continuing to serve the public. We wear a…"
1246597168254910464,2020-04-05 00:35:00,"Be creative about your masks! Whether it’s an old t-shirt or a ski buff, I’d love to see what you come up with! Get creative! Just make sure it covers your mouth and nose if you go grocery shopping. 😷 #ColoradoMaskProject #DoingMyPartCO #COVID19Colorado https://t.co/Rm4JdWwzuY"
1246530022657024001,2020-04-04 20:08:11,RT @DORAColorado: DORA’s Public Utilities Commission and the Office of Consumer Counsel want you to be aware of scammers targeting utility…
1246530006601220096,2020-04-04 20:08:07,RT @COSecofState: COVID19’s impact on Co. has been widespread and its effects on the business community have been particularly profound. Ou…
1246260671630589954,2020-04-04 02:17:53,"RT @CSFDPIO: Keeping our community safe. Show us your masks...

#coloradomaskproject #DoingMyPartCO @GovofCO https://t.co/oYNp6GFXt4"
1246254324012814338,2020-04-04 01:52:39,RT @JoeStGeorge: Video: The Governor of Colorado asks all residents to wear cloth masks when out in public. #COVIDー19 https://t.co/wwDlGBEk…
1246253817861009408,2020-04-04 01:50:39,RT @SarahTuneberg: Putting some prized @LibertyLondon fabric to use. Thanks @CraftsmanandA @comaskproject for helping us create a culture o…
1246253748311089152,2020-04-04 01:50:22,"RT @jaredpolis: #coloradomaskproject 
Let’s wear masks, Colorado! Anything that covers your nose and mouth, and doesn’t get in the way of y…"
1246168212741357568,2020-04-03 20:10:29,RT @Meghan_Lopez: #breaking: @GovofCO is asking all Coloradoans to wear cloth coverings when they are going out of the house to do things l…
1246163269741502464,2020-04-03 19:50:50,I’m providing an update on the state’s response to COVID-19. Watch at https://t.co/moTrPmMiy4 or below ⤵️ https://t.co/JW8gzOBliS
1245738763445080065,2020-04-02 15:44:00,"RT @CDPHE: It's normal for people of all ages to feel worried, frustrated, or even angry, in the face of circumstances that change or feel…"
1245728664433463298,2020-04-02 15:03:52,"THIS! 🙌 Stay home, Colorado.

Thank you to @karshhagan for making these and sharing them! #DoingMyPartCO https://t.co/cNhIZxGc3D"
1245493041823014912,2020-04-01 23:27:35,"At this point of the COVID-19 crisis, masks and gloves equals lives. Ventilators equals lives. We will continue to work with new suppliers in the private sector until Colorado’s needs are met. #COVID19Colorado

➡️ Today's Presentation: https://t.co/TzwcgaKhMQ https://t.co/DFFyWq2yJP"
1245479193523007489,2020-04-01 22:32:34,"RT @CDPHE: This is not a vacation; it’s a pandemic. There are still an alarming number of people traveling to our mountain communities, put…"
1245476570740883462,2020-04-01 22:22:08,"RT @CDPHE: COVID-19 in Colorado Update:
-3,342 cases
-620 hospitalized
-18,645 people tested
-80 deaths 
-@GovofCO is extending school clos…"
1245426639749685248,2020-04-01 19:03:44,"RT @DenverChannel: Gov. Jared Polis is hosting a news conference to discuss the latest on the state’s response to the COVID-19 outbreak.

M…"
1245179294780805120,2020-04-01 02:40:52,RT @MarisitaMo: The @GovofCO is calling on DHS to automatically extend protections for Dreamers whose DACA expires in 2020. So many of us a…
1245177949269028864,2020-04-01 02:35:32,"RT @CDPHE: You can still enjoy the outdoors during the stay-at-home order, but please stay local. We need to protect our mountain communiti…"
1245177669185974274,2020-04-01 02:34:25,Thank you Rep. Mullica! https://t.co/kyl6o6eXog
1244999128003670016,2020-03-31 14:44:57,"RT @JeremyHubbard: My friend Bob and his team at @denvermattress are shifting gears. In just a couple days time, they figured out how to st…"
1244998373968498688,2020-03-31 14:41:57,RT @DenverChannel: Bailey woman helping her mountain community get groceries to protect those at risk from #COVID19. https://t.co/30Gk44IhK…
1244997663780524035,2020-03-31 14:39:08,"RT @COSAirport: We're happy to see that Colorado's #StayAtHome Order, including avoiding non-essential travel, is being taken seriously. Wh…"
1244997479122128899,2020-03-31 14:38:24,"⚠️STAY HOME ⚠️It is crucial that we all stay home whenever possible to avoid jeopardizing the health of our friends, family, and community. Let's work together by staying apart. #DoingMyPartCO https://t.co/Y4IAc2oxg6"
1244755724816642049,2020-03-30 22:37:45,"We will start to see the effects of the recent steps we’ve taken in the coming days &amp; weeks. In the near-term, it is crucial that we all stay home whenever possible. #COVID19Colorado

➡️ Today's slideshow: https://t.co/8EXFDZafd9
➡️ Press release: https://t.co/Cyo3HfIZ08 https://t.co/TitNegK5LW"
1244699703322836994,2020-03-30 18:55:09,"RT @DenverChannel: Colorado Gov. Jared Polis is providing an update on the state's response to COVID-19.

More updates: https://t.co/6qou0A…"
1244067125402238977,2020-03-29 01:01:31,"RT @COEmergency: Great news for Colorado today as a Major Disaster Declaration is awarded to the state.

Currently, the award provides fund…"
1244066907680059392,2020-03-29 01:00:39,"RT @dangibbsDNR: Disappointing. There will be more powder days for all of us, if we recreate close to home &amp; practice social distancing. As…"
1244064003137118210,2020-03-29 00:49:06,"Colorado is now eligible to receive additional federal resources to help address the global epidemic impacting our state, the nation, and the world. https://t.co/VcVRDa4XCw"
1243698703799431168,2020-03-28 00:37:32,"RT @CDPHE: .@GovofCO provides an update on the hard data. Here’s when we should feel the impact from some of Colorado’s efforts:
✅Cancellat…"
1243677718220177409,2020-03-27 23:14:09,"The data we put forth today shows that staying home is crucial to saving lives. These are not statistics on a page, these are your neighbors, your friends, and even your family members.

➡️ Slideshow: https://t.co/6PXQynu56Z 
➡️ Press Release: https://t.co/AL5qm609zc https://t.co/s8F7myJmsb"
1243649889424343041,2020-03-27 21:23:34,"RT @DenverChannel: Colorado Gov. Jared Polis is providing an update on the latest on the state’s response to the COVID-19 outbreak.

More u…"
1243599918888960000,2020-03-27 18:05:00,"Enjoy our outdoors but be responsible. This isn’t vacation time. By staying in your neighborhood or your region, you can help reduce the risk of transmission to our rural and gateway communities. #DoingMyPartCO #COVID19Colorado https://t.co/L59LRWKDut"
1243528196181520387,2020-03-27 13:20:00,💙💙💙 #DoingMyPartCO https://t.co/bdRZMKa55s
1243388042695462912,2020-03-27 04:03:05,Be like Nolan💜 #DoingMyPartCO https://t.co/RlTqEE1EDi
1243321005117804545,2020-03-26 23:36:42,"RT @CDPHE: Wondering what's still open during Colorado's stay-at-home order? Critical businesses – like grocery stores, hospitals &amp; emergen…"
1243320894509834240,2020-03-26 23:36:15,RT @CDPHE: The stay-at-home order is intended to minimize contact between people and potentially contaminated surfaces. These actions are e…
1243210229711396865,2020-03-26 16:16:31,"RT @Broncos: ""Year after year, Coloradans have supported our Denver Broncos, and today I am beyond proud to thank the Denver Broncos for th…"
1243210215861837824,2020-03-26 16:16:27,"RT @Broncos: Following the Broncos' $500,000 donation to the Colorado COVID-19 Relief Fund, GM John Elway is personally donating $50,000 to…"
1243145927356891136,2020-03-26 12:01:00,"The lives of many Coloradans hinges on your ability to be able to stay at home. #DoingMyPartCO

Read more here: https://t.co/9Czlvq3q7E https://t.co/JV3EzNnl0i"
1242943191394877441,2020-03-25 22:35:24,"I’ve announced an emergency, temporary Stay at Home Order for Colorado starting Thursday, March 26.  #COVID19Colorado https://t.co/PifPmbaVnc"
1242942857498906625,2020-03-25 22:34:04,"RT @CDPHE: .@GovofCO announces am emergency, temporary Stay at Home Order for Colorado starting tomorrow, March 26, at 6 a.m. 

""Now is the…"
1242941833153400832,2020-03-25 22:30:00,"I’m here at the Emergency Operations Center in Centennial to announce an emergency, temporary Stay at Home Order for Colorado starting Thursday and provide an update on the state’s response to COVID-19. 

Watch at https://t.co/HVr24Gjw5J or below ⬇️ https://t.co/J9MsaYHiP7"
1242938412794966016,2020-03-25 22:16:24,RT @CDPHE: Introducing #DoingMyPartCO Bingo to give you some ideas for safe social distancing. What have been some of your strategies? http…
1242884983884107776,2020-03-25 18:44:06,"RT @ColoradoEcoDevo: Get COVID-19 email updates specifically for the business community straight to your inbox. 📩

Sign up now: https://t.c…"
1242884681273462785,2020-03-25 18:42:54,"RT @ColoradoEcoDevo: Need support understanding all of the #COVID19 resources and how to apply them to your business?

300+ trained @Colora…"
