id,created_at,text
1247293985871343617,2020-04-06 22:43:54,Appreciate @POTUS for being a partner in our efforts to fight #COVID19. Very good conversation with Dr. Fauci today! @WhiteHouse https://t.co/ibRIZccm6n
1247225102774734851,2020-04-06 18:10:11,RT @GovRicketts: .@IAGovernor and I just wrapped a call with Dr. Fauci. We briefed him on our #COVID19 social distancing rules. He supports…
1247223505202151426,2020-04-06 18:03:50,"Had a productive and positive phone call w/ Dr. Fauci and @GovRicketts today... Dr. Fauci was 100% supportive, saying that IA and NE are “on the same page” with guidance he’s providing other states."
1247213778921496576,2020-04-06 17:25:11,I have ordered additional closures to help limit the spread of #COVID19. Read more below: https://t.co/T4p9epOjaS
1246865675769073665,2020-04-05 18:21:57,"Sunday's #COVID19 Update. I am holding a press conference tomorrow at 11:00 a.m. 

Read more below: https://t.co/nhzZIhaaOc"
1246523299049476097,2020-04-04 19:41:28,Appreciate @POTUS and his team for supporting IA’s efforts to combat the spread of #COVIDー19. Read more: https://t.co/iEisZluxpd
1246215119224389636,2020-04-03 23:16:52,"He will do an incredible job! 
https://t.co/tuc04lsQVn"
1246068738086109184,2020-04-03 13:35:12,Here’s how you can help limit the spread of #COVIDー19! We all have a role to play. https://t.co/BADxLg3OYz
1245841821336567811,2020-04-02 22:33:31,"I have extended the closures of schools, some businesses, and other measures until April 30th as we continue to fight the spread of #COVID19. https://t.co/9trjLlfZcn"
1245120938225602563,2020-03-31 22:48:59,"I signed a new proclamation continuing the State Public Health Emergency Declaration. The proclamation extends regulatory relief for bars, restaurants, and additional measures. Read more: https://t.co/t6LwSq5ESW"
1245055505753612292,2020-03-31 18:28:59,I am holding a press conference at 2:30 p.m. Today's #COVIDー19 Update can be found below: https://t.co/ZrrkkXjSbm
1245027210047750146,2020-03-31 16:36:33,"RT @AtlanticCoke: Proud to answer an immediate request of @UIHealthcare!
 
1000 new 12oz sport-cap bottles were delivered by Rob &amp; Jeff.…"
1245027197770969099,2020-03-31 16:36:30,"RT @AtlanticCoke: Our employees are working tirelessly to meet the needs in our communities during this time.
A special shout out to the en…"
1244336133653377025,2020-03-29 18:50:27,RT @SenJoniErnst: Looking forward to joining @IAGovernor for her press briefing at 2:30pm on #COVID19 and provide an update on the relief p…
1244309305102393344,2020-03-29 17:03:51,"Sunday's #COVID19 Update. 

Today's press conference is at 2:30 p.m. Read more below: https://t.co/IF0vKLcsya"
1243950620794589184,2020-03-28 17:18:34,"#COVID19 Update: 64 additional positive cases. I am holding a press conference tomorrow at 2:30 p.m.
 
Read more: 
https://t.co/Yo8BL1dduu"
1243912465114685443,2020-03-28 14:46:57,Appreciate everything Tailyn is doing to help us communicate with Iowans. https://t.co/OHrnJQUCc0
1243316080879251457,2020-03-26 23:17:08,I issued a new proclamation continuing the State Public Health Emergency Declaration. Read more here: https://t.co/FX452lJLmF
1243232982879666176,2020-03-26 17:46:55,Thursday’s COVID-19 update. Press conference at 2:30 p.m. today. https://t.co/mJ6LTGlBCF
1242885368409731073,2020-03-25 18:45:38,This is a significant victory for @Iowafuel and rural America! Applaud @POTUS for making the right decision to not appeal the 10th circuit decision on SRE’s and now it’s critical that the @EPA applies this rule nationwide! https://t.co/pHdPMXjelw
1242883894745104385,2020-03-25 18:39:46,"VIDEO: I sit down with @IowaDHS Director Kelly Garcia to talk about child care
https://t.co/v1sxqES4fB"
1242844069283446784,2020-03-25 16:01:31,"#COVIDー19 Update: 21 new positive cases. 145 total positives of #COVID19 and 2,578 total negatives. https://t.co/q6FZuYKaL5"
1242826649814564866,2020-03-25 14:52:18,"Thank you! @IowaNatGuard #COVIDー19 
https://t.co/9opeVwQepS"
1242626153258590211,2020-03-25 01:35:36,"Thank you @POTUS for quick approval on our disaster declaration, opening federal resources to Iowa's efforts to combat the spread of #COVID19! https://t.co/CzE0T2PYuV"
1242603804870270978,2020-03-25 00:06:48,"(2/2) I continue to urge all Iowans to protect their health and the health of others, especially older individuals and those with chronic health conditions who are most at risk. We all have a role to play in limiting the spread of this virus."
1242603675580878851,2020-03-25 00:06:17,Our hearts are heavy with this loss. The thoughts and prayers of our entire state are with the family during this difficult time. (1/2) https://t.co/bhl3uEzHxO
1242487885749727233,2020-03-24 16:26:10,"#COVID19 Update! 19 new cases, holding my daily press conference today at 2:30 p.m. https://t.co/CTIGVNUlrr"
1242462222254776322,2020-03-24 14:44:12,RT @IAPublicHealth: https://t.co/Y4ii48wNVz
1242227216878055424,2020-03-23 23:10:22,Here's how you can do your part to limit the spread of #COVIDー19: https://t.co/fAOQysyigs
1242131411060097026,2020-03-23 16:49:40,"UPDATE: 15 additional positive cases of Iowans with #COVIDー19, for a total of 105 positive cases.

There have been a total of 2,043 negative tests to date, which includes testing reported by the State Hygienic Lab and other labs.

Read more below: https://t.co/FSqA8RGJ5p"
1241848165126545409,2020-03-22 22:04:09,We are taking additional steps to limit the spread of #COVIDー19 in Iowa. Read more here: https://t.co/eAdPy0BFoO
1241774705079656448,2020-03-22 17:12:15,I will be holding a press conference today at 2:30 p.m. Watch on my facebook page here: https://t.co/LiI4TTVgoG
1241774580785647616,2020-03-22 17:11:45,#COVIDー19 Update: https://t.co/GI6dSIZHmp
1241773645753724928,2020-03-22 17:08:02,RT @IAPublicHealth: #ThankYou https://t.co/18FDMuIlHS
