id,created_at,text
1247329854724456448,2020-04-07 01:06:26,"Neighbors help neighbors. On behalf of the state of Louisiana, we are all grateful for the people of Arkansas and their willingness to lend a helping hand during this trying time. Thank you for your support, @AsaHutchinson.  #lagov #lalege https://t.co/XzTzVsO6mW"
1247275985483059200,2020-04-06 21:32:22,RT @GOHSEP: Gov. Edwards encourages everyone to continue using caution as we approach the Easter Holiday.  Holy Week normally mean gatherin…
1247275533974601729,2020-04-06 21:30:35,"RT @NOLAnews: Excited for the 'Domecoming' tonight on ESPN? 

@LouisianaGov is right there with ya: ""One of the things that we like to do i…"
1247268430820061185,2020-04-06 21:02:21,"The people of Louisiana are resilient, and this game was a testament to our unbreakable spirit. Right now we face a different challenge, but I have no doubt we will get through this together, and the Saints will go marching in once again. #lagov #BlackAndGoldMonday https://t.co/GFUiCbRzcQ"
1247263513279635458,2020-04-06 20:42:49,RT @samkarlin: .@LouisianaGov says he doesn't have dates on when New Orleans will run out of vents/hospital beds. Over the past couple week…
1247261897688264705,2020-04-06 20:36:24,"RT @ChadSabadie: .@LouisianaGov: even if we are seeing improvements in the numbers, we have to maintain what we are doing with the mitigati…"
1247258993573191681,2020-04-06 20:24:51,"RT @MelindaDeslatte: . @AGJeffLandry says he ""continues to stand shoulder to shoulder"" with @LouisianaGov in response to the coronavirus. #…"
1247258489426186240,2020-04-06 20:22:51,RT @elizabethcrisp: .@LouisianaGov said he'll be watching this tonight and encouraged others to also. #lalege #lagov
1247258347897790469,2020-04-06 20:22:17,"RT @SteveWAFB: @LouisianaGov ends comments on a lighter note, reminding everyone that Falcons-Saints game from 2006 when the Superdome was…"
1247258303975034883,2020-04-06 20:22:07,RT @samkarlin: .@LouisianaGov urges people to watch the Saints beat the Falcons in the first game back in the Superdome after Hurricane Kat…
1247258115541786628,2020-04-06 20:21:22,"RT @CEStephens: .@LouisianaGov notes that @ESPN will air the 2006 @Saints game against the Falcons today, which was a pivotal game followin…"
1247258100131868682,2020-04-06 20:21:18,RT @GregHilburn1: .@LouisianaGov: Nothing more Christ-like than staying home and saving lives #lalege #lagov #coronavirus
1247258071388368896,2020-04-06 20:21:11,RT @ChadSabadie: .@LouisianaGov: I’m just encouraging people to be patient and look at the big picture. Do what we need to do now to be abl…
1247258060726382594,2020-04-06 20:21:09,"RT @elizabethcrisp: .@LouisianaGov: ""We're in holy week"" -- prime crawfish boil season. ""I understand this isn't just different, but upsett…"
1247257736494157831,2020-04-06 20:19:51,RT @GregHilburn1: .@LouisianaGov: Sign up for updates by texting LACOID to 67284 #lagov #lalege #coronavirus
1247257714683674640,2020-04-06 20:19:46,RT @MelindaDeslatte: . @LouisianaGov thanks @AGJeffLandry for bringing him a mask that has the Louisiana seal on it. Governor says of weari…
