id,created_at,text
1247349526060384257,2020-04-07 02:24:36,RT @Nevada_ONA: Let’s stay home for our families. Let’s stay home for our neighbors. Let’s stay home for our children. Let’s stay home for…
1247339480349954049,2020-04-07 01:44:41,"RT @GovSisolak: We are currently investigating whether all 12 of these deaths occurred today, or if there was a lag in timely reporting ove…"
1247339458904481792,2020-04-07 01:44:36,"RT @GovSisolak: In the short amount of time since my press conference ended, new reports to the State show another 12 deaths as a result of…"
1247332339601948672,2020-04-07 01:16:18,RT @GovSisolak: Ventilator use had increased slightly and is now at 44%. We have submitted an order to FEMA for 450 ventilators &amp; have been…
1247332331955744768,2020-04-07 01:16:16,"RT @GovSisolak: According to @NVHospitals, 282 COVID-19 patients are in Nevada hospitals statewide. Review additional hospitalization data…"
1247332322031988739,2020-04-07 01:16:14,RT @GovSisolak: Maj. Gen. Berry also provided updates on the critical role the @NVNationalGuard in helping us combat the spread of #COVID19…
1247332310837383170,2020-04-07 01:16:11,"RT @GovSisolak: Major General @ondralberry joined me to share our 5 goals:
1-Minimize Deaths &amp; Mitigate Spread
2-Obtain PPE to Protect Safe…"
1247332302792716290,2020-04-07 01:16:09,RT @GovSisolak: I want to thank all who tuned in. I look forward to providing more updates throughout the week. And remember: #StayHomeForN…
1247332296970997762,2020-04-07 01:16:08,"RT @GovSisolak: We know we need more PPE, and we continue our aggressive efforts to attain and distribute more. We won’t stop fighting for…"
1247316448751411200,2020-04-07 00:13:10,RT @GovSisolak: Tune in to my YouTube page at 5pm for an update on COVID-19 in Nevada: https://t.co/J22OrAgsqc
1247316435518386176,2020-04-07 00:13:06,RT @GovSisolak: Tune in NOW: https://t.co/5mT7PZA4XP
1247316388483457024,2020-04-07 00:12:55,"RT @GovSisolak: So far, we’ve lost 46 Nevadans to #COVID19. From yesterday to today, we didn’t lose a single life. We will continue monitor…"
1247316376852639744,2020-04-07 00:12:52,"RT @GovSisolak: As of today, we have 117 new positive cases. Our total positive cases have steadily increased since end of March, to a tota…"
1247315493578391552,2020-04-07 00:09:22,"RT @GovSisolak: That’s why we continue to aggressively explore testing expansion with lab experts in NV. But until we can expand, it’s crit…"
1247315486213197824,2020-04-07 00:09:20,"RT @GovSisolak: To date, NV has received 3k reagent kits for testing &amp; 4K test swabs from the federal government. We appreciate the testing…"
1247315478583726080,2020-04-07 00:09:18,"RT @GovSisolak: As of earlier today, 1,953 individuals have tested positive &amp; 15,676 have tested negative for #COVID19 in Nevada. 17,629 pe…"
1247315470337708032,2020-04-07 00:09:16,"RT @GovSisolak: To start, I want to thank all those who continue to #StayHomeForNevada. You’re doing your part and the State appreciates it."
1247258171791388673,2020-04-06 20:21:35,RT @GovSisolak: Thank you to @RTCSNV and @threesquareLV for all you're doing to help our seniors in need.
1247239732414705664,2020-04-06 19:08:19,RT @GovSisolak: I had a productive 2-hour phone call this morning with Vice President Pence’s Task Force. I’m fighting for Nevada every day…
1247021756667154432,2020-04-06 04:42:09,"RT @NVCensus2020: Nevadans all across the state are taking action in shaping our future.

Want to join them? Get counted now!

Visit https:…"
1246916864166334464,2020-04-05 21:45:21,"RT @NVHealthRespon1: We’re all in this together! Thank you, William Neal! 
#StayHomeForNevada @reviewjournal
https://t.co/hP8eE2zo63 https:…"
1246899784016728064,2020-04-05 20:37:29,"RT @MSNBC: WATCH: While speaking about the economic impact of COVID-19 on Nevada, Gov. Sisolak says ""lives are more important to us than th…"
1246881505332228096,2020-04-05 19:24:51,"RT @GovSisolak: On #GoldStarSpousesDay, we celebrate and bring awareness to the spouses and families who have sacrificed for their country…"
1246846582823116800,2020-04-05 17:06:05,RT @NVHealthRespon1: Shout-out to @WynnLasVegas for continuing to take care of their employees while we all face these uncertain times. #St…
1246836935059890176,2020-04-05 16:27:45,RT @GovSisolak: I will be on @msnbc shortly. Tune in NOW.
1246833734738837504,2020-04-05 16:15:02,RT @GovSisolak: I will be going on @AlexWitt on @MSNBC at 9:30am this morning to talk COVID-19 in Nevada. Tune in!
1246828140313243648,2020-04-05 15:52:48,"RT @GovSisolak: If you need health insurance, you can enroll NOW through April 15 at https://t.co/0Ykuz7hY2c. Subsidies are available for t…"
1246668607167139840,2020-04-05 05:18:52,"RT @GovSisolak: .@LGKateMarshall is right. Let’s show the rest of the country how much we care about funding our schools, hospitals, &amp; law…"
1246657338771005442,2020-04-05 04:34:05,"RT @GovSisolak: This call stems from the directive I signed that waives specific licensing requirements to allow certain doctors, nurses, E…"
1246657327467384832,2020-04-05 04:34:03,"RT @GovSisolak: Our state was born in in the midst of one of our country’s darkest moments, and we rose from those depths to greatness. Fig…"
1246657317040295938,2020-04-05 04:34:00,"RT @repdinatitus: Thank you to all of the postal workers, letter carriers, and delivery drivers who continue to deliver mail, packages, and…"
1246657293472555009,2020-04-05 04:33:55,"RT @News3LV: ""Our state was born in in the midst of one of our country’s darkest moments, and we rose from those depths to greatness,” -- G…"
1246561024485933057,2020-04-04 22:11:22,"RT @GovSisolak: As Mr. Rogers used to say, ""Look for the helpers."" I'm so thankful that we've got a lot of them in our great State."
1246507395213168641,2020-04-04 18:38:16,"RT @GovSisolak: I could not agree more!

Thanks to @krnv and Reno resident, Steve, for sharing shows of support for our first responders &amp;…"
1246442951531585536,2020-04-04 14:22:12,RT @GovSisolak: I realize it’s really tough out there and jobs are in limited supply. But there are a handful of places hiring out there. C…
1246284661409505280,2020-04-04 03:53:12,"RT @GovSisolak: For more specific guidance for those who wish to wear a face covering, some basic design principles and tips, how to care f…"
1246284651947122689,2020-04-04 03:53:10,"RT @GovSisolak: Again, a “face covering” is NOT a “mask.” Those battling #COVID19 on the frontlines—incl. doctors, first responders, &amp; othe…"
1246284639779446784,2020-04-04 03:53:07,"RT @GovSisolak: NV’s Chief Medical Officer: While there is no medical consensus on face coverings preventing contraction of #COVID19, they…"
1246284624369553409,2020-04-04 03:53:03,RT @GovSisolak: Today my Medical Advisory Team issued guidelines for using a face covering as a precautionary measure to prevent the spread…
1246277997553782784,2020-04-04 03:26:43,"RT @GovSisolak: Today, I ordered the flags of the U.S. &amp; the State of NV to be flown at half-staff at the State Capitol &amp; all State public…"
1246270869527130112,2020-04-04 02:58:24,"RT @NVHealthRespon1: We couldn’t be any more proud of what you all are doing for our state! Thank you, @CSNCoyote @DRIScience @gbcnevada @N…"
1246232701847236608,2020-04-04 00:26:44,RT @GovSisolak: Tune in to @MSNBC NOW to watch me talk about NV’s #COVID19 response efforts.
1246232584108920832,2020-04-04 00:26:16,"RT @GovSisolak: I was saddened to learn about the passing of NV Board of Regents member Sam Lieberman, a champion of higher education in Ne…"
1246223700858261505,2020-04-03 23:50:58,RT @GovSisolak: Tune in to @chrislhayes on @MSNBC at 5pm to watch me talk about COVID-19 in Nevada.
1246199116926836736,2020-04-03 22:13:17,RT @GovSisolak: And a special thanks to Sheldon Adelson and all the donors who have stepped up and played a key role in securing much-neede…
1246186158574325760,2020-04-03 21:21:47,"RT @NVHealthRespon1: Over 500 emergency bags have been delivered in the last two weeks! Thank you, @HHOVV and @threesquareLV! #StayHomeForN…"
1246186145932697600,2020-04-03 21:21:44,RT @GovSisolak: TY to Jim Murren &amp; the members of the private sector task force for all they’re doing to help NV during this crisis. Across…
1246186138185818112,2020-04-03 21:21:43,RT @GovSisolak: Need health insurance? You can get it right now through April 15. ⬇️⬇️⬇️
1246186116253810688,2020-04-03 21:21:37,"RT @GovSisolak: The State &amp; its citizens are facing a new, unimaginable reality, but I have faith in our strength. Nevadans have overcome m…"
1246186108137820160,2020-04-03 21:21:35,"RT @GovSisolak: With the near total shutdown of businesses, it is inevitable that decreased revenue will force the State to make tough choi…"
1246186100671930368,2020-04-03 21:21:34,"RT @GovSisolak: Today, due to the unexpected economic impacts of #COVID19, I asked State agencies to begin reviewing their budgets &amp; making…"
1245809469537144837,2020-04-02 20:24:58,RT @NVNationalGuard: What he said.
1245552559198101505,2020-04-02 03:24:06,RT @GovSisolak: Don't see your county in the top three? Head over to https://t.co/zXtzr5G9oR &amp; fill out your Census form now. Let's close o…
1245501105921875969,2020-04-01 23:59:38,RT @GovSisolak: Tune in to Facebook Live (https://t.co/dFfNlvJ3XD) at 5pm for an update on COVID-19 in Nevada.
1245446871671123968,2020-04-01 20:24:08,RT @GovSisolak: Today I visited the State Emergency Operations Center &amp; the Joint Operation Center in Carson City with Major General @ondra…
1245438737649188865,2020-04-01 19:51:48,RT @GovSisolak: This order still allows essential functions like grocery shopping &amp; driving to an essential business. It also allows outdoo…
1245435145139650564,2020-04-01 19:37:32,"RT @GovSisolak: Yesterday, I submitted a formal request to President Trump for a Major Disaster Declaration for the State of NV to free up…"
1245423626016288768,2020-04-01 18:51:45,RT @GovSisolak: NV has a STATE-run health exchange and is NOT impacted by the recent decision made at the national level to keep Obamacare…
1245410730167300097,2020-04-01 18:00:31,RT @GovSisolak: It was my honor to attend NV Adjutant General @ondralberry’s pinning ceremony in Carson City where he was promoted by the @…
1245404582429122560,2020-04-01 17:36:05,RT @GovSisolak: We have taken a number of critical and unprecedented steps since the Emergency Declaration as part of our #StayHomeForNevad…
1245404565370859520,2020-04-01 17:36:01,"RT @GovSisolak: Today I formally issued a Stay at Home order &amp; extended all other directives under the State Emergency Declaration, incl. t…"
1245369705935691778,2020-04-01 15:17:30,"RT @GovSisolak: In recognition of #NationalCensusDay, the First Lady &amp; I are calling on all Nevadans to fill out their census form at https…"
1245169353084956672,2020-04-01 02:01:22,"RT @GovSisolak: Nevadans staying in weekly stays or extended living motels are covered by the eviction moratorium.

If you have additional…"
1245116372108992512,2020-03-31 22:30:50,RT @GovSisolak: It is so nice to see all the positive stories involving our community--from @unlv students making sanitation kits for the h…
1245058975126573056,2020-03-31 18:42:46,"RT @GovSisolak: On #InternationalTransgenderDay of Visibility, we recognize and celebrate trans and non-binary people in Nevada and all aro…"
1245054107460780034,2020-03-31 18:23:25,RT @GovSisolak: A huge thanks to the ⁦@LasVegasSands⁩ for flying in a million masks and 20k protective suits for Nevada. This generous dona…
1244776922703228928,2020-03-31 00:01:59,"RT @GovSisolak: Great news for the folks in @nyecounty and Pahrump regarding drive-up COVID-19 testing on Tuesday and Wednesday.

Please re…"
1244715730307657728,2020-03-30 19:58:50,RT @GovSisolak: Is your landlord still trying to evict you or your business during the moratorium? Help is available from @NevadaAG Aaron F…
1244676771925987328,2020-03-30 17:24:02,"RT @GovSisolak: On #NationalDoctorsDay, we celebrate the countless doctors, nurses, first responders, and other health care workers who put…"
1244676753286545418,2020-03-30 17:23:57,"RT @GovSisolak: For those that missed the press conference yesterday and are looking for a version with better audio quality, please go her…"
1244649845014450176,2020-03-30 15:37:02,"RT @GovSisolak: Thank you, @GoldenKnights and @ChanceNHL! 

If #HomeMeansNevada to you, please #StayHomeForNevada."
1244631755434291201,2020-03-30 14:25:09,"RT @GovSisolak: Beginning this morning, Vegas parents and kids can access a whole range of age-appropriate, curriculum-based programming on…"
1244466582115373057,2020-03-30 03:28:48,RT @NVHealthRespon1: This starts tomorrow! Visit https://t.co/c0TbYr9Wkm for the daily schedule. #StayHomeForNevada @PBSReno https://t.co/k…
1244466004157071361,2020-03-30 03:26:31,"RT @CityOfLasVegas: Tonight, City Hall is dark blue in honor of @NHPNorthernComm/@NHPSouthernComm Sargent Ben Jenkins who was killed in the…"
1244461444160049152,2020-03-30 03:08:23,"RT @GovSisolak: Happy birthday to my good friend, @SenCortezMasto! 

And thank you for always fighting for Nevada!"
1244419155576537088,2020-03-30 00:20:21,"RT @GovSisolak: Great to see everyone practice safe social distancing today, allowing us to give this important update in-person. 

And it…"
1244396446327001088,2020-03-29 22:50:07,"RT @GovSisolak: Today, I announced, in coordination with @NevadaAG Aaron Ford, an emergency directive placing a moratorium on the vast majo…"
1244127015009021954,2020-03-29 04:59:29,"RT @GovSisolak: Every day, I’m reminded of the ingenuity of Nevadans. Whether it’s providing students meals while schools are closed, sewin…"
1244058205518364672,2020-03-29 00:26:04,"RT @GovSisolak: Check out this great social distancing rap from Tazayah Henderson, a super creative 4th grade student at Libby Booth Elemen…"
1244049166835179522,2020-03-28 23:50:09,"RT @GovSisolak: In the midst of an uncertain time, it’s important to hold on to the inspiring stories like this one. #AllInThisTogether"
1244047765736284160,2020-03-28 23:44:35,"RT @NVHealthRespon1: Amazing things coming from our #Vegas community!  @News3LV #StayHomeForNevada

https://t.co/0CNhit3FGz https://t.co/dQ…"
1244022954012241926,2020-03-28 22:05:59,RT @GovSisolak: Watch this brief message from First Lady Kathy Sisolak and I to all Nevadans out there. #StayHomeForNevada #NevadaStrong ht…
1244016853174738949,2020-03-28 21:41:45,"RT @NHPSouthernComm: Sgt Jenkins, we’re bringing you home. ⚫️🔵⚫️🇺🇸 https://t.co/DXDliK7rtl"
1243989374305329152,2020-03-28 19:52:33,"RT @GovSisolak: ICYMI: I also went on @MSNBC yesterday to talk #COVID19 in Nevada with @AriMelber. 

Watch here: https://t.co/OjghlQuMwe"
1243962677774274560,2020-03-28 18:06:28,"RT @GovSisolak: Since schools closed in Nevada just 12 days ago, @NVAgriculture, @NevadaReady, schools districts, &amp; community groups around…"
1243743071012966401,2020-03-28 03:33:50,RT @GovSisolak: A big thanks to @CNN and @donlemon for having me on this evening to tell the nation how proud I am of Nevadans for being so…
1243723638508937216,2020-03-28 02:16:37,RT @GovSisolak: Tune in to CNN right NOW to watch me talk about #COVID19 in Nevada.
1243721097813450752,2020-03-28 02:06:31,RT @GovSisolak: A lot of you have reached out expressing worry and concern about housing stability during this difficult time. I want you t…
1243679336332292096,2020-03-27 23:20:34,RT @GovSisolak: I am thankful the President invoked the Defense Production Act to compel GM to manufacture ventilators that will help save…
1243673593239592962,2020-03-27 22:57:45,"RT @GovSisolak: Today, I ordered the flags of the U.S. &amp; the State of Nevada to be flown at half-staff at the State Capitol &amp; all State pub…"
1243673478558969856,2020-03-27 22:57:18,"RT @lvchamber: Governor @SteveSisolak's COVID-19 Response, Relief &amp; Recovery Task Force is seeking donations of Personal Protective Equipme…"
1243635178095800320,2020-03-27 20:25:06,"RT @GovSisolak: Kathy and I were absolutely heartbroken to learn of the tragic and senseless killing of Sergeant Ben Jenkins, a 12-year vet…"
1243571447529762819,2020-03-27 16:11:52,"RT @GovSisolak: This is an important message from Nevada's Attorney General, @AaronDFordNV. 

All of these organizations are open and ready…"
1243561694778912769,2020-03-27 15:33:06,"RT @ntannenbaum: As @GovSisolak says ""If #HomeMeansNevada to you, PLEASE #StayHomeForNevada. Always glad to bust out my flute on @8NewsNow.…"
1243369703428382721,2020-03-27 02:50:12,RT @GovSisolak: Congratulations to Nevada's Adjutant General @ondralberry for his well-deserved promotion to Major General by the Air Force…
1243343558049849344,2020-03-27 01:06:19,"RT @GovSisolak: Thank you to our police officers, health care workers, and the rest of our essential workers for keeping our State safe and…"
1243295312703148033,2020-03-26 21:54:36,"RT @GovSisolak: TODAY at 3PM: I will be joined by Dr. Shadaba Asad, Director of Infectious Disease at @UMCSN Hospital in Vegas, to hold a v…"
1243295299201667073,2020-03-26 21:54:33,"RT @GovSisolak: A huge shout out and heartfelt thank you to my good friend, Mike Nikhman, for dropping off 3,000 masks and 2,000 gloves to…"
1243222794957025287,2020-03-26 17:06:26,"RT @GovSisolak: Thank you to @WCSDTweet, teachers, staff, and school districts around the State for working so hard to provide remote learn…"
1243173572060655617,2020-03-26 13:50:51,RT @GovSisolak: Never let your capacity for love and kindness be limited by the physical distance between yourself and those around you.…
1243005617322610690,2020-03-26 02:43:27,RT @GovSisolak: Are you looking for more information and regular updates about #COVID19 in Nevada? The Nevada Health Response Center is you…
1242965257129086976,2020-03-26 00:03:05,"RT @GovSisolak: While our students are home away from the classroom, it can be hard to come up with daily activities to keep their young mi…"
1242957854627090433,2020-03-25 23:33:40,"RT @NVHealthRespon1: Thanks for sharing your #StayHomeForNevada story, Hailey Murphy! https://t.co/AVueSn4rHS"
1242885823420182534,2020-03-25 18:47:26,"RT @GovSisolak: We’re in a pandemic. As leaders, let’s stand together as Americans to forget the partisan politics, put the health &amp; safety…"
1242885812947005441,2020-03-25 18:47:24,RT @GovSisolak: 4. Here’s the deal: medical professionals don’t want bad actors to harm Nevadans (or Texans!) by creating a shortage of cri…
1242885801513332736,2020-03-25 18:47:21,"RT @GovSisolak: 3. On March 20, the Texas State Board of Pharmacy adopted even stricter restrictions than NV for the same drugs. To help yo…"
1242885786090889216,2020-03-25 18:47:17,"RT @GovSisolak: 2. As written in the regs, doctors can still administer these drugs to admitted patients, including #COVID19 patients, if t…"
1242885777840726016,2020-03-25 18:47:15,RT @GovSisolak: 1. These regs were developed by the Nevada Board of Pharmacy in coordination with NV’s Chief Medical Officer and our COVID-…
1242885767958892544,2020-03-25 18:47:13,"RT @GovSisolak: Hey, Senator! 👋 I’m glad we agree that it’s critical to trust science &amp; listen to medical professionals...now and always. I…"
1242848230238343168,2020-03-25 16:18:03,RT @GovSisolak: These emergency regulations were promulgated by the Nevads Board of Pharmacy and recommended by the NV #COVID19 Medical Adv…
1242848157345525760,2020-03-25 16:17:46,"RT @GovSisolak: This regulation DOES NOT prohibit prescription of these drugs for inpatient treatment. In other words, if a doctor in a hos…"
1242632855135465473,2020-03-25 02:02:14,RT @NVHealthRespon1: The teachers in our community deserve a HUGE round of applause! #StayHomeForNevada #CCSD #ShareYourStory @ClarkCountyS…
1242620721433436160,2020-03-25 01:14:01,RT @GovSisolak: Today I signed an emergency directive prohibiting gatherings of groups of 10 or more in any indoor or outdoor public area t…
1242597970438017024,2020-03-24 23:43:37,"RT @GovSisolak: Tune in to Facebook Live at 5:15pm for an important update from the Governor's Office.

Watch HERE: https://t.co/JeNglED2jz"
1242586425733681153,2020-03-24 22:57:44,"RT @GovSisolak: Today, I signed an emergency regulation limiting the prescription &amp; issuance of two drugs that have unproven results with t…"
1242577480981962754,2020-03-24 22:22:12,"RT @GovSisolak: Thank you to our Chinese-American community in Las Vegas for generously raising over $50,000 to buy supplies for local hosp…"
1242523087624519680,2020-03-24 18:46:03,"RT @GovSisolak: A huge thanks to our former Nevada Governors: Brian Sandoval, Bob Miller, Richard Bryan, &amp; Robert (Bob) List (@rflist) for…"
1242504914938421250,2020-03-24 17:33:51,"RT @GovSisolak: Live in Vegas and looking for work? All these businesses are currently hiring: @MySmithsGrocery, @amazon @Walmart, @UPS, @F…"
1242504894562439168,2020-03-24 17:33:46,"RT @GovSisolak: .@DignityHealth is currently ""accept[ing] donations of unopened boxes of N-95 masks, surgical masks, and isolation gowns fr…"
1242504880670961664,2020-03-24 17:33:42,"RT @GovSisolak: TY to our cities &amp; counties throughout NV, especially our rural communities like White Pine County, for understanding the g…"
1242504870952747009,2020-03-24 17:33:40,"RT @NVHealthRespon1: Thank you to the Las Vegas Chinese Community, led by representatives from Lan-Tian Cultural Center, for donating thous…"
1242487478998593536,2020-03-24 16:24:33,"RT @GovSisolak: It's wonderful seeing Vegas locals helping where they can. Thank you to all of our nurses, doctors, and first responders al…"
