id,created_at,text
1247356926335291398,2020-04-07 02:54:00,"Today I informed West Virginians that the state continues to limit the spread of #COVID19 and assured residents that we will remain as aggressive as possible to save as many lives as we can.

Read more here ⬇️

https://t.co/BsqPPMzZx5"
1247305607100727297,2020-04-06 23:30:05,"As our medical professionals continue to lead the fight against #COVID19, it's nice to see Hot Meals For WV Heroes - Frontline Foods WV providing meals for healthcare workers in the Eastern Panhandle. 

Check out more here ⬇️  https://t.co/xTTr27uxqf"
1247267924512997376,2020-04-06 21:00:20,I participated in a video conference with @VP today to further discuss West Virginia's efforts to slow the spread of #COVID19.  We are working closely with the White House and continue to secure help for the Mountain State! #WV #WVGov #StayHomeWV https://t.co/Tru9YF2mHW
1247207158376095745,2020-04-06 16:58:53,"LIVE: Justice Administration holds press briefing on COVID-19 response - April 6, 2020. For more information about #COVID19, call the State’s toll-free hotline at 1-800-887-4304 or visit https://t.co/Ad33fbC98s. #WV #WVGov https://t.co/b8cZ2MD02P"
1247177401429352449,2020-04-06 15:00:38,"I will hold a virtual press briefing at 1 p.m. on our #COVID19 preparations and response.

You can watch live on 📱 💻 ⬇️

Twitter:
https://t.co/EwEWFm0QUf
Facebook:
https://t.co/BRidScxt4H
YouTube:
https://t.co/0TQUZwofcM https://t.co/kimx5C5qk8"
1246943222460493824,2020-04-05 23:30:05,"My excellent team of medical professionals and government leaders are working around the clock to keep you informed about #COVID19.

Follow the link below to stay up to date on all recent developments in West Virginia 🔽 

https://t.co/dA0gOhOibk https://t.co/9PXHoNFUof"
1246897915009929218,2020-04-05 20:30:03,"It's hard to believe that its been 10 years since we lost those 29 brave souls in the Upper Big Branch mine disaster. I ask all West Virginians to take a moment today to pray for their families, friends, and communities that still grieve this unimaginable loss. https://t.co/HwocDBgZB4"
1246629073914216448,2020-04-05 02:41:47,"Tonight I expanded my Executive Order to include Monongalia, Harrison, and Kanawha counties as #COVID19 continues to spread. To stop the spread we MUST stay at home as much as possible and we MUST remember to socially distance. More on the Order below ⬇️  https://t.co/VbtVogOuV8"
1246461778898423808,2020-04-04 15:37:00,"It is a trying time for small business owners in West Virginia as we continue to battle #COVID19. @wvcommerce is working to provide business guidance and loan resources for those in need. 

Find more information here ⬇️   https://t.co/Gj9cNW1qvh"
1246229767520546816,2020-04-04 00:15:05,Thank you @WVHEPC and Board of Nursing for working with me to make sure our future #COVIDHeroes will be able to graduate from nursing school on time by modifying the clinical hours requirement today! #WV #WVGov https://t.co/HmEEjwiaK5
1246228329054605312,2020-04-04 00:09:22,"RT @WV_DHHR: At the request of Gov. Jim Justice, @WV_DHHR released the following guidance for Hotels, Motels and Other Lodging Facilities.…"
1246224717922611200,2020-04-03 23:55:01,"Today I signed an Executive Order to further protect West Virginians in Berkeley, Jefferson, and Morgan counties as COVID-19 continues to spread in the Eastern Panhandle. 

Read more here ⬇️ 

https://t.co/t2LS8BKkH0"
1246210964220973058,2020-04-03 23:00:22,"Today announced that I am directing additional resources to help @workforcewv process unemployment claims due to the #COVID19 pandemic.

I am committed to getting people financial relief as soon as possible. 

Read more here: https://t.co/rc1N9TAbgJ https://t.co/niCPQVBdyf"
1246205848826843137,2020-04-03 22:40:02,"Thank you @realDonaldTrump for granting my request for an expedited major disaster declaration for WV, which will release federal funds to help our communities recover from #COVID19.

#WV #WVGov #StayHomeWV

Read more here ⬇️ 

https://t.co/smBGQ9qT29"
1246195919474896897,2020-04-03 22:00:35,"Today I reported the first community cluster of #COVID19 in the Eastern Panhandle.

As we continue to fight COVID-19, it's important for everyone to stay calm and keep practicing safe social distancing. #WV #WVGov #StayHomeWV

Read more below:
https://t.co/CYuy592AmB"
1246177662957223936,2020-04-03 20:48:02,"I've been made aware of several rumors circulating on social media. We have to do everything we can to keep people safe and that includes silencing rumors that harm our efforts to respond to this pandemic. 🗣️ 

PLEASE make sure the information you are sharing is accurate. ✔️ https://t.co/JWSGWLS03Q"
1246134510766309377,2020-04-03 17:56:34,"RT @realDonaldTrump: The Paycheck Protection Program is now available! #CARESAct

Small Business Guidance &amp; Loan Resources: https://t.co/lf…"
1246130879572750337,2020-04-03 17:42:08,"RT @WVeducation: ""What a time to see WVians taking care of WVians. Keep up the good work!"" - Superintendent Burch

To date, 1 million meals…"
