id,created_at,text
1247293605187903489,2020-04-06 22:42:23,"Thanks to @SanfordHealth, @_monumenthealth, and @AveraHealth for working with us to build a plan and fight back against #COVID19.

Together, we can do this.

https://t.co/YEOw3s8OEA"
1247287853144518657,2020-04-06 22:19:32,"We are at a CRITICAL JUNCTURE. I announced additional steps we're taking today to fight #COVID19.

LEARN MORE HERE: https://t.co/cguWVETT8h"
1247256865383333889,2020-04-06 20:16:24,We all have a responsibility to help slow the spread of #COVID19 in our state. Visit https://t.co/q8kGADtB2D for the latest resources. https://t.co/vkqdbs6FN7
1247222306591604736,2020-04-06 17:59:04,"You don't just happen to live in South Dakota. You live here on purpose. 

Thank you South Dakotans for doing everything you have thus far. We'll get through the #COVID19 situation together."
1247199974837886981,2020-04-06 16:30:20,The Small Business Relief Fund is now available for South Dakota businesses that need assistance to help make ends meet: https://t.co/ADV9zpTG0a
1247197852788568066,2020-04-06 16:21:54,JOIN me today at 2pm CT on Facebook or https://t.co/DhOpn2rvaT for a LIVE update on #COVID19. https://t.co/MhENYfd5bt
1246233084623826944,2020-04-04 00:28:15,Today I was joined by @sddohkmr @AveraHealth @_monumenthealth @SanfordHealth to outline the #COVID19 projections we’re looking at in South Dakota. Details: https://t.co/yjYyBVd4mq #FlattenTheCurve @SDDOH
1246227347268919302,2020-04-04 00:05:28,WATCH #COVID19 update. https://t.co/yjYyBVd4mq
1245811998656540672,2020-04-02 20:35:01,"LIVE update on #COVID19 in South Dakota.
https://t.co/NTt0WWSKz9"
1245768730510049287,2020-04-02 17:43:05,Tune in at 3pm CT for another #COVID19 update. Watch LIVE on https://t.co/Cjymf5ZCzl or https://t.co/DhOpn2rvaT. https://t.co/d775NAmXSQ
1245441893476990976,2020-04-01 20:04:21,Join me LIVE to discuss the latest updates regarding #COVID19. https://t.co/BhZbeT1XC2
