id,created_at,text
1247096041083670528,2020-04-06 09:37:20,"Out of 16 samples tested, 1 tested positive. We have a total of 113 confirmed cases with 4 deaths and 25 recoveries."
1247085996732108800,2020-04-06 08:57:26,"RT @_investguam: During these times, credible information is important. Please visit the GEDA website for information on economic relief in…"
1246972029430988800,2020-04-06 01:24:34,@WordofJohnGuam @itsmemichellev The Guam Civil Defense Act of 1951 predates Guam Code Annotated and the 1976 court case. Laws in GCA and the decision in Gayle v. Governor of Guam would supersede this Act. We are following guidance from the AG.
1246954555624935428,2020-04-06 00:15:08,"In order to strengthen enforcement of Executive Orders, legislation is needed. This conclusion was made in consultation with the Attorney General and my legal counsel. I know there is a desire for stricter rules, but the District Court set precedence that we must follow."
1246947263445749760,2020-04-05 23:46:09,"There is no justification for any elected official to disobey the laws of Guam. The need is immediate for this legislation, and we will work as swiftly as possible with the Legislature to enact laws to strengthen enforcement during PH emergencies. https://t.co/FE7w9CTy9x"
1246946191079690240,2020-04-05 23:41:53,@Apochryphal @WordofJohnGuam Power to restrict movement is permitted under drills or attacks. The court decided that this does not apply in other forms of states of emergencies.
1246945670738542592,2020-04-05 23:39:49,"Our current law does not allow me to enact fines and penalties for those who disobey an executive order. For stricter enforcement, the enabling power must come from the legislature. We will work closely with them to ensure that we can do this within a PH emergency. https://t.co/hj2M6cKuNB"
1246944833048109056,2020-04-05 23:36:29,"@WordofJohnGuam The court’s decision was enforcement of curfew and, in general, the restriction of movement is not inherently in the Governor’s authority as provided in the OA. The authority must be provided by the Legislature."
1246939860331421696,2020-04-05 23:16:44,"Unfortunately, I do not have the authority to impose a lockdown. This was decided through Gayle v. Governor of Guam 1976. The court decided that such policing power was not in the Organic Act, and it must be granted from the Legislature. https://t.co/12PikhFmjX"
1246922070954565633,2020-04-05 22:06:03,"Through EO 2020-07, you cannot be evicted during this public health emergency. And we are working with federal partners to ensure you will get the help you need. If you have any questions regarding employment or welfare benefits, you can 311 and someone can assist you. https://t.co/VBeFQREbmP"
1246916962887913472,2020-04-05 21:45:45,"@guinaiya671 According to the AG, the ability to enact checkpoints under a PH emergency must come from the legislature. Present measure will remain, but checkpoints will no longer be pursued until legislation is enacted."
1246914056159543296,2020-04-05 21:34:12,"According to the AG, the governor does not have this authority. In order to enact such strict measures, the legislature must enact legislation. https://t.co/liSh6OeeBz"
1246784918924832768,2020-04-05 13:01:03,"Out of 38 tests, 17 individuals tested positive for COVID-19. To date, we have a total of 112 confirmed cases with 23 recoveries and 4 deaths."
1246751032383700993,2020-04-05 10:46:24,"@iamjeffreywangs Yes, you can still go jogging or running. But be mindful of your distance from others"
1246693798291234822,2020-04-05 06:58:58,Additional guidance relative to Executive Order 2020-09 https://t.co/IzvW8fEtlK
1246692868443365381,2020-04-05 06:55:16,The Public Health Emergency has been extended to May 5 https://t.co/PoBW4ijaRM
1246384786714681344,2020-04-04 10:31:04,"6 individuals tested positive for COVID-19. To date, 93 cases have tested positive with 4 deaths and 20 recoveries."
1246072759014195211,2020-04-03 13:51:11,Tell your kids you love them tonight and heal old wounds wherever they might exist. Tonight we mourn but tomorrow we continue the fight to save those we love.
