id,created_at,text
1247309459069775872,2020-04-06 23:45:23,The Reeves family is in! #RingTheBells @DelbertHosemann https://t.co/61xnwZinU8
1247283603047952385,2020-04-06 22:02:39,RT @msdh: We collected samples for free COVID-19 testing in Moss Point today at a drive-up testing site set up in partnership with the Univ…
1247283569099145217,2020-04-06 22:02:30,"RT @msdh: Free drive-up COVID-19 testing is coming up this week in Raleigh, Eupora and Tunica. Call ahead (or use a smartphone app) to see…"
1247283410290257926,2020-04-06 22:01:53,RT @MSEMA: Mississippians are now encouraged to wear face masks while in public to help slow the spread of #COVID19. There are several alte…
1247251453955190792,2020-04-06 19:54:54,RT @MPBOnline: MPB LIVE -- Governor Tate Reeves COVID-19 Response https://t.co/fr6GPN3mdj
1247169787723239425,2020-04-06 14:30:23,Help is coming—more financial help than ever before. But it is too slow. The government can’t replace lost wages in real time. Mississippians are proud. Many won’t broadcast they need help. But a lot of them do. Please consider quietly reaching out to help a neighbor if you can.
1247169785152114689,2020-04-06 14:30:22,"This disease is not fair. It does not hit the rich and the rest equally. Neither does the economic fallout. There are many across Mississippi who are struggling, waiting as we work to scale up our unemployment system to manage the 3,000% increase in claims."
1247135075306737666,2020-04-06 12:12:27,"The faith, calm, and loving spirit demonstrated by so many Mississippians during a tragedy like this is truly humbling. You are daily motivating me to try and reflect your grit, humility, and courage. Live update at 2:30–detailed briefing on hospital surge plans. God bless."
1246944146855731204,2020-04-05 23:33:46,"There are some new solutions in the works to deal with the historic increase. It’s going to get fixed. And we’re going to provide more help than ever before. 

Stay safe, and look out for your neighbors. Many need food and some cash to get by until we can get this right."
1246944145383608320,2020-04-05 23:33:46,"You will get what you deserve, no matter when you get through. Your money is based on when you lost your job, not when they can answer the phone."
1246944144406261760,2020-04-05 23:33:45,"We’ve increased the hours. We’ve increased the staff. We’ve increased the ways you can apply. We’re still trying to catch up with the massive numbers. 

That doesn’t help you if you’re trying to get through and can’t. I know that. We’re going to make it right."
1246944142372061184,2020-04-05 23:33:45,"No system was created to handle that kind of drastic increase. The people on the line at the call center are working class folks. They’re trying, but they’re being asked to do 3,000% more work instantly."
1246944140803420160,2020-04-05 23:33:44,"This is not just a pandemic, it is an economic disaster. We’ve already seen a 3,000% increase in unemployment claims in Mississippi. It’s never happened before. That is going to get worse before it gets better, just like this disease."
1246871364105056256,2020-04-05 18:44:33,"The church isn’t a building. Easter isn’t about eggs. We will come together virtually around the globe, and personally in our families. Celebrate Easter next Sunday, please! Just be smart and safe. Christ is risen!"
1246871363501133827,2020-04-05 18:44:33,"They’ve celebrated in countries where large Christian gatherings don’t mean you risk infection—you risk execution. They’ve worshipped on battlefields. They’ve worshipped in the wild. If they can do that, we can stay home to watch and worship on TV, radio, or the internet."
1246871361596862464,2020-04-05 18:44:33,A disease can’t cancel Easter. Jesus conquered death. Christians have celebrated the resurrection in even harder times than these:
1246842996328402945,2020-04-05 16:51:50,"RT @BrandyMcgillTV: Memorial Hospital is covered with cheerful messages in bright colors, motivating our front line workers. Word around to…"
1246803663009525760,2020-04-05 14:15:32,RT @MSEMA: The first load of modified ventilators is headed back to the Mississippi State Department of Health for distribution. Mississipp…
1246803604725432320,2020-04-05 14:15:18,"RT @nationalguardMS: Airmen of the 172d Airlift Wing recently traveled to Adams County to support testing for local citizens.

The MSNG lea…"
1246793759284695042,2020-04-05 13:36:11,"Before you stream church or listen on the radio, join us in prayer (and for our first birthday shout outs) at 9:30 AM on Facebook Live! A good socially distant way to spend some time with the Lord and your fellow Mississippians on this Palm Sunday!"
1246661710280364032,2020-04-05 04:51:28,"Happy birthday, Kylee! https://t.co/F97oZXzOoq"
1246661630529867783,2020-04-05 04:51:09,RT @amberlycollins: @tatereeves Our Henry Collins is turning 7 tomorrow on April 5th! Thank you Governor Reeves!
1246661591753523200,2020-04-05 04:50:59,RT @Ms2Nesha: @tatereeves Khloe Sylvester was April 1st https://t.co/Hvad7rFYDS
1246581315744550913,2020-04-04 23:32:00,A lot of parents are trying to figure out how to give their kids a fun birthday this week. I want to help! Can get involved here: https://t.co/z5DqycAkzO https://t.co/z5Fq2pf4eQ
1246561536220553225,2020-04-04 22:13:24,Fun surprise to see a WAPT cameraman while out this AM! Stay home except for individual outdoor activity. Maybe an excuse for all of us to get a jog in! https://t.co/6T9ivTMOEP
