id,created_at,text
1247320524956590080,2020-04-07 00:29:21,"🚘BARR CAR - 8🚘

Take a free ride in the @AGWilliamBarr CAR and gain followers!

🇺🇸Leave account name below👇
🇺🇸RETWEET RETWEET RETWEET
🇺🇸Follow all RTs/Likes/Comments
🇺🇸Bookmark this tweet
🇺🇸Come back, follow more PATRIOTS
🇺🇸Watch your followers grow📈📈
https://t.co/pCyj6vh1Ow"
1247317774059343877,2020-04-07 00:18:26,"MAKE SURE TO FOLLOW THESE AMERICA LOVING TRUMP PATRIOTS!

@PeterNavarroUSA
@1technobuddy
@tommiross2
@angelwarrior321
@hulkntechnomaga
@karenladybug1
@alt1j
@rebelnurse76
@ron92211
@suthernangel2

🇺🇸RT/Like this tweet
🇺🇸Follow all RTs/Likes/Comments
🇺🇸Watch your followers grow 📈"
1247302481270407168,2020-04-06 23:17:39,"The SWAMP is IMMENSE. 

#DrainTheSwamp https://t.co/tku1o9hJzR"
1247298858822008832,2020-04-06 23:03:16,"Trump with a not so subtle dig at Biden: 

“Take a look at the Swine Flu. That’s H1N1...take a look at that...and it’s not the other way around...you know what I mean by that.”"
1247285409060708354,2020-04-06 22:09:49,RT @TVNewsHQ: CNN is once again not airing today’s Coronavirus Task Force Briefing https://t.co/m1lmvLGoXK
1247283518461358080,2020-04-06 22:02:18,"President Trump on his call with former Vice President Biden:

“It was a very wonderful, warm conversation...He gave me his point of view and I fully understood that...and we just had a really nice conversation. It lasted about fifteen minutes..and I really appreciated his call.”"
1247280070290481154,2020-04-06 21:48:36,"@BellaDeJesus14 @realDonaldTrump Imagine being this proud of being this wrong. 

It’s a parody account, dunce."
1247277399307411456,2020-04-06 21:37:59,@BellaDeJesus14 @realDonaldTrump dementia patient Biden for President
1247274464888393730,2020-04-06 21:26:20,@realDonaldTrump Thank you for being the only REAL and TRUTHFUL news source!
1247254098954641408,2020-04-06 20:05:24,@RealMattCouch fraud
1247252180417105930,2020-04-06 19:57:47,"@MiMedx FRAUD ALERT
https://t.co/QonEVJO3QF"
1247246551283531779,2020-04-06 19:35:25,"Fired off a tweet, “your tweet was sent”, not appearing on my profile...

My tweet was a story on a fraudulent company...

The shadow bans are real, folks. 

Doing my best to get the tweet up."
1247243141327073282,2020-04-06 19:21:52,"Lemme get this straight: dementia riddled Joe Biden’s wife Jill doesn’t know how many grandchildren she has orrr she excluded Hunter’s baby mama’s crack baby out of spite?

What a first family of the United States that would be!"
1247239578295115777,2020-04-06 19:07:42,"RT @realDailyWire: Whoopi Goldberg says Jill Biden should become the surgeon general: ""She's an amazing doctor.""

Jill Biden has a PhD in e…"
1247233112213504001,2020-04-06 18:42:01,RT @PeterNavarroUSA: Classic @JohnBerman and the fake news @CNN trying to use the media to create mass hysteria. CONSULT YOUR DOCTOR. CONSI…
1247189536708407296,2020-04-06 15:48:51,"@megdad @fitzco108 @familyunequal @realDonaldTrump Joe Biden should lead a dementia coalition. Fund the hell out of it. You never know, you could find the cure to dementia and save thousands of lives."
