id,created_at,text
1247328195193573379,2020-04-07 00:59:50,"Good call last week with Senator @PattyMurray, who is working with the @DeptofDefense to aid Washington state and the country.  #COVID19"
1247265836693368834,2020-04-06 20:52:03,Good call with @GovernorTomWolf on how the @DeptofDefense can help serve the people of #Pennsylvania. #COVID19 https://t.co/1R7STDqoe3
1247240726683009027,2020-04-06 19:12:16,"Great phone call today with @SenCoryGardner to discuss @DeptofDefense assistance to the state of #Colorado, federal support to the #ColoradoNationalGuard, and other important defense matters. https://t.co/IDhIHieqm8"
1247240389813317639,2020-04-06 19:10:56,"I appreciate Korean Defense Minister Jeong taking my phone call today to discuss the importance of equitable burden sharing across the alliance. It is critical that we get a fair, balanced, and comprehensive agreement signed quickly. #KatchiKapshida https://t.co/gXhlSqoWPE"
1247192496989503495,2020-04-06 16:00:37,"Since mid-January, the @DeptofDefense has worked to combat #COVID19 and issued Force Protection Guidance on 31JAN. 
Your military is ahead of the curve. #facts &gt; #rumors
https://t.co/bQ7seHXLMh
 
https://t.co/TwB2ejOeCv"
1247180122567868416,2020-04-06 15:11:27,Proud of @LANationalGuard for their swift work in constructing a new medical facility in #NOLA. #COVID19 https://t.co/KdXFniIt3P
1246469849590771712,2020-04-04 16:09:05,Modernizing our strategic nuclear forces is a top priority for the @DeptofDefense and the @POTUS to protect the American people and our allies. https://t.co/iZuyaolu39
1246184133518413824,2020-04-03 21:13:45,Your military is ahead of the demand curve for hospital beds and determined to stay ahead. Tireless work by the @USACEHQ reflected in this graphic. https://t.co/ZqOUboWJmh
1246070148970283010,2020-04-03 13:40:49,"Proud of the rapid deployment of the 531st Hospital from #FortCampbell, the 627th Hospital from #FortCarson and the 9th Hospital from #FortHood to bring battle-tested medicine to #NY and #WA. https://t.co/Ch9ioACOEn"
1246069104903159809,2020-04-03 13:36:40,"In #Maryland, converting the Baltimore Convention Center into a field hospital. @DeptofDefense @MDNG @StateMaryland @MDHealthDept
@HopkinsMedicine #wholeofnation https://t.co/g1OWQgboe6"
1245692297112621056,2020-04-02 12:39:22,"In #California, the @CalGuard has distributed 1.4 million meals in the last five days. @DeptofDefense #wholeofnation https://t.co/YIyq8wr5D9"
1245526531394482177,2020-04-02 01:40:40,"At the direction of the @POTUS, additional U.S. ships, aircraft, and security forces are underway to disrupt illegal drugs into #America. https://t.co/viJ5KTsoU3"
1245478372546883587,2020-04-01 22:29:18,"#COVID19 will not stop the @DeptofDefense from protecting the American people from illegal drugs. At the direction of the @POTUS, additional U.S. ships, aircraft, and security forces are underway to disrupt narcotics trafficking. https://t.co/BFTbxqcFGn"
1245441617110151168,2020-04-01 20:03:15,Allowing states to maintain control over their @USNationalGuard forces is the most effective way to manage recovery efforts. #facts &gt; #myths https://t.co/qSScLEz5Ce https://t.co/e5nHCFb6Ms
