id,created_at,text
1247241751699640321,2020-04-06 19:16:20,@aryeshalicar @SawsanChebli @usbotschaft @RegBerlin True.
1247140345202212866,2020-04-06 12:33:23,"RT @bopanc: #Austria will be the first European country to start exiting the #coronavirus lockdown already on 14.04, with a plan to fully r…"
1246880758209413120,2020-04-05 19:21:53,"RT @Alyssafarah: Love this verse, Jeremiah 6:8, which hangs in th entrance to the Pentagon: “whom shall I send &amp; who will go for us?”  “Her…"
1246840956831305728,2020-04-05 16:43:43,@johnatkinsonIL @realDonaldTrump @keithnegley why? Christ doesn’t ask we come perfect. He asks that we come. This is a basic tenet.
1246818174315704321,2020-04-05 15:13:12,Palm Sunday. The triumphant entrance of Christ. https://t.co/BA3mcYL0Cw
1246816818246942729,2020-04-05 15:07:48,"RT @MKarnitschnig: This episode tells you everything you need to know about German-US relations. 71 yrs after Berlin Airlift, Berlin mayor…"
1246785504500121600,2020-04-05 13:03:23,RT @lovestohootowls: @RichardGrenell God brought this meditation to me this am to think about and share. 1Peter 5:7-10 here in the Amplifie…
1246776327988019202,2020-04-05 12:26:55,"“And when He entered Jerusalem, the whole city was stirred up, saying, “Who is this?” And the crowds said, “This is the prophet Jesus, from Nazareth of Galilee.” Matthew 21:10,11

Hosanna!"
1246771135875895296,2020-04-05 12:06:17,RT @BenWeinthal: I am delighted that my story below is currently the most read article @Jerusalem_Post :Venezuelan navy ship fired shots at…
1246626030523166720,2020-04-05 02:29:41,RT @realDonaldTrump: Palm Sunday is the beginning of a Holy week for many people of Faith and a great day to lift our voices in Prayer. I w…
1246583461818904576,2020-04-04 23:40:32,Now the WashPost has corrected the story. cc: @jeffmason1 https://t.co/5dnkAMJnie
1246548860199153665,2020-04-04 21:23:02,cc: @jeffmason1 https://t.co/yH3GBI0KAv
1246548386817376257,2020-04-04 21:21:09,This accusation should be corrected by @jeffmason1. https://t.co/jwFkG8YHYG
1246518952550895617,2020-04-04 19:24:12,We are honored to have such an incredibly qualified expert. https://t.co/abHi7kgebs
1246500018963578880,2020-04-04 18:08:58,RT @Scavino45: 30 DAYS TO SLOW THE SPREAD https://t.co/kDhWLl7api
1246403440798040065,2020-04-04 11:45:11,RT @SecPompeo: The United States will not forget #DanielPearl. We continue to honor his legacy as a courageous journalist and demand justic…
1246266263044833285,2020-04-04 02:40:06,RT @CBS_Herridge: #FISA BREAKING: Fallout from IG Horowitz audit 3/31 as surveillance court orders FBI to provide “names” and “docket numbe…
