id,created_at,text
1247197261970505729,2020-04-06 16:19:33,"“This is a game-changer for us,” said @bittyandbeaus owner in NC. This #smallbiz received capital from their #locallender via #PaycheckProtectionProgram, which will allow their employees, who all have intellectual &amp; developmental disabilities, to continue receiving a paycheck. https://t.co/mnmaW3Rfdc"
1246560084760690688,2020-04-04 22:07:38,"In the last 24 hrs @SBAgov reactivated 30,000 licenses for community banks and credit unions of all sizes to get money to #smallbusinesses ASAP. SBA continues to work around the clock to help small businesses stay open during this unprecedented time. #SmallBusinessRelief #covid19"
1246524910106705921,2020-04-04 19:47:52,RT @WhiteHouse: Do your part: Fight the spread of Coronavirus by practicing good hygiene! https://t.co/VzDK2WJ9rT
1246511459930177536,2020-04-04 18:54:25,"Every American is being affected by #COVID19, but the impact of this pandemic is disproportionately impacting underrepresented communities, the sick and elderly, and the lower income. It's vitally important that orgs focused on delivering critical social services remain viable."
1246511047835598848,2020-04-04 18:52:47,"Faith-based organizations have always provided critical social services for people in need, and @SBAgov will make clear that these organizations may access #CARESact emergency capital."
1246510853727424521,2020-04-04 18:52:01,"Faith-based organizations are eligible to participate without restrictions based on their religious identity or activities, to the extent they meet #CARESact eligibility criteria. Additional guidance here: https://t.co/CZZoxmvuVW"
1246509381870653440,2020-04-04 18:46:10,Today @SBAgov issued guidance clarifying the eligibility of faith-based organizations impacted by #COVID19 to participate in the #PaycheckProtectionProgram and Economic Injury Disaster Loan program.
1246239714929188864,2020-04-04 00:54:36,"RT @WhiteHouse: .@SBAJovita: ""The President has put the nation’s 30 million small businesses front and center.”

The #PaycheckProtectionPro…"
1246228092714201090,2020-04-04 00:08:25,"To the small businesses trying to find a #PaycheckProtectionProgram lender — we are signing up lenders across the country as quickly as possible. Already, more than 1,100 lenders have supported small businesses by making loans, and every hour more join. https://t.co/TQk9Hg9MNY"
1246218482762514433,2020-04-03 23:30:14,"Latest #PaycheckProtectionProgram numbers: 17,503 loans valued at more than $5,400,000,000. 

@SBAgov + over 1,100 local lenders helping small businesses stay afloat with working capital to keep employees paid + doors open."
1246197518205100033,2020-04-03 22:06:56,"Latest #PaycheckProtectionProgram numbers: 13,669 loans valued at more than $4,300,000,000. @SBAgov @USTreasury &amp; local lenders are providing forgivable loans up to $10 million dollars to maintain payroll for small businesses. 

https://t.co/Gjt2iQTr6z"
1246188747370254336,2020-04-03 21:32:05,"Latest #PaycheckProtectionProgram numbers: 12,461 loans approved valued at more than $3,900,000,000. @SBAgov is on a mission to help small businesses keep employees on payroll in this fight vs. #COVID19."
1246173724564430851,2020-04-03 20:32:23,"UPDATE – At least 9,970 loans have been processed; $3,200,000,000+ originated. #CARESAct &amp; #PaycheckProtectionProgram offers small businesses forgivable loans for 8 weeks of payroll + operating expenses. All hands-on deck @SBAgov @USTreasury #CommunityBanks #LocalLenders"
