id,created_at,text
1247278286805381121,2020-04-06 21:41:31,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Noma8NXmag
1247271913572925445,2020-04-06 21:16:12,"RT @WhiteHouse: NEXT: The Coronavirus Task Force will hold a briefing.

Watch live: https://t.co/EmsdctGWtd https://t.co/QAoOHpWiyN"
1247249108143915009,2020-04-06 19:45:34,RT @fema: The whole-of-America response to #COVID19 continues as federal agencies work around the clock to keep communities safe. Here are…
1247249067635286016,2020-04-06 19:45:25,RT @fema: The fight against #COVID19 is a whole-of-America effort. Have a look at our Twitter Moment to see how we work with many partners…
1247248433813086209,2020-04-06 19:42:54,RT @SteveFDA: Joined @POTUS @realDonaldTrump @Mike_Pence and other Administration officials for continued discussions with PhRMA executives…
1247248386455207938,2020-04-06 19:42:42,RT @PressSec: President @realDonaldTrump just hosted a call w/ CEOs of pharmaceutical &amp; bio-tech companies to discuss developments in thera…
1247219503110463490,2020-04-06 17:47:56,"RT @HHSGov: NEWS: HHS has announced upcoming action by @CDCgov to provide $186,000,000 in funding for additional resources to state and loc…"
1247201603188293632,2020-04-06 16:36:48,"RT @IHSgov: #ICYMI: IHS is distributing $600 million in new resources to federal, tribal and urban Indian health programs to support critic…"
1247201470275092480,2020-04-06 16:36:17,We're calling on every American to be a part of the whole-of-country response to #COVID19 and to take these important steps to help #SlowTheSpread. We're all in this fight together. 🇺🇸 https://t.co/wX0fYkiBcv
1247200874126065664,2020-04-06 16:33:54,RT @Surgeon_General: A special message for the nation's #PublicHealth team this National Public Health Week: Thank you for all you are doin…
1247186851003338755,2020-04-06 15:38:11,"RT @tonykatz: I speak with @secazar about #coronavirus, the role of the federal government and future guidance at 11:40amET

Tune In! https…"
1247186623013498880,2020-04-06 15:37:17,"Six steps we can take to help protect our #mentalhealth as we fight #COVID19 together and work to #SlowTheSpread. 
https://t.co/r0SN43avPe #Coronavirus https://t.co/93PVsNZMH3"
1247181799987576836,2020-04-06 15:18:07,"RT @SeemaCMS: .@CMSGov continues to pull every lever to combat the #COVID19 pandemic. Recently, we addressed common questions on telehealth…"
1246947706762940417,2020-04-05 23:47:55,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/xAIUh2s1OS
1246947576735240193,2020-04-05 23:47:24,"RT @WhiteHouse: America has the best doctors, military leaders, and logistics professionals anywhere in the world—and we're orchestrating a…"
1246805184736645121,2020-04-05 14:21:35,"RT @Surgeon_General: Do your part to #SlowTheSpread: 
https://t.co/aTuXmBlSLe"
1246793154768052225,2020-04-05 13:33:47,Do your part: Fight the spread of Coronavirus by practicing good hygiene and social distancing. #SlowTheSpread https://t.co/WbY6Rm9Hhg
1246792836433031170,2020-04-05 13:32:31,"RT @samhsagov: Worry, confusion, frustration or fear can be normal when dealing with the #CorononavirusPandemic.

For immediate crisis coun…"
1246792801532162048,2020-04-05 13:32:22,"RT @CDCgov: Need #COVID19 information in a different language? Check out CDC’s COVID-19 web pages in Spanish, simplified Chinese, Vietnames…"
1246543363869941760,2020-04-04 21:01:12,RT @WhiteHouse: Do your part: Fight the spread of Coronavirus by practicing good hygiene! https://t.co/VzDK2WJ9rT
1246543240913920009,2020-04-04 21:00:42,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/1hZPOGtyl9
1246447628067495936,2020-04-04 14:40:47,".@POTUS's all-of-America approach to combating #COVID19 involves an aggressive approach to stopping hoarding. This week, we announced that we distributed hoarded PPE confiscated from price gougers to those on the frontline of this fight.

@TheJusticeDept https://t.co/BQFhWxoVH1"
1246445991924039682,2020-04-04 14:34:16,"We’re in this fight together. Throughout April, every American should take these steps to help slow the spread of #COVID19 and protect themselves, their loves ones, and their fellow Americans. 🇺🇸 https://t.co/PEMYwI1ydA"
1246445422253662209,2020-04-04 14:32:01,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1246445353425141760,2020-04-04 14:31:44,"RT @SteveFDA: Working together, we can #SlowTheSpread of #COVID19. Continue to follow the President’s Coronavirus Guidelines for America."
1246406974280998919,2020-04-04 11:59:14,"RT @Surgeon_General: Some #SaturdayMotivation for #mentalwellness as you do your part to #SlowTheSpread!

1️⃣ Eat some veges 🥦 
2️⃣ Exercis…"
1246244961273643009,2020-04-04 01:15:27,RT @HHSGov: The #COVID19 pandemic may be stressful for people. Set yourself up for #mentalwellness by establishing healthy habits as we all…
1246189177668014081,2020-04-03 21:33:47,".@POTUS just announced that Blue Cross and Blue Shield companies agreed to waive cost-sharing for #COVID19 treatment for their customers, helping ease the burden on American families. Another example of the all-of-America approach that @POTUS is leading. @BCBSAssociation"
1246187221130121218,2020-04-03 21:26:01,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl
1246184480156585985,2020-04-03 21:15:07,RT @WhiteHouse: The guidelines work—IF we follow them rigorously. https://t.co/Hi28RMdlRU
