id,created_at,text
1246862437413986307,2020-04-05 18:09:05,"Despite facing challenging times for themselves, their families and loved ones, @Interior employees continue to fulfill their duties to the American people. Thank you. https://t.co/n1hKXRCj7V"
1245808988144447491,2020-04-02 20:23:03,"RT @WhiteHouse: These next 30 days are critical. 

A message from @Surgeon_General: https://t.co/fFWYdNqVnH"
1245470101819850757,2020-04-01 21:56:26,"We are taking action to improve strategies to combat wildfires across 223 million acres in the Great Basin -- implementing more effective wildfire treatments will better protect Americans, their property and their lands. https://t.co/7BksTQymKs https://t.co/q4pUcgioyd"
1245373369924673538,2020-04-01 15:32:03,"RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD
#COVIDー19 https://t.co/p9j7kZsD7b https://t.co/RSUHRfT8If"
1245065404898295808,2020-03-31 19:08:19,$227M sent to States/Territories from the LWCF – $57M more than last year! This is significant in expanding outdoor recreation opportunities for the American people and investing in conservation projects across the country. https://t.co/REjBESKksy
1244728900535627792,2020-03-30 20:51:10,To all of our nation’s doctors and public officials across the country who are on the front lines battling our invisible enemy. Thank you! #NationalDoctorsDay https://t.co/CCOt1Q77u0
1244644723664576515,2020-03-30 15:16:41,"RT @WhiteHouse: From the very beginning, President @realDonaldTrump took swift, decisive action on Coronavirus—and won't stop until we defe…"
1243647778259165185,2020-03-27 21:15:10,"...furthering our efforts to deploy law enforcement &amp; emergency personnel to critical areas, aid tribal governments, extend @BureauIndianEdu teacher &amp; workforce salary needs &amp; send additional medical supplies and equipment to the Territories &amp; Freely Associated States."
1243647777210601473,2020-03-27 21:15:10,"... to provide economic relief to small businesses and to support Americans’ health care needs. This law will provide unprecedented, additional financial support to @Interior’s operations..."
1243647776183005185,2020-03-27 21:15:10,"Since day one, President @RealDonaldTrump has taken bold, decisive actions to combat the spread of #COVID19, and his leadership in securing the passage of the #CARESAct is another example of how he is affirmatively leading our nation’s response efforts... https://t.co/7Ox9DqwwrY"
1243565439696986115,2020-03-27 15:47:59,".@POTUS @RealDonaldTrump recently signed H.R. 1365, which authorizes @USTreasury to issue payments to survivors of Guam’s occupation by Imperial Japanese Forces during #WWII. This action will close a dark chapter for the people of Guam. https://t.co/qkMHPOlkYH https://t.co/6mNuBC4p0p"
1242544168049803267,2020-03-24 20:09:49,.@Interior continues to work to deliver a reliable water supply for farms in the West. This #NationalAgDay we are incredibly thankful for the entire food supply chain and everyone who is working around the clock to feed our nation. https://t.co/tIlZLb9XDD
1241775478664462338,2020-03-22 17:15:19,"Across the @Interior thousands of our heroic employees continue to perform critical missions, such as fighting fires, providing law enforcement, delivering public health services, inspecting oil platforms, and maintaining our public lands. Thank you for continuing your hard work!"
1241044907340582912,2020-03-20 16:52:18,God bless America’s heroes! 🇺🇸 https://t.co/wpQB2NmgIA
1241043637926006784,2020-03-20 16:47:15,"RT @SecretarySonny: To the heroes in the U.S. food supply chain, we salute you. https://t.co/3wIUuNtUpb"
1240766790042636288,2020-03-19 22:27:09,"RT @realDonaldTrump: THANK YOU to our Police Officers, Fire Fighters, and EMS who help us defeat the Virus every day. Our proud nation is g…"
1240671479152418823,2020-03-19 16:08:25,"Our conservation model is funded and supported by America’s hunters, shooters, anglers, boaters &amp; other outdoor enthusiasts. These stewards of conservation generated nearly $1B last yr alone and make our country's conservation legacy the envy of the world. https://t.co/7qmjnOy0sX https://t.co/FbjvYT0cqT"
1240403852760883202,2020-03-18 22:24:58,This small step makes it a little easier for the American public to enjoy the outdoors in our incredible National Parks. #socialdistancing https://t.co/gDnKAIeYcX
1240403850798006276,2020-03-18 22:24:58,"Our vast public lands that are overseen by @Interior offer special outdoor experiences to recreate, embrace nature and implement some social distancing. I’ve directed the @NatlParkService to waive entrance fees at parks that remain open. https://t.co/gDnKAIeYcX https://t.co/lZ3h3M7odM"
1239984804873023490,2020-03-17 18:39:49,RT @Mike_Pence: We’re asking every American to partner with us in the effort to combat the Coronavirus and be mindful of our vulnerable sen…
1239976822370004993,2020-03-17 18:08:06,"The health &amp; safety of visitors, employees, volunteers &amp; partners is the priority of @NatlParkService. Park superintendents are empowered to modify their operations, including closing facilities and cancelling programs, to address the spread of COVID-19.
https://t.co/EP3X8kKNCu"
1239935134566174720,2020-03-17 15:22:27,RT @WhiteHouse: 🚨Watch today's Coronavirus Task Force briefing LIVE at 11:30 a.m. ET: https://t.co/EmsdctGWtd https://t.co/N32nNx6Kmf
1239701513599176704,2020-03-16 23:54:08,RT @realDonaldTrump: https://t.co/ZLmk41FA3H
1239701494498234368,2020-03-16 23:54:03,RT @realDonaldTrump: https://t.co/tit0HdkE4e
1239633084171067392,2020-03-16 19:22:13,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/K6VD9IPfOd
1238580660010397696,2020-03-13 21:40:15,"Since we became aware of the coronavirus outbreak in China, @realDonaldTrump has taken decisive - even unprecedented- actions to protect the American people. He is leading an “all-of-America” approach to address this national emergency and bring it to an end. https://t.co/KTlQLDrMXK"
1238478130526007297,2020-03-13 14:52:50,"RT @realDonaldTrump: KEEPING THE WORKPLACE SAFE, ENCOURAGE YOUR EMPLOYEES TO.... https://t.co/Fgt0HTv2KU"
1238478101539098624,2020-03-13 14:52:43,"RT @realDonaldTrump: KEEPING COMMERCIAL ESTABLISHMENTS SAFE, ENCOURAGE YOUR EMPLOYEES AND CUSTOMERS TO.... https://t.co/Fxx6DlHmPf"
1238478082157273088,2020-03-13 14:52:39,"RT @realDonaldTrump: KEEPING THE HOME SAFE, ENCOURAGE YOUR FAMILY MEMBERS TO.... https://t.co/2hUQuUvGQb"
1238129421384630272,2020-03-12 15:47:12,I am proud that the @Interior and its bureaus have worked exhaustively this past year to meet our goals for implementing this historic public lands law for the American people. https://t.co/BG0Pw3UkDd
1238129418683527169,2020-03-12 15:47:11,"When President @RealDonaldTrump signed the Dingell Act into law, he furthered his indelible legacy of balancing natural resources conservation and responsibly expanding recreation opportunities on our public lands. https://t.co/BG0Pw3UkDd https://t.co/xQHAfrzTR3"
1238104636877352960,2020-03-12 14:08:42,"President @realDonaldTrump has once again taken strong decisive action. He is putting the American people first!  Working together, our great nation will always overcome any challenge we face. https://t.co/4QLK0CDn1a"
1238065875443474433,2020-03-12 11:34:41,"@WhiteHouse The President has once again taken strong decisive action. He is putting the American people first!  Working together, our great nation will always overcome any challenge we face."
1237843189605654532,2020-03-11 20:49:49,"In @Interior’s history, President @realDonaldTrump is the first @POTUS to seek full and permanent funding for the Land and Water Conservation Fund and restoring our @NatlParkService. https://t.co/YSljFGbWZ8"
