id,created_at,text
1247243121668304902,2020-04-06 19:21:47,"At the direction of President @realDonaldTrump, @ENERGY is helping American oil producers by opening up storage in the Strategic Petroleum Reserve and finding additional storage capacity all throughout the country. https://t.co/Qc5iQxzrnQ"
1247235199819276289,2020-04-06 18:50:18,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1247180438063415304,2020-04-06 15:12:42,"Thank you @MariaBartiromo for having me on this morning to discuss the state of global oil markets, and steps being taken by the @realDonaldTrump Administration to address this unprecedented disruption. https://t.co/2jzjSg7htl"
1247180205443239936,2020-04-06 15:11:47,RT @MariaBartiromo: Energy secretary: It's a 'great time' to fill Strategic Petroleum Reserve https://t.co/BfMsNSbDCD  @MorningsMaria  @Fox…
1246921148090048513,2020-04-05 22:02:23,"RT @MariaBartiromo: Big show tomorrow @MorningsMaria @FoxBusiness 6-9am et @dagenmcdowell @spomboy
@Mitch_Roschelle
@BrandywineGIM
@DrJenCa…"
1246617974506770432,2020-04-05 01:57:40,RT @JudgeJeanine: .@SecBrouillette is with me tonight to discuss the Coronavirus’ impact on the global oil markets. You don't wanna' miss t…
1246184021295534080,2020-04-03 21:13:18,"Thanks to the strong leadership of President @realDonaldTrump, @ENERGY is working hard to keep our energy security and economy healthy, resilient, and strong."
1246183862868344839,2020-04-03 21:12:40,We are working closely with Governors and our public and private partners to ensure our critical energy infrastructure is fully operational and there are no supply disruptions.
1246183654688161792,2020-04-03 21:11:50,"At the direction of @POTUS, @ENERGY has made space available in the Strategic Petroleum Reserve for domestically produced crude oil to help alleviate market pressure."
1246183493350105099,2020-04-03 21:11:12,"Today, alongside @SecBernhardt, we spoke with President @realDonaldTrump and members of our energy sector to discuss how the Administration is supporting American oil producers during this period of instability brought on by #COVID19."
1246183067217207302,2020-04-03 21:09:30,"RT @JudgeJeanine: Be sure to tune in tomorrow at 9pm ET! @GOPLeader,  @Franklin_Graham , Admiral Brett Giroir, Secretary Dan Brouillette wi…"
1246169784942813187,2020-04-03 20:16:44,RT @WhiteHouse: President @realDonaldTrump just met with leaders from the energy industry to discuss the impact of the Coronavirus. https:/…
1246168242638520320,2020-04-03 20:10:36,We’re working with the American energy industry to maintain our energy leadership and security as we work through this pandemic. https://t.co/cMFp4D62A5
1246157619615739904,2020-04-03 19:28:23,"At the direction of President @realDonaldTrump, we are opening up access to storage space in the Strategic Petroleum Reserve for American oil producers to support the industry and its workforce during this period of market instability. https://t.co/rVFJPGy5Ts"
1246148326686408709,2020-04-03 18:51:28,RT @IEABirol: Just finished great discussion with US Energy Secretary @SecBrouillette on the need for all key stakeholders to take steps to…
1245781920778268672,2020-04-02 18:35:30,"RT @EnergyPress: .@ENERGY to Make Strategic Petroleum Reserve Storage Capacity Available to Struggling U.S. Oil Producers 

Read More ➡️ ht…"
1245781608281575424,2020-04-02 18:34:15,".@ENERGY continues to work with Congress on funding for oil purchases, but making some storage capacity available provides immediate relief to the industry. We need to work together to support the men and women in our energy sector during this time, and keep our economy strong."
1245780886429335554,2020-04-02 18:31:23,"This storage will support America’s producers and refiners until global demand returns. It will help U.S. companies maintain production and save jobs, and is indicative of America’s resolve to come back stronger."
1245780614160285699,2020-04-02 18:30:18,"Thanks to the strong leadership of President @realDonaldTrump, @ENERGY, starting today, is immediately making the Strategic Petroleum Reserve storage capacity available to American oil producers."
1245121965213523969,2020-03-31 22:53:04,"Thank you President @realDonaldTrump and @VP for your continued strong leadership in America’s fight against #COVID19. Thanks to your bold leadership, America is getting the necessary tools to continue fighting the #coronavirus. https://t.co/K090M52eFT"
1245078558243987458,2020-03-31 20:00:35,"RT @BerkeleyLab: ❗#SocialDistancing Tips ❗
👉🏽 Limit close contact with others as much as possible (about 6 feet)
👉🏽 Keep away from others w…"
1244777257652101123,2020-03-31 00:03:19,"RT @ENERGY: Last week, the @WhiteHouse announced the COVID-19 High Performance Computing Consortium, a public-private effort led by @WHOSTP…"
1244737166103777288,2020-03-30 21:24:01,"RT @WhiteHouse: ""This National Doctors Day, we express our immense gratitude to the men and women who are caring for and treating patients…"
1244629497548324870,2020-03-30 14:16:10,"RT @WhiteHouse: From the very beginning, President @realDonaldTrump took swift, decisive action on Coronavirus—and won't stop until we defe…"
1243694612142854146,2020-03-28 00:21:16,"RT @Mike_Pence: Today, President @realDonaldTrump signed into the law the #CARESAct which will help small businesses stay open, help worker…"
1243647915295416320,2020-03-27 21:15:43,"RT @realDonaldTrump: We are marshalling the full power of government and society to achieve victory over the virus. Together, we will endur…"
1243642255648256001,2020-03-27 20:53:14,"RT @ENERGY: BREAKING: DEPARTMENT OF ENERGY APPLAUDS PASSAGE OF THE CARES ACT

“President Trump and our leaders in Congress have worked dili…"
1243642115604852739,2020-03-27 20:52:40,RT @EnergyPress: .@ENERGY Applauds Passage of The #CARESAct https://t.co/dLeXSnwlMC
1243641413264445446,2020-03-27 20:49:53,"I applaud the Administration and Congress for passing this legislation, and look forward to continue working together to provide relief for Americans, including our energy industry and its hard-working employees, as we fight to overcome the #coronavirus pandemic."
1243639921467961345,2020-03-27 20:43:57,The #CARESAct provides substantial funding for scientific research and development at @ENERGY’s #NationalLabs to combat #COVID19 and ease the financial burden to America’s small businesses and workforce.
1243639670073942016,2020-03-27 20:42:57,"President @realDonaldTrump and our leaders in Congress have worked diligently to provide much-needed, swift economic relief to the American people by passing the #CARESAct."
1243638000896159745,2020-03-27 20:36:19,"RT @realDonaldTrump: I just signed the CARES Act, the single biggest economic relief package in American History – twice as large as any re…"
1243330050134507520,2020-03-27 00:12:38,RT @realDonaldTrump: Our great Oil &amp; Gas industry is under under seige after having one of the best years in recorded history. It will get…
1243296759297818624,2020-03-26 22:00:21,RT @rocionahle: La relación bilateral entre el ⁦@GobiernoMX y el gobierno de USA ⁦en materia de energía es de cooperación y respeto. Hoy di…
1243239038913576962,2020-03-26 18:10:59,"RT @ENERGY: #ICYMI: To fight #COVID19, scientists using the @AdvancedPhoton Source at @Argonne have created a 3D map of a protein from the…"
1242607096157396992,2020-03-25 00:19:52,RT @SecPompeo: Happy to announce another $5 million in @StateDept funding for the @iaeaorg to help member states combat the #coronavirus. W…
1242182049596870656,2020-03-23 20:10:53,RT @HouseCommerce: @ENERGY @SecBrouillette The US National Labs do incredible work and this public-private partnership will help unleash th…
1242157695962173447,2020-03-23 18:34:07,"Working together with IBM, Amazon and Google, along with our @ENERGY supercomputers, we are making our technology available to researchers all across the country working to end #coronavirus. https://t.co/cBuAUwXuzF"
1242145281044594689,2020-03-23 17:44:47,We’re making @ENERGY’s supercomputing resources available to the Coronavirus Task Force and scientists across the country to help provide a solution to the #COVID19 pandemic. https://t.co/BARmEQzZmq
1242110500714024962,2020-03-23 15:26:35,Joined @kevcirilli on @BloombergTV this morning to discuss President @realDonaldTrump’s directive to buy American oil for the SPR and how @ENERGY innovators are utilizing our #NationalLabs and technology to combat #COVID19 with the help of our supercomputers. https://t.co/iKrv1EjBxv
1242104820430966787,2020-03-23 15:04:01,"RT @EnergyPress: President @realDonaldTrump Announces New Effort to Unleash U.S. Supercomputing Resources to Fight COVID-19 

Read More: ht…"
1241881033194209280,2020-03-23 00:14:46,".@ENERGY is proud to partner with @WHOSTP, @IBM and other agency leaders to help launch the #COVID19 High Performance Computing Consortium."
1241880906450731009,2020-03-23 00:14:15,"Starting this week, researchers from academia, government and the private sector will be able to submit proposals here to have access to at least 16 supercomputers to combat #COVID19."
1241879223998074880,2020-03-23 00:07:34,"Under the @realDonaldTrump Administration, the U.S. has regained its position as the dominant global force in supercomputing technology. @ENERGY is home to the world’s fastest and most powerful supercomputers, and we are excited to partner with other leaders to combat #COVID19. https://t.co/AWbnClLRVZ"
1241873379818442757,2020-03-22 23:44:21,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/bPsEAcwjwb
1241858668204888065,2020-03-22 22:45:53,"RT @USCTO: Today, President @realDonaldTrump announced a new partnership with major U.S. tech companies and universities to unleash the wor…"
