id,created_at,text
1247222636536631296,2020-04-06 18:00:23,"To position the economy for a quick rebound after containing coronavirus, we must maintain the relationship between employers and workers. @SBAJovita and I have an op-ed about this and more: https://t.co/GlYy62gDJ2"
1247206014635716608,2020-04-06 16:54:20,The $600 weekly unemployment compensation boost in the #CARESAct will provide valuable support to American workers and their families during this challenging time. @USDOL published guidance to help States administer this key benefit. https://t.co/k61nb6PFrQ
1246153868037230596,2020-04-03 19:13:29,Read my statement on the March jobs report released today: https://t.co/220GvFqrBN
1245428135774113797,2020-04-01 19:09:41,The #FFCRA and its unprecedented paid leave provisions reflect @POTUS’s commitment to supporting American workers and their families. @USDOL has now issued a rule that will help businesses comply with the new requirements. https://t.co/AF9LeueaTy
1243682810210254848,2020-03-27 23:34:23,".@POTUS just signed the Coronavirus Aid, Relief, and Economic Security Act to support America’s workers, families, and businesses as we all work together to defeat the coronavirus. #CARESAct"
1243221262106755075,2020-03-26 17:00:21,Read my statement on today’s unemployment insurance claim numbers: https://t.co/2gdox5hDPh
1243214300413603841,2020-03-26 16:32:41,RT @IvankaTrump: Check @USDOL’s guidance on how your paid family and medical leave + paid sick leave works under the #FamiliesFirst Coronav…
1242178722595328002,2020-03-23 19:57:40,I’ll be joining the @GuyPBenson radio show at 4 p.m. ET to discuss how @POTUS’s Administration is supporting workers and employers affected by the coronavirus.
1242172333751664640,2020-03-23 19:32:17,I’ll be joining the @VickiMcKenna Show in Wisconsin at 2:33 p.m. CT to discuss @USDOL initiatives to support workers and strengthen our economy at this critical time.
1242108523435233280,2020-03-23 15:18:43,Tune in to @FoxBusiness at 11:30 a.m. ET. I’ll be on @Varneyco to discuss how @POTUS and @USDOL are combating coronavirus and sustaining workers during this difficult time. https://t.co/4Q0vX9adie
1241421822081536000,2020-03-21 17:50:01,"RT @SecretarySonny: To the heroes in the U.S. food supply chain, we salute you. https://t.co/3wIUuNtUpb"
1240774754254163974,2020-03-19 22:58:48,".@POTUS signed the bipartisan Families First Coronavirus Response Act last night to support Americans affected by COVID-19. The bill includes paid family and sick leave for employees of small businesses, and dollar for dollar reimbursement for the businesses providing the leave."
1240422623978323971,2020-03-18 23:39:34,"“If all of us can take these important steps requested by the president over the next two weeks, then we can be confident that we will get through this, and we will see a better, healthier future for America.”

Read @VP’s op-ed on fighting the coronavirus:
https://t.co/cWr60Na95G"
1240413618610601986,2020-03-18 23:03:47,RT @USDOL: .@USDOL announced the availability of up to $100 million in National Health Emergency Dislocated Worker Grants in response to CO…
1240050715810246656,2020-03-17 23:01:44,"Job openings increased to 7 million at the end of January, according to data released today by @BLS_gov. The fight against coronavirus begins from a place of great economic strength. We will return to that place. https://t.co/Vh6lDnzKxR"
1239967121469100040,2020-03-17 17:29:33,"Every American can help slow the spread of coronavirus by following the President’s Coronavirus Guidelines for America.

Do your part to slow the spread.

https://t.co/sOQU49yAKA @POTUS @CDCgov https://t.co/5dZf3AKCA5"
1239692808145027075,2020-03-16 23:19:32,"Good news from Canada. Their recent ratification of #USMCA will bolster job creation and GDP, adding a much-needed boost to our economy."
1238782148515180544,2020-03-14 11:00:54,"This was an important week @USDOL, as we announced a flexible, innovative way to quickly expand apprenticeship in telecommunications, health care, cybersecurity, and other sectors where apprenticeships are not widely available ➡️ https://t.co/LNIRYTqT14 #IRAPs"
1238574168473509888,2020-03-13 21:14:28,".@POTUS’s national emergency declaration gives federal, state and local government valuable flexibility and the resources to swiftly respond to coronavirus. Find the latest from @USDOL: https://t.co/4Q0vX9adie"
1238185523237265408,2020-03-12 19:30:07,Today @USDOL announced guidance outlining flexibility states have in administering unemployment insurance to affected Americans. @POTUS’s Administration is working to decrease the risk of coronavirus and assist affected employees. https://t.co/L12CPH5AoX
1238179836566417409,2020-03-12 19:07:31,"An excellent address to the American people by @POTUS last night—accompanied by strong action to address #coronavirus. The safety, security, and health of the American people are the President’s top priority. @USDOL will continue fighting to keep workers safe and healthy."
1237738527942639616,2020-03-11 13:53:55,RT @BetsyDeVosED: Tremendous work by @SecGeneScalia and @DOL to expand industry recognized apprenticeships! These important earn-and-learn…
1237477836245676032,2020-03-10 20:38:02,Read OSHA’s new guidance on steps employers and workers can take now to be prepared in the event of coronavirus in the workplace. https://t.co/VnwBDgN0PN
1237370070562672640,2020-03-10 13:29:48,.@USDOL’s new Industry-Recognized Apprenticeship program rule fulfills the recommendations of @POTUS’s Task Force on Apprenticeship Expansion ➡️ https://t.co/LNIRYTqT14 #IRAPs
1237364726704885760,2020-03-10 13:08:34,".@USDOL’s new rule offers employers, community colleges, and others a flexible, innovative way to quickly expand apprenticeship in telecommunications, health care, cybersecurity, and other sectors where apprenticeships are not widely available. https://t.co/LNIRYTqT14 #IRAPs"
1236019448710131712,2020-03-06 20:02:55,RT @WhiteHouseCEA: The unemployment rate has been at or below 4% for TWO YEARS 🎉 #JobsDay
