id,created_at,text
1247259429495586818,2020-04-06 20:26:35,"These milestones are not just numbers. They are the feet of thousands of U.S. citizens making their way back to their homes and families on American soil. Around the world, the @StateDept is responding to #COVID19 with all our resources and personnel to bring #AmericansHome. https://t.co/ggbiXVXSfn"
1247233338496159750,2020-04-06 18:42:55,"Good to speak with @ZelenskyyUa today. I thanked him for #Ukraine's assistance getting #AmericansHome, including more than 200 @PeaceCorps volunteers. Together we continue to focus on reform and holding Russia accountable for humanitarian conditions in the Donbas."
1247197427175653378,2020-04-06 16:20:13,"Spoke today with #Canada's Foreign Minister @FP_Champagne about our ongoing efforts to contain and mitigate #COVID19, the importance of viable international supply chains for crucial medical supplies, and cooperation on repatriation of citizens."
1247162129385500674,2020-04-06 13:59:57,U.S. companies are stepping up to help people in the most dire of circumstances as the world comes together to fight the #COVID19 pandemic. Proud to see it. It's the American way. https://t.co/JkEQPgd7Ia
1247144705240023040,2020-04-06 12:50:43,I continue to be amazed by the great work #ExchangeAlumni are doing around the world in response to #COVID19. The dedication of these young leaders to sharing innovative ideas and solutions during this pandemic inspires us all. https://t.co/aRK8kvNInU
1247122294532644865,2020-04-06 11:21:40,"RT @US2EU: Together, the U.S. and EU have the capacity to #StoptheSpread of the coronavirus. The U.S. is currently working closely with our…"
1246909604191182849,2020-04-05 21:16:30,More #AmericansHome. Our strong bilateral relationships are more essential than ever before as we all work together to bring our citizens back to their families. https://t.co/7Tf6Qs5Tr4
1246906864132141056,2020-04-05 21:05:37,"In the midst of the global struggle against the #COVID19, it is encouraging to hear the fight against Ebola in the Democratic Republic of the Congo is trending towards its end. We will all get through this together. https://t.co/UKtpRl2OYm"
1246896385477300231,2020-04-05 20:23:59,"Having access to #COVID19 data is going to make a difference in ending this pandemic. Great work being done by @USAIDAsia, @ifrc, and @ThaiRedCross to #StoptheSpread in Thailand. https://t.co/EfZIoEkZKi"
1246892547571699713,2020-04-05 20:08:44,The United States will continue to support our #FriendsPartnersAllies in need. https://t.co/uGUc9CadK2
1246819539456856068,2020-04-05 15:18:37,"Thank you, members of Congress, for your leadership and dedication to ensuring our colleagues across the world have the necessary resources to repatriate American citizens. Together we will bring #AmericansHome."
1246575181398708226,2020-04-04 23:07:38,"Great work, @usembmongolia and @USAmbMongolia, for helping to bring these #AmericansHome to the United States. U.S. citizens seeking to return to the U.S., please register in STEP today: https://t.co/nA68O0h30g https://t.co/NUPOTWGKNY"
1246559576360656898,2020-04-04 22:05:37,#FriendsPartnersAllies. We'll continue to stand together as we work to end the spread of #COVID19. https://t.co/Rx0KGYjMN2
1246522141073440771,2020-04-04 19:36:52,This is what it’s all about – uniting families. Glad @USAmbNepal and the team @USEmbassyNepal were able to help get loved ones home @DanRather. #AmericansHome https://t.co/vw9HXPVbo3
1246490225704042496,2020-04-04 17:30:03,What an amazing symbol of solidarity and cooperation. https://t.co/9DWR9wfSVD
1246474580665008128,2020-04-04 16:27:53,"Thank you, @usembassyguate, for bringing 3,400 #AmericansHome from Guatemala. Truly outstanding. https://t.co/DUYSwm8IEt"
1246459004081057792,2020-04-04 15:25:59,I'm so proud of our dedicated @StateDept team. We're working around the clock to bring #AmericansHome from all corners of the world. https://t.co/Z0eEvye70Q
1246431023510028291,2020-04-04 13:34:48,Unique partnerships are forming all around the world in the fight against the #coronavirus. Proud of the @USEmbassyKL team for lending its 3D printers to students to produce face shields for health workers in Malaysia. Way to use tech to help health workers on the frontlines. https://t.co/vH3IbCAsgm
1246191083803021313,2020-04-03 21:41:22,"Fantastic job, @USEmbassyHaiti. Thank you to the Haitian government and the airlines for working with us to get so many #AmericansHome. https://t.co/pivI8wRJa2"
