id,created_at,text
1246444788049739776,2020-04-04 14:29:29,"VA News Release: #VA Extends Financial, Benefits and Claims Relief to #Veterans
https://t.co/iTXmGWTIkO
 #COVID19"
1246066799088553989,2020-04-03 13:27:30,VA helping New Jersey with its COVID-19 response efforts https://t.co/kO6Dwwc2w2
1245731692125523971,2020-04-02 15:15:54,".@DeptVetAffairs, @US_FDA, @NIH Partner to Accelerate 3D-Printed Protective Gear for COVID-19 Response https://t.co/F4P9cqnbIm"
1245730918389682177,2020-04-02 15:12:50,"@DeptVetAffairs, @US_FDA, @NIH Partner to Accelerate 3D-Printed Protective Gear for COVID-19 Response https://t.co/9o8Vq8T4JA"
1245327632557899778,2020-04-01 12:30:19,VA expands virtual services to support Veterans during COVID-19 pandemic: https://t.co/3Dyw2nvJVd
1244965262300000256,2020-03-31 12:30:23,VA deploys Mobile Vet Center units to increase outreach during COVID-19 outbreak: https://t.co/67uF8gD1iS
1244607585019404289,2020-03-30 12:49:06,VA is assisting New York City with its COVID-19 response while continuing the department’s primary mission of caring for our Nation’s Veterans: https://t.co/xHKVYifTU1
1243145691779792896,2020-03-26 12:00:04,We are in the middle of 15 Days To Slow The Spread. Follow these guidelines to protect yourself and your loved ones. https://t.co/ikvRyQEiol
1242783326471172099,2020-03-25 12:00:09,"Thanks to @USOPM, @DeptVetAffairs is inviting retired medical personnel back to work to help us deal with the COVID-19 pandemic. Please help us spread the word https://t.co/d0XCPo0gnP"
1242454744641294341,2020-03-24 14:14:29,Read my @MilitaryTimes op-ed about how @DeptVetAffairs is responding to the coronavirus outbreak https://t.co/zjLGKf1ePA
1241514988545638401,2020-03-22 00:00:14,RT @DeptVetAffairs: .@POTUS signed legislation today that will maintain educational benefits for Veterans and their families impacted by th…
1240624994226450442,2020-03-19 13:03:42,I joined @marthamaccallum last night to discuss how VA is protecting Veterans and fighting the Coronavirus https://t.co/QoiXo1QlV2
1240265760678785024,2020-03-18 13:16:15,I spoke with @ABC about VA’s efforts to care for Veterans and stop the spread of COVID-19 https://t.co/4TLqd5txxh
1239956961019469826,2020-03-17 16:49:11,We all must do our part to slow the spread of the Coronavirus. Learn how by reading @POTUS’s Coronavirus Guidelines for America https://t.co/QNBdbhxTrp
1239635837840752640,2020-03-16 19:33:09,"For the latest VA updates on coronavirus and commonsense tips on how to protect yourself, visit https://t.co/IAeuyWdEOg"
1238593538885144578,2020-03-13 22:31:26,"President Trump’s national emergency declaration is a decisive move that will help America contain the spread of the COVID-19 virus. It opens up billions of dollars in funding, and smartly leverages the power of private companies to quickly reach citizens."
1238118743160393729,2020-03-12 15:04:46,"While the risk to average Americans remains low, last night, @POTUS outlined the unprecedented steps our government is taking to protect Americans from the Coronavirus. It’s an aggressive approach that will help defeat the virus. https://t.co/lEp2tVP0eU"
1237402110683164674,2020-03-10 15:37:07,"It was an honor to join the American Legion at its 60th Annual Washington Conference today.  I told members we are blessed to gather in the strongest, most prosperous nation on Earth because they answered the call to defend freedom and democracy. Congratulations @AmericanLegion https://t.co/DkWbXKKcpi"
