id,created_at,text
1247306335433170944,2020-04-06 23:32:58,Glad to hear you’re feeling better! Thank you for applying for @RedCross plasma donation &amp; helping combat this invisible enemy. https://t.co/IU5K6WJ8eM
1247205220276490242,2020-04-06 16:51:11,"RT @SBAJovita: Faith-based organizations are eligible to participate without restrictions based on their religious identity or activities,…"
1247204506539974658,2020-04-06 16:48:20,"RT @SBAJovita: Faith-based organizations have always provided critical social services for people in need, and @SBAgov will make clear that…"
1246579555676164101,2020-04-04 23:25:01,RT @FHFA: Director Mark Calabria talked w/ @EricShawnTV about helping homeowners and renters impacted by COVID-19 on @FoxNews. Urges those…
1246097038082801664,2020-04-03 15:27:39,RT @CFPB: Here’s how mortgage forbearance works under the CARES Act: https://t.co/0YV38mFS7l
1245786494847143938,2020-04-02 18:53:40,"Nearly $64 million of @HUDgov #CARESAct funding will help Americans with compromised immune systems by increasing the level of safe, stable housing for persons living with HIV/AIDS and their household members by providing short-term lodging assistance to address isolation needs."
1245786493991387138,2020-04-02 18:53:40,"$1 billion of @HUDgov #CARESAct funding will keep America’s homeless citizens safe by building more emergency shelters, providing hotel/motel vouchers for homeless families, and provide essential service to people experiencing homelessness including education and childcare."
1245786493098082315,2020-04-02 18:53:40,"$2 billion of @HUDgov #CARESAct funding will help states, communities and non-profits to construct medical facilities for testing and treatment, expand the capacity of hospitals, and support businesses manufacturing medical supplies."
1245786492083015686,2020-04-02 18:53:39,"Less than a week after @realDonaldTrump signed the #CARESAct coronavirus relief bill, I’m pleased @HUDgov is today announcing the allocations of more than $3 billion to help America’s low-income families and most vulnerable citizens. Read the release here: https://t.co/pHUx3BTzDM"
1245744614717431808,2020-04-02 16:07:15,"RT @HUDgov: To assist local communities in their response to #COVID19, we’re providing guidance to local homeless service providers on how…"
1245744601547386885,2020-04-02 16:07:12,"RT @HUDgov: During this unprecedented time, we’re providing waivers to certain requirements for Community Planning &amp; Development programs t…"
1245721638576013314,2020-04-02 14:35:57,Read more to learn about the steps we’re taking to assist @FHAgov insured single-family borrowers during this unprecedented time in our country. https://t.co/9df14xMLru
1245721637439385602,2020-04-02 14:35:57,"If you have an @FHAgov insured single-family home mortgage, here are some key steps to take if you’re facing financial hardships because of the #coronavirus. https://t.co/ZnnNSNOkf4"
1245391950154530816,2020-04-01 16:45:53,"RT @WhiteHouse: ""America’s households are playing a vital role in our fight against the coronavirus,"" @SecretaryCarson writes. 

@HUDgov st…"
1245115090183041026,2020-03-31 22:25:45,"Great talking to you too, @SenRickScott. I look forward to continued communication to ensure we are doing all we can to help Floridians and keep families safe. We are all #InItTogether. https://t.co/bYoDu6s4PE"
