id,created_at,text
1247248483024809985,2020-04-06 19:43:05,Newspapers across the country are helping spread the word to Americans on the importance of responding to the Census by publishing my note to their editors. Thank you to these publications for taking this action. Respond today at https://t.co/yVXNdtVvQe. https://t.co/fLrBmCn4xg
1247241902010904582,2020-04-06 19:16:56,"President Trump champions the farmers and food manufacturers who drive our country’s agricultural economy. In addition to providing current food and forestry tenants with production and storage space, the project will enable businesses to capitalize on food tourism opportunities. https://t.co/qBVpF4CWWG"
1246189694586703873,2020-04-03 21:35:50,"The Trump Administration is committed to not only retaining jobs in this country, but also to building resistance to natural disasters. This investment in #NorthCarolina will support the construction of new gravity storm drains to allow reliable access to the local biz community. https://t.co/gcBC3ofg05"
1246103640504438784,2020-04-03 15:53:54,"RT @CommerceGov: On this day in 1996, former Secretary of Commerce Ron Brown and 11 Commerce employees were killed in a plane crash near Du…"
1246101131052208128,2020-04-03 15:43:55,"The census happens just once every 10 years &amp; your response affects the allocation of congressional seats &amp; federal funds to your community — for resources such as schools, hospitals, roads, &amp; emergency services. Please take a few minutes &amp; respond today: https://t.co/Xht9vY4RW5. https://t.co/q69omyXEV9"
1245816439451398149,2020-04-02 20:52:39,The Trump Administration is working hard to fulfill our commitments to rebuild infrastructure impacted by natural disasters in #SouthCarolina. The improved infrastructure will protect established businesses from future severe weather events &amp; attract new businesses to the region. https://t.co/djZUzapFai
1245747258974441474,2020-04-02 16:17:46,"The success of the #2020Census depends on all Americans. Everyone can answer the Census from the comfort and safety of your home either online, over the phone, or through the mail. #DoYourPart https://t.co/yVXNdtVvQe #BeCounted #EveryoneCounts https://t.co/JSSdWIqWHt"
1245447298915672073,2020-04-01 20:25:50,The Trump Administration understands that investing in infrastructure creates jobs for #AmericanWorkers. This grant will enable the region to become more resilient to the economic impact of flooding &amp; mudslides by accelerating the growth of new biz &amp; strengthening the workforce. https://t.co/7AfmmzaEdk
1245416315986366466,2020-04-01 18:22:43,"Today, our nation celebrates #CensusDay. Please take a few minutes to respond to the #2020Census by visiting https://t.co/Xht9vXNh4x. You can respond online, over the phone, or through the mail. #BeCounted https://t.co/f2Uq8z8CMh"
1245063289815654400,2020-03-31 18:59:55,"The Trump Administration is committed to creating new opportunities for Americans. This new training facility will prepare students for careers in specialized industries, equipping the region’s economy to become resilient in the face of future disasters. https://t.co/uJggEmlF00"
1245057373284245504,2020-03-31 18:36:24,"These new grants contribute to President Trump's whole of-America response to the #COVID19 outbreak. These grants will be awarded with speed and agility, as the Department of Commerce aims to work at the ‘speed of business’ to meet this unprecedented health challenge. https://t.co/0Rc1HD0XXj"
1243673045610397697,2020-03-27 22:55:35,"Thank you President Trump, Secretary Mnuchin, and our Congressional leaders of both parties for your work to pass today's historic legislation to bring much needed relief to the American people and our businesses. Read my full statement at https://t.co/VJYKKj2g96 #CARESAct https://t.co/yXpQKRnlb8"
1243592556115570689,2020-03-27 17:35:44,RT @EximBankUS: #EXIM thanks Secretary of @CommerceGov Wilbur Ross for joining yesterday’s Board of Directors’ teleconference meeting to ad…
1243274723703894017,2020-03-26 20:32:47,The Trump Administration is committed to the resilience of local economies by encouraging companies to locate and expand within #OpportunityZones. I look forward to seeing the new Valdosta Area Business Incubator help a wide variety of businesses prosper in the region. https://t.co/yDb2xvgkc4
1242889387471486978,2020-03-25 19:01:36,President Trump is committed to improving our nation’s infrastructure &amp; supporting communities as they rebuild after natural disasters. The improvements made to the Highway 278 corridor will make Jasper County more economically resilient by attracting new industry to the region. https://t.co/j9VGXtgShz
1240647591139909636,2020-03-19 14:33:30,".@realDonaldTrump is working every day to empower our nation’s entrepreneurs so they can grow, thrive, and create new businesses. This project will provide the space needed for new business ventures to diversify and grow the economy in the Lake Agassiz region. https://t.co/QU2Rzx1vIr"
1240442995826135047,2020-03-19 01:00:31,We can all do our part part to slow the spread of this #coronavirus. https://t.co/aifoezfRb7
1240427790090014722,2020-03-19 00:00:05,"It has never been easier to respond to the #2020Census whether online, over the phone or by mail. Respond today at https://t.co/ZM3xJyf0RT https://t.co/LVqd4DvmUt"
1240416295599968256,2020-03-18 23:14:25,"In the fight against the #coronavirus, the Trump administration is not just taking a whole of government approach, but a whole of America approach. Read @VP OP-ED in @USAToday https://t.co/jWyEJpVCRT https://t.co/VilOCK8c0q"
1240027642029576193,2020-03-17 21:30:03,"For more information on #COVID19, please follow @CDCgov. https://t.co/Rpyw8vPs8V"
1240008766457856001,2020-03-17 20:15:02,We each have a critical role to play to stop the spread of #coronavirus. https://t.co/sPE3T3wbO9
1239969645202829312,2020-03-17 17:39:35,Efforts by companies to illicitly procure U.S. technologies in support of unsafeguarded WMD programs are unacceptable and will not be tolerated. The Department of Commerce will continue to aggressively investigate and designate parties who do so. ➡️ https://t.co/MgyJCMJ9Uo https://t.co/iOzT0RCBwq
