id,created_at,text
1246430159953149952,2020-04-04 13:31:22,"We have over 6,500 @USDAFoodSafety workers on the front lines working in 175,642 commercial facilities across the country and inspecting nearly 164 million head of livestock and 9.8 billion poultry carcasses. Our food is safe &amp; our inspectors ensure that remains the case"
1246428774310297600,2020-04-04 13:25:51,Our food supply chain in America is safe and secure - here’s why https://t.co/rDlnuUEOSS
1246069990798786561,2020-04-03 13:40:11,"During this national emergency, @USDA is continuing our mission to “Do Right and Feed Everyone.”
✅ feeding kids all across the country
✅ ensuring our food supply chain remains safe &amp; strong
✅ making certain our farmers have enough ag workers

Learn more https://t.co/gdVOctjtlM https://t.co/gIV7gbeoSR"
1245823164455641088,2020-04-02 21:19:23,"While practicing social distancing this week, I’m coming to you solo to talk about what @USDA is doing during the COVID-19 pandemic. Tune in, tomorrow to the Sonnyside of the Farm. https://t.co/ZMsZ5Zhcp6"
1245447880854421506,2020-04-01 20:28:08,Grateful to the continued work being done at @USDOL to help farmers meet their ag labor needs during this time https://t.co/ElfB5vWR5o https://t.co/OaSbaQ5O41
1245441232601563137,2020-04-01 20:01:43,Help Slow the Spread #COVIDー19 https://t.co/2dkrdYqz4D
1245414897292378112,2020-04-01 18:17:04,"RT @Mike_Pence: On behalf of a grateful Nation, thank you to all of the members of @Walmart Distribution Center Team 7016. We know you’re o…"
1245325125454639110,2020-04-01 12:20:21,"Thankful for the heroes on the front lines keeping Americans fed - not only during this pandemic, but all year round https://t.co/eNi6fdgvpr"
1245074660955435010,2020-03-31 19:45:06,RT @RepHagedorn: Maintaining a steady agriculture supply chain is critical. We will work to ensure that all producers can move products glo…
1244646871781576706,2020-03-30 15:25:13,"Our food supply chain remains safe, sound, and stable thanks to our farmers, truckers, grocery store workers, and others who are on the front lines. https://t.co/m8OwCdsnhb"
1244079400280350721,2020-03-29 01:50:17,"RT @WhiteHouse: USDA works closely with the producers who make up our food supply chain. 

“Those folks are staying on the job,"" @Secretary…"
1243664060446539777,2020-03-27 22:19:52,"🚨 🚨 🚨 Tune In: Discussing right now how we are delivering 1,000,000 meals a week with @McLaneGlobal, @PepsiCo, and @BaylorCoHP at today’s @WhiteHouse Coronavirus Task Force Press Briefing. Appreciate @realDonaldTrump’s leadership during this National Emergency"
1243653846238453761,2020-03-27 21:39:17,"Americans across the nation are stepping up to the challenges facing them during this National Emergency. The CARES Act will provide much needed relief to Americans across this country - especially workers, small-business owners, and farmers. Thank you @realDonaldTrump https://t.co/7j322FNJOv"
1243587220478582784,2020-03-27 17:14:32,"We are increasing flexibilities to ensure American consumers have greater access to safe, quality, and affordable eggs. Our food supply chain remains strong and we are monitoring the markets to ensure the shelves are stocked. https://t.co/pCcPiRPPf9 https://t.co/WtJtrkWaA5"
1243544364242042881,2020-03-27 14:24:15,H-2 labor is vital to the economy and food security of America - thank you @SecPompeo for waiving in-person interviews and streamlining applications during this national emergency https://t.co/Ere7YBiVXK
1243261729754304512,2020-03-26 19:41:09,"This is what Americans do when times are tough - we adapt and we overcome. Thanks to @realDonaldTrump’s whole of America approach to the coronavirus response, we are collaborating with @McLaneGlobal, @BaylorCoHP, and @PepsiCo to make sure Americans are fed. https://t.co/l4NaxViWBk"
1243217336368324608,2020-03-26 16:44:45,"This is a challenging time for many Americans and we are working to make sure kids and those facing hunger are fed with new flexibilities across our programs @USDA 

https://t.co/TA872Ito7u"
1242480183371849729,2020-03-24 15:55:34,"Now more than ever, it’s important to appreciate where our food comes from. Today on National Ag Day - I’d like to thank our farmers, ranchers, and the entire food supply chain for the work you all do to ensure that America has a strong food supply. https://t.co/TEWpi6iX0T"
1242146659263549442,2020-03-23 17:50:16,I spoke w/ Commodity Futures Trading Commission Chairman Tarbert today to help ensure @USDA &amp; @CFTC are doing everything in our power to help ensure transparency &amp; integrity in our ag markets in the same way we expect to have in our supplychain @BeefUSA @uscattlemen #cattle #beef
1241830728138137600,2020-03-22 20:54:52,"Our farmers &amp; ranchers are the backbone of this nation -- livestock women &amp; men, we hear you! I expect all of our producers &amp; stakeholders to be patriotic, honest brokers to “Do Right &amp; Feed Everyone” while we weather this pandemic. @uscattlemen @BeefUSA #cattle #beef"
1241830725927817221,2020-03-22 20:54:51,.@USDA is actively monitoring all ag commodity markets &amp; the flow of food from FARM TO FORK during the COVID 19 outbreak. We are paying special attention to the difference in prices from the farm gate to the grocery shelf.
1241110121150906368,2020-03-20 21:11:26,"RT @IvankaTrump: Send love and gratitude to our great American farmers, ranchers, truckers, grocers and stockers.

Thanks to these heroes,…"
1241086901915922432,2020-03-20 19:39:10,"RT @WhiteHouse: .@SecretarySonny: ""I want to assure you that our food supply chain is sound, it's healthy, people are on the job."" https://…"
1240998245578481665,2020-03-20 13:46:53,"To the heroes in the U.S. food supply chain, we salute you. https://t.co/3wIUuNtUpb"
1240828483825270784,2020-03-20 02:32:18,Food &amp; Agriculture 👇 https://t.co/mjRQFSSajV
1240732387685826565,2020-03-19 20:10:27,"ICYMI: @USDA and @USDOL Announce Information Sharing to Assist H-2A Employers

Ensuring minimal disruption for our agricultural workforce during these uncertain times is a top priority for this Administration.

More HERE: https://t.co/2ZKzKt0Dqw https://t.co/MsoQLdyhgA"
1240720585115697160,2020-03-19 19:23:33,RT @alana_austin: Agriculture ⁦@SecretarySonny⁩ Perdue calms fears about #coronavirus impact on food supply. ⁦@J_Policastro⁩ reports: https…
1240713196073177090,2020-03-19 18:54:11,RT @GrayDCnews: Agriculture @SecretarySonny tells Washington Bureau Chief @J_Policastro we have plenty of food as our nation battles the #c…
1240710496027906049,2020-03-19 18:43:28,"RT @IvankaTrump: When we work together, everyone wins! ⬇️⬇️⬇️ https://t.co/nlNWxjWSai"
1240658518736330752,2020-03-19 15:16:55,"RT @IvankaTrump: God bless the doctors, nurses, healthcare workers &amp; first responders whose tireless dedication and sacrifice protect our c…"
1240625066766991362,2020-03-19 13:04:00,"RT @FarmersGov: Before visiting a USDA Service Center, confirm availability for in-person and phone appointments. Learn more at https://t.c…"
1240624683948670977,2020-03-19 13:02:29,"Food supply chain is sound, it's stable &amp; there's plenty of food available. To the folks working in grocery stores &amp; driving trucks full of products: Y'all are the heroes in the food supply chain. To our @USDAFoodSafety team: Thanks for keeping your fellow Americans fed &amp; healthy https://t.co/SDSP23oiPX"
1240364159063265282,2020-03-18 19:47:15,"America’s farmers are resilient and continue to produce a bountiful harvest. 
Our food supply chains remain strong.
No need to hoard — respect the needs of your fellow neighbors and buy only what’s necessary. https://t.co/I8JkMEYNcJ"
1240361790397198337,2020-03-18 19:37:50,Spoke with @edhenry about how @USDA is feeding kids impacted by school closures due to Coronavirus. We are using @realDonaldTrump’s whole of America approach to tackle this invisible virus. https://t.co/DMipqZUpDn
1240263865818112000,2020-03-18 13:08:43,Will be on @FoxNews around 9:10am ET today to talk about our partnership with the private sector to deliver 1 MILLION MEALS PER WEEK to children in rural America who are affected by school closures due to Coronavirus. Tune in! https://t.co/YJJqjryKQt
1240096513721802752,2020-03-18 02:03:43,"RT @WhiteHouse: We are in this together!

15 Days to Slow the Spread: https://t.co/E8k5IdXQ03"
1240086929871437824,2020-03-18 01:25:38,RT @USAmbIceland: Thank you @SecretarySonny &amp; your great partners. Blessed to have spent much of my medical career in America's tremendous…
1240086685280612353,2020-03-18 01:24:40,RT @SenateAgGOP: .@SenPatRoberts and @SecretarySonny discussed the impacts the novel #coronavirus is having on ag across the country. USDA…
1240038365879296001,2020-03-17 22:12:39,RT @drayton_mclane: I just got off the phone with Sec of Ag Sonny Perdue. We’re excited for McLane Global to be working with @USDA to feed…
1239998191682162688,2020-03-17 19:33:01,"During the Coronavirus National Emergency, @USDA_APHIS, @USDA_AMS &amp; @USDAFoodSafety are ensuring the health &amp; safety of our employees while still providing timely delivery of the services to maintain the movement of America’s food supply from farm to fork. https://t.co/LA3pBcfQ83 https://t.co/2pyj9grMtO"
1239972372993597441,2020-03-17 17:50:25,"America’s farmers, ranchers, and those on the front lines in the food service industry are doing their part in the face of Coronavirus - we are forever grateful. @realDonaldTrump's whole of government approach is ensuring our supply chains remain strong. https://t.co/9gd6PwkRLW https://t.co/y2rtlpqRV9"
1239943659862265856,2020-03-17 15:56:20,"🚨🚨🚨We've partnered with @BaylorCoHP, McLane Global &amp; @PepsiCo to provide 1 MILLION MEALS PER WEEK to rural children in response to the Coronavirus. Food boxes will contain 5 days worth of shelf-stable, nutritious, individually packaged foods. MORE: https://t.co/6tApZGBEiT https://t.co/ExIrSRft0f"
1239674357099757569,2020-03-16 22:06:13,Do your part to slow the spread of Coronavirus: https://t.co/9cRdleWIsj
1239669559549997062,2020-03-16 21:47:09,"Dear USDA Family,
There comes a time in human events where certain folks are called to step up. As the Coronavirus continues to cause uncertainty, this is our time to step up. Thank you for proving that no matter the circumstance, we can truly ""Do Right and Feed Everyone."" https://t.co/NJJ2DlZV6K"
1239667881769668610,2020-03-16 21:40:29,"We are all in this together and we need to respect the needs of our fellow neighbors. Our supply chains remain strong, so please do your part to ensure we stay calm and act responsibly. https://t.co/yUoctoDj1M"
1239667282500030470,2020-03-16 21:38:06,RT @CDCgov: Social distancing can help slow the spread of #COVID19 in affected communities. This means avoiding crowded places and maintain…
1239255790550122499,2020-03-15 18:22:59,"RT @WhiteHouse: ""As your President, I ask you to pray for the health and well-being of your fellow Americans and to remember that no proble…"
1238638568282755073,2020-03-14 01:30:22,"RT @realDonaldTrump: To those families and citizens who are worried and concerned for themselves and their loved ones, I want you to know t…"
1238636600554381312,2020-03-14 01:22:32,RT @realDonaldTrump: Americans are the strongest and most resilient people on earth...We will remove or eliminate every obstacle necessary…
1238591837184688130,2020-03-13 22:24:40,"#USMCA is a great victory for America’s ag industry, and I am pleased to see Canada’s Parliament approved the deal today. Thank you, @realDonaldTrump for negotiating this deal and for always supporting America’s farmers and ranchers. https://t.co/NCKUsmYu7r https://t.co/4tUZ76Q84b"
1238586440335966208,2020-03-13 22:03:13,".@realDonaldTrump continues to take decisive action to ensure the safety, security, and health of the American people by declaring a National Emergency in response to the Coronavirus. https://t.co/NCyRed9tDk https://t.co/EY0qI8VPKa"
1238543290649231362,2020-03-13 19:11:46,"RT @USDA: If you were affected by recent #TennesseeTornadoes, you could be eligible for assistance from our Disaster Supplemental Nutrition…"
