id,created_at,text
1247294757950414850,2020-04-06 22:46:58,RT @WhiteHouse: America's prayers are with Prime Minister Boris Johnson. 🇺🇸🇬🇧 https://t.co/LFz3z0HtD7
1247294752598429696,2020-04-06 22:46:57,RT @WhiteHouse: We will beat this virus together. https://t.co/guj8C1FCwf
1247294744604168198,2020-04-06 22:46:55,RT @Mike_Pence: https://t.co/8uDyuBBhGq
1247294731287216129,2020-04-06 22:46:52,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1247294723515170817,2020-04-06 22:46:50,RT @WhiteHouse: Small businesses often lack the cash that big firms have access to in hard times. The Paycheck Protection Program helps by…
1247294714396672001,2020-04-06 22:46:48,"RT @Mike_Pence: Thank you, @Airbnb. We are grateful to you for giving those taking care of the people of our great Nation a safe and clean…"
1247294706989568000,2020-04-06 22:46:46,"RT @Mike_Pence: Thank you, @Apple for stepping up once again to meet the needs of the American people and launching a company-wide effort t…"
1247294700236820480,2020-04-06 22:46:44,RT @Mike_Pence: American companies are continuing to rally behind our amazing health care workers. @AmericanExpress and @HiltonHotels will…
1247294691705597955,2020-04-06 22:46:42,"RT @Mike_Pence: What an inspiring story...
God bless them all.
https://t.co/SE7LunGJL6"
1246894098864312322,2020-04-05 20:14:53,"RT @Mike_Pence: Thank you, @GovInslee. We’re all in this together."
1246894095668326407,2020-04-05 20:14:53,"RT @Mike_Pence: Thank you, @OregonGovBrown. #InItTogether"
1246881593958039555,2020-04-05 19:25:12,RT @WhiteHouse: Thank you to hotels around the country for providing healthcare workers and first responders a place to stay while they're…
1246881586789986305,2020-04-05 19:25:10,"RT @WhiteHouse: Your activities can increase the risk of infection for everyone around you. 

Do your part to slow the spread! https://t.co…"
1246881576358752258,2020-04-05 19:25:08,"RT @Mike_Pence: Today, we honor our Nation’s Gold Star Spouses. As we remember the fallen we also give thanks for the spirit and sacrifice…"
1246881567580073988,2020-04-05 19:25:06,"RT @Mike_Pence: .@SecondLady &amp; I are wishing everyone a blessed Palm Sunday as we reflect on our Savior’s arrival into Jerusalem. Today, we…"
1246616279856840704,2020-04-05 01:50:56,RT @WhiteHouse: Our patriotic duty in this national crisis: Keep following the guidelines! https://t.co/u0QYL52zPM
1246616271636115457,2020-04-05 01:50:54,RT @WhiteHouse: The Paycheck Protection Program is now in action—helping our small businesses stay open and helping our workers get paid. h…
1246616257446674433,2020-04-05 01:50:51,"RT @WhiteHouse: ""The next two weeks are extraordinarily important,"" Dr. Birx says. ""This is the moment to do everything that you can on the…"
1246616229000986624,2020-04-05 01:50:44,RT @Mike_Pence: It is more important now than ever that every American follows President @realDonaldTrump’s guidelines. Visit https://t.co/…
1246616219849043968,2020-04-05 01:50:42,"RT @Mike_Pence: What health care workers are doing every day is inspiring. They’re not just doctors &amp; nurses, they’re family for people all…"
1246216174880374785,2020-04-03 23:21:04,RT @WhiteHouse: Our hearts go out to the communities hardest hit by the Coronavirus—and we salute the great medical professionals on the fr…
1246216168408580110,2020-04-03 23:21:02,"RT @WhiteHouse: .@CDCgov has suggested the use of non-medical, cloth face coverings as an additional, voluntary step that Americans can tak…"
1246216161102102528,2020-04-03 23:21:01,"RT @WhiteHouse: Cost should not be a barrier to anyone seeking testing or treatment for Coronavirus. 

America's private insurers are takin…"
1246216151149023243,2020-04-03 23:20:58,"RT @Mike_Pence: We will get through this together, America. https://t.co/KS19LHtyJy"
1246216146900189184,2020-04-03 23:20:57,"RT @Mike_Pence: Today, we held a teleconference with commercial retailers and on the President’s behalf we thanked them for their patriotic…"
1246216138662576130,2020-04-03 23:20:55,RT @Mike_Pence: We want to commend Americans across the Country for putting into practice President @realDonaldTrump’s guidelines as well a…
1245826243033026560,2020-04-02 21:31:37,RT @Mike_Pence: https://t.co/cpTux92FvH
1245409745651085314,2020-04-01 17:56:36,"RT @Mike_Pence: These are not numbers, these are Americans. They are our loved ones and we are doing everything we can to keep them safe. h…"
1245398164867362816,2020-04-01 17:10:35,"RT @Mike_Pence: We’ll get through this together, America. https://t.co/VPV1wBzxjt"
1245398157145575426,2020-04-01 17:10:33,RT @Mike_Pence: The effort to combat the Coronavirus at the government level has been matched by companies around the Country like @Walmart…
1245398150740836360,2020-04-01 17:10:32,"RT @Mike_Pence: When faced with the threat of the Coronavirus, President @realDonaldTrump took unprecedented action and suspended all trave…"
1245398140594925568,2020-04-01 17:10:29,"RT @Mike_Pence: On behalf of a grateful Nation, thank you to all of the members of @Walmart Distribution Center Team 7016. We know you’re o…"
1245128223509315585,2020-03-31 23:17:56,RT @Mike_Pence: 30 Days to Slow the Spread: https://t.co/GI3qrBOFaA
1245128215116603393,2020-03-31 23:17:54,"RT @WhiteHouse: Today, @USTreasury and @SBAgov announced further details on the Paycheck Protection Program, which is made possible by The…"
1245128210800615428,2020-03-31 23:17:53,"RT @WhiteHouse: Dr. Fauci: ""The reason why we feel so strongly about the necessity of the additional 30 days is that now is the time, whene…"
1245128203758456832,2020-03-31 23:17:51,RT @WhiteHouse: Our goal over the next 30 days is to mitigate the spread of Coronavirus community by community. https://t.co/rkQTfm2jh6
1245128191846604804,2020-03-31 23:17:48,"RT @Mike_Pence: We will get through this, and we will get through it together. https://t.co/kuLe6xeox2"
1245128187102875649,2020-03-31 23:17:47,"RT @Mike_Pence: Thank you, America. 🇺🇸 https://t.co/iAD81Kd61Y"
1245128180303872002,2020-03-31 23:17:46,RT @Mike_Pence: We are continuing to work closely with Governors across the Country as we respond to the Coronavirus together as a Nation.…
1245103212086132738,2020-03-31 21:38:33,RT @Mike_Pence: https://t.co/5N8Y9Jrsvp
1245103203311669254,2020-03-31 21:38:31,RT @realDonaldTrump: https://t.co/nzWJ8ViwbZ
1244735141802631168,2020-03-30 21:15:58,RT @Mike_Pence: https://t.co/XIAaAK6Ywp
