id,created_at,text
1246478303478910977,2020-04-04 16:42:40,Thank you @realDonaldTrump for your great support of #PPPloan @SBAgov @USTreasury https://t.co/stqKewiCNy
1246477929938288641,2020-04-04 16:41:11,RT @realDonaldTrump: I will immediately ask Congress for more money to support small businesses under the #PPPloan if the allocated money r…
1246475088574271494,2020-04-04 16:29:54,@SalehaMohsin We have a great team of political appointees and professional treasury career people that are hard at work to support American workers and American business!
1246220616530898945,2020-04-03 23:38:43,Thank you to everyone that participated in the launch of #Ppploans today! More lenders are expected to be available Monday. #CARESAct #SmallBusiness @SBAgov @USTreasury
1246137529822326784,2020-04-03 18:08:33,"UPDATE over $1,800,000,000 #PPPloan now processed by @SBAgov mostly all from community banks. Big banks taking in large amounts but not yet submitted in these numbers! #CARESAct #SmallBusiness"
1246100166026936322,2020-04-03 15:40:05,"UPDATE #PPPloan now over $875,000,000 processed almost all from community banks! Big banks taking applications and will submitting them shortly. @SBAgov @USTreasury #CARESAct #SmallBizRelief"
1246069934137974785,2020-04-03 13:39:57,"#PPPloan UPDATE $400,000,000 originated. Thank you #communitybank #largebanks @SBAgov @USTreasury #CARESAct #SmallBusinessRelief"
1246055694027153414,2020-04-03 12:43:22,Large banks expected to go live soon this morning  as well on #PPPloan @SBAgov @USTreasury #CARESAct
1246055354628218881,2020-04-03 12:42:01,"Congratulations to @SBAgov and @USTreasury teams!! I just got first report on #PPPloan The system is up and running. Community banks have already processed over 700 loans processed for $2,500,000. Great work!! #CARESAct #SmallBizRelief"
1245904710525235200,2020-04-03 02:43:25,Final borrower #PPPloan form up on website please check our form and speak To your existing #bank to see if you can apply!   https://t.co/jfEyOIj8gt
1245852489590530049,2020-04-02 23:15:54,Guidance for the Paycheck Protection Program is live! We encourage lenders to visit https://t.co/BvYPtkpepG for more details.
1245523908171837443,2020-04-02 01:30:15,".@SocialSecurity recipients don’t need to file a tax return to receive Economic Impact Payments. Recipients will receive these payments as a direct deposit or by paper check, just as they would normally receive their benefits. Learn more here: https://t.co/czJSWcjAlt"
1245118032931938310,2020-03-31 22:37:26,"I encourage small business to apply for Paycheck Protection Program so you can keep your employees paid! Program will be available Friday. Contact SBA Lenders, FDIC Banks and credit unions to participate. Learn more here: https://t.co/YCbKTiEL6a"
1245117953537957888,2020-03-31 22:37:07,"Under the #CARESAct, $349 billion is available for the Paycheck Protection Program so small businesses can get through this period and keep their workers paid!  Learn more here: https://t.co/gahbtioU4c"
1245117083840585736,2020-03-31 22:33:40,"I encourage businesses to take full advantage of the new Employee Retention Credit to keep employees on their payroll during these challenging times. 
Learn more here: https://t.co/6r1aE26V57"
1244754274913071110,2020-03-30 22:32:00,Americans will begin receiving economic impact payments in the next 3 weeks. Most people will receive these payments automatically. Read here to see if you are eligible and if you need to take any action: https://t.co/eHqhvFNTFg
1244261374135603201,2020-03-29 13:53:23,"Joined @FoxNewsSunday and @FacetheNation to discuss the #CARESAct, which will deliver unprecedented, direct and fast relief to American workers and businesses. https://t.co/jrsZuEHkgg"
1243725655365148672,2020-03-28 02:24:38,Deal!! Thank you!!! @ Washington D.C. https://t.co/WSz8DvV0Li
1243703528834699265,2020-03-28 00:56:42,Thank you to @realDonaldTrump @VP @senatemajldr @SenSchumer @SpeakerPelosi @GOPLeader for passing the #CARESAct @USTreasury will Deliver funds to support American workers and business! https://t.co/u2VBNXjzK7
1243678126175129601,2020-03-27 23:15:46,Proud to join President @realDonaldTrump as he signed into law the CARES Act to provide unprecedented economic relief to American workers and businesses. We are fully committed to ensuring that Americans get the resources they need fast. https://t.co/Ynzl1UcW8Y
1243141286539997186,2020-03-26 11:42:33,Congratulations to @senatemajldr and @SenSchumer for passing the #CARESAct with unanimous bipartisan support. I urge @SpeakerPelosi and @GOPLeader to pass this NOW! This will support American workers and American workers in the war against #coronavirus !!
1242918038174928899,2020-03-25 20:55:27,@SalehaMohsin Yes!
1242442803856236544,2020-03-24 13:27:02,Discussed #COVID19 coordination with the #G7 Finance Ministers this morning. We will work together to restore economic growth and protect jobs and businesses. https://t.co/5NrYnLQNVr
